Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_12A_14.OKA,5/10/2022 1:15:07 PM,12-A,PM05,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,13.9078,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.1388,17.0829,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3378,14.8188,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3568,16.9041,14.5092,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.9086,19.3958,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.138,20.4316,11.0,11.0,11.0,12.4508,11.0,11.0,11.0,11.0,11.0,13.5869,22.9704,22.9269,14.1436,11.0,11.6421,11.0,11.0,11.0,11.0,11.0,12.4719,11.5492,22.2131,19.8452,20.9264,15.4134,19.9575,12.2131,11.0,11.7418,16.5952,11.3376,14.6983,22.1603,22.2301
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_12A_14.OKA,5/10/2022 1:15:07 PM,12-A,PM05,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,11.2839,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3925,18.5237,15.3364,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1967,12.2694,11.3137,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5339,12.4182,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.3566,15.5831,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5923,19.4528,12.06,11.216,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.7105,21.1265,22.3242,11.6785,11.0,11.0,11.7443,11.0,11.0,11.0,11.0,11.0,15.3067,16.5058,21.5946,22.5994,15.0489,23.2434,15.9332,11.0,14.0307,13.0419,11.7358,14.9662,21.4332,23.5824
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_12A_14.OKA,5/10/2022 1:15:07 PM,12-A,PM05,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,18.6013,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9678,24.9223,13.3928,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6993,17.9718,16.3774,11.1932,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.705,22.2599,14.167,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.1879,20.0385,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.2182,22.1136,14.9231,11.0,11.0,12.9751,11.0,11.0,11.0,11.0,11.0,16.0543,24.9208,24.0725,17.4439,15.5137,11.0653,11.0635,11.1626,16.3234,11.0,13.9361,11.0,16.4165,26.2225,23.8866,21.7079,16.4261,31.0787,19.4506,20.4596,17.091,16.5579,14.7743,19.0971,24.3843,31.0353
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_12A_14.OKA,5/10/2022 1:15:07 PM,12-A,PM05,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4871,22.3247,20.5914,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0359,22.1339,17.4684,13.0203,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6166,22.6387,16.2807,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.2141,20.6255,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7655,22.3893,21.6038,15.0497,11.0,11.0,11.2521,12.7993,11.0,11.0,11.5408,11.0,19.2872,24.489,28.1817,19.5282,13.7765,12.7693,12.2064,15.1052,11.0,11.0,11.1935,11.0,15.1823,21.2034,22.5729,24.9922,18.9074,29.3391,20.5834,13.1372,17.8627,17.7029,17.7708,19.6843,20.333,29.7148
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_12A_14.OKA,5/10/2022 1:15:07 PM,12-A,PM05,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,18.6765,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8095,21.9813,18.283,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3491,13.8014,21.399,14.78,14.6317,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.3925,21.51,18.1053,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.2608,19.9831,12.6649,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1606,23.5926,22.664,14.8668,11.8211,11.0,13.4167,11.0,11.128,11.0,11.7937,11.0,15.8202,22.9998,23.3925,15.4996,11.0,14.6815,13.0687,14.9953,11.0,11.0,11.2252,11.0,17.8985,25.2805,28.0549,20.6056,20.9929,29.4352,18.8153,19.5678,15.8629,17.6676,17.0002,20.1984,20.797,34.3485
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_12A_14.OKA,5/10/2022 1:15:07 PM,12-A,PM05,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7488,22.2305,18.6531,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3284,19.0089,14.6403,13.6962,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3863,20.5258,19.4032,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.2,17.8071,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5795,13.6718,21.4413,22.0349,11.7732,11.2841,11.3224,11.3459,11.0,11.0,11.0,11.442,11.0,18.0418,28.272,25.3786,14.6871,13.5395,17.536,11.1274,11.7803,11.6511,11.5808,11.9605,11.0,12.1677,30.8192,27.119,25.111,16.8614,33.1507,13.9714,12.8045,17.4231,15.4407,12.6108,17.7418,24.3683,29.5091
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_12A_14.OKA,5/10/2022 1:15:07 PM,12-A,PM05,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,12.9903,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8239,22.8013,16.7449,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.102,20.0168,16.3263,18.8905,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9921,20.9221,16.0853,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6889,25.1234,18.2413,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0948,24.3246,21.4784,11.9639,11.0,11.0,12.9719,11.0,11.0,11.0,11.0,11.0,16.5768,27.739,26.2217,13.4973,12.7708,12.7982,12.9972,13.7659,11.0,13.0634,11.0,14.8654,17.7664,22.9709,24.0887,23.2295,18.1779,30.67,16.0565,14.0439,17.5796,14.1409,16.9368,23.554,25.9996,31.1382
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_12A_14.OKA,5/10/2022 1:15:07 PM,12-A,PM05,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,16.4281,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1691,23.1147,17.4437,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1898,13.6178,19.948,16.5863,16.9805,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1606,24.6917,16.2419,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7707,23.6617,23.4567,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9381,26.0607,23.9467,15.5373,14.5619,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.243,26.6581,30.9989,14.9082,13.0634,12.2459,13.2846,16.0572,11.0325,13.4086,11.1935,17.5165,19.9914,25.8787,22.0912,23.5987,16.0361,27.2451,20.493,13.9964,15.452,13.3862,19.1135,22.356,24.1755,28.6531
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_12A_14.OKA,5/10/2022 1:15:07 PM,12-A,PM05,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,12.6769,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6089,23.2291,18.0995,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.264,14.9919,19.9064,15.6258,17.0416,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4635,14.8976,21.162,17.5928,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1007,11.0,13.7504,20.8513,19.1966,11.4491,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8703,20.6138,20.6854,13.0857,11.4733,11.0,11.0,11.0,11.0,11.1589,11.0,11.0,18.3526,29.148,29.6053,17.543,11.0,15.7892,13.2463,14.6923,11.0,11.0,11.0,15.9694,15.6599,26.5791,23.6482,20.581,18.4043,36.6997,18.8376,14.0493,14.5514,14.4293,19.0748,22.9349,28.5328,29.7988
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_12A_14.OKA,5/10/2022 1:15:07 PM,12-A,PM05,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,14.6154,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3644,23.7678,15.0671,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2345,17.567,23.0751,14.5622,16.2577,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6821,12.0135,24.2279,18.0979,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7178,25.9269,21.2633,13.1079,13.5964,11.0,11.0,11.5989,11.0,11.0,11.0,11.0,13.3332,26.072,19.1773,13.1079,11.0,11.0,12.1645,11.0,11.0,11.7324,12.6889,11.0,21.2444,29.5503,24.4936,14.3868,12.9497,11.5563,15.5179,21.7284,12.5843,14.3974,11.0,13.7277,13.8236,27.2359,29.6445,24.1633,20.4245,32.3265,18.9321,18.7273,16.0844,17.109,26.0775,21.8621,22.528,28.1033
