Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17B_29.OKA,5/17/2022 1:54:44 PM,17-B,PM03B,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,15.3735,14.4379,14.9796,12.4711,11.0,11.0,11.0,11.0,11.0,13.7608,15.0244,22.0856,17.1251,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0129,14.5886,13.4208,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1865,11.3079,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0868,12.0492,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2657,11.0,11.0,11.0,11.0,11.0,15.8111,73.2459,11.0,11.0,11.0,11.0,13.2658,13.6971,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3755
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17B_29.OKA,5/17/2022 1:54:44 PM,17-B,PM03B,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,22.2964,19.2289,11.6795,17.3756,11.0,16.5373,15.5892,12.9177,15.692,15.3989,24.6572,26.0347,17.8071,13.97,11.0,11.0,12.024,11.0,11.0,11.4051,11.0,11.9762,11.1263,17.5622,17.2095,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8466,16.5545,12.1888,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.2112,12.6821,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.8638,16.4964,11.0,11.0,11.0,11.0,11.0,75.5075,11.0,11.0,11.0,12.885,18.9508,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.2185,15.1069,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.2205
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17B_29.OKA,5/17/2022 1:54:44 PM,17-B,PM03B,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,23.5834,18.2313,11.6793,11.6544,13.5844,13.4029,13.0271,11.0316,11.0,16.1362,29.6921,23.3972,13.3525,11.0988,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2099,12.7654,18.0781,12.9424,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8577,17.1771,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4395,14.8565,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0314,13.719,11.0,11.0,11.0,11.0,11.0,75.3881,11.0,11.0,11.0,12.6644,18.7195,13.8392,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.576,15.508,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4435,21.7084
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17B_29.OKA,5/17/2022 1:54:44 PM,17-B,PM03B,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,24.1562,19.7911,13.708,13.1816,11.9673,15.5006,11.0,12.6387,17.9273,14.3854,23.7188,22.4898,15.3322,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3731,11.0,18.4069,15.8617,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1588,14.4808,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2728,13.3815,12.8273,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1292,12.9436,11.0,11.0,11.0,11.0,11.0,76.8093,11.0,11.0,11.0,16.1559,17.1856,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.126,17.8949,16.3974,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3846,14.8533
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17B_29.OKA,5/17/2022 1:54:44 PM,17-B,PM03B,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,21.0651,18.7548,11.0,11.2498,13.5839,18.1915,11.0,12.6637,13.3817,12.4991,23.4139,25.7105,18.0881,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0632,16.9251,18.0128,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4034,13.2368,14.3651,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2206,14.8036,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7027,21.6884,16.5588,11.0,11.0,11.0,11.0,11.0,71.114,11.0,11.0,11.0,12.5972,20.3296,12.2471,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.01,18.7059,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5693,17.9823
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17B_29.OKA,5/17/2022 1:54:44 PM,17-B,PM03B,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,25.3245,20.4245,12.1918,11.7757,12.4356,13.8295,11.0,11.0,11.0,14.8077,30.1004,23.2109,17.4066,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6625,13.5139,16.6557,15.9073,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0624,14.9189,12.8821,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6867,14.1297,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7285,14.2598,17.1874,11.0,11.0,11.0,11.0,11.0,75.1702,11.0,11.0,11.0,12.0676,16.1691,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9205,15.5976,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0944,17.7635
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17B_29.OKA,5/17/2022 1:54:44 PM,17-B,PM03B,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,20.165,19.2924,11.0,14.926,13.7751,18.5252,11.0,11.0,11.0,11.4123,26.8881,23.8303,14.6052,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5283,15.4004,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9883,12.5315,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1382,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3783,16.2446,11.9906,11.0,11.0,11.0,11.0,11.0,70.3173,11.0,11.0,11.0,11.0,17.1112,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5215,17.1109,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0855
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17B_29.OKA,5/17/2022 1:54:44 PM,17-B,PM03B,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,18.2331,16.9077,13.1242,11.0,13.7725,19.0333,12.7648,11.0,11.0,11.9566,26.6843,24.0821,18.2061,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6002,19.0018,12.6534,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3727,16.178,11.4376,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5576,17.6469,11.0,11.0,11.0,11.0,11.0,11.0,67.1321,11.0,11.0,11.0,11.0,17.7756,12.0299,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4329,24.0736,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.1772
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17B_29.OKA,5/17/2022 1:54:44 PM,17-B,PM03B,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,22.6073,13.8914,11.4836,14.0309,11.8728,18.436,13.7427,12.3521,15.445,15.3772,27.5183,25.0491,19.9354,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6151,12.4124,17.1876,13.8196,11.0,11.0,11.0,11.0,11.0,11.0,13.2026,11.0,11.0,11.0,16.4254,13.5068,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9989,12.9185,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2427,18.3355,15.0213,11.0,11.0,11.0,11.0,11.0,69.1698,11.0,11.0,11.0,13.0755,17.8937,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1123,31.0218,13.5212,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1887,18.8806
F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17B_29.OKA,5/17/2022 1:54:44 PM,17-B,PM03B,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,25.321,18.732,11.0323,16.8916,17.132,15.1591,17.0867,16.4728,14.0788,15.2579,26.9977,27.5891,16.0866,11.0,11.0,11.0,11.0,11.642,11.0,11.0,11.0,11.0,14.4658,18.6813,15.0121,11.0,11.0,11.0,11.0,11.0,11.0,15.9093,11.0,11.0,14.5032,15.2409,12.0928,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,15.3755,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.9609,18.85,13.3059,11.0,11.0,11.0,11.0,11.0,70.067,11.0,11.0,11.0,18.0261,20.1973,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6226,34.5835,15.1178,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.9328
