Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_11B_13.OKA,5/10/2022 1:15:07 PM,11-B,PM07,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,26.9989,17.2711,13.4195,11.0,11.0,11.0,11.0,11.0,11.0,12.3432,22.5479,25.3145,15.421,11.0,11.0,11.0,11.0,14.6225,11.0,11.0,11.0,11.0,11.1935,16.0323,11.7176,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7834,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4838,12.2279,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4998,12.6134,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9405,11.0,11.0,26.7965,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4113,13.3702,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0953
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_11B_13.OKA,5/10/2022 1:15:07 PM,11-B,PM07,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,26.2486,15.4363,12.2607,12.2827,12.7473,11.2813,11.0,11.3081,11.0,11.9726,21.3158,28.435,15.1846,11.0,11.0,11.0,11.0,18.9975,11.0,11.0,11.0,11.0,11.0,16.1373,12.1474,11.0,16.8473,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.6694,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8862,11.0,11.0,14.0799,16.1367,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.5319,13.5646,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.9814,12.8007,11.0,21.4147,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.5536,13.8626,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.313
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_11B_13.OKA,5/10/2022 1:15:07 PM,11-B,PM07,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,32.7877,22.039,11.6764,12.9598,15.604,11.1597,13.8,12.2257,14.2846,14.9935,23.2163,34.7513,18.1192,12.7178,11.0,11.0,11.0,28.2089,11.0,11.0,11.0,11.0,16.2477,21.8991,13.4036,11.0,15.8204,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6224,15.5837,14.8767,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6995,11.0,11.0,14.5829,18.348,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,26.184,12.79,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.3458,11.2186,11.0,28.2195,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.0798,16.6019,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.4818
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_11B_13.OKA,5/10/2022 1:15:07 PM,11-B,PM07,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,32.5711,20.4057,12.5543,16.1701,11.0,12.4061,12.764,13.5517,13.5699,14.5403,20.5334,31.4845,19.5277,11.0,11.0,11.0,13.1132,25.0096,11.0,11.0,11.0,11.0,13.0181,19.5095,16.6283,11.0,19.459,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2629,13.0687,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7043,11.0,11.0,14.3274,16.1758,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.4336,16.3029,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1514,12.1305,11.0,26.7583,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.9296,14.2348,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1262,16.3129
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_11B_13.OKA,5/10/2022 1:15:07 PM,11-B,PM07,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,34.6579,16.3109,14.309,12.3946,14.9856,12.564,13.1184,11.0,14.921,14.6534,24.0886,30.6363,18.4931,11.0,11.0,11.0,11.0,28.9768,11.0,11.0,11.0,12.1406,11.0633,19.5145,12.4944,11.0,26.0143,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4213,16.5975,12.6881,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0069,11.0,11.0,13.7154,20.0135,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.7792,15.929,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2469,16.3746,11.0,28.9204,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.7518,14.1408,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.2164
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_11B_13.OKA,5/10/2022 1:15:07 PM,11-B,PM07,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,33.5256,18.7214,12.355,11.7806,15.025,11.2558,11.0,11.0,11.0632,12.5389,23.514,28.9068,15.9138,11.0,11.0,11.0,12.3038,29.0653,11.0,11.0,11.0,11.0,13.1121,20.581,14.6355,11.0,25.6973,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2416,15.8815,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8663,11.0,11.0,16.1455,18.7351,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.677,16.3833,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.6056,13.4682,11.0,27.5197,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.3318,14.7946,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3767,18.021
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_11B_13.OKA,5/10/2022 1:15:07 PM,11-B,PM07,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,36.3884,18.7103,15.2404,12.3409,12.7545,11.0,12.1705,12.5825,14.2854,15.8147,20.5591,29.6376,22.8029,13.0639,11.0,11.0,11.0,33.184,11.0,11.0,11.3109,11.0,12.7605,18.5207,14.2286,11.0,26.011,11.0,11.0,11.0,11.0,11.0,11.3683,11.0,11.0,16.8249,16.5247,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5983,11.0,11.0,16.4253,23.8815,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.3871,15.8971,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7052,14.8378,11.0,27.3106,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.3006,15.3712,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2825,21.8967
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_11B_13.OKA,5/10/2022 1:15:07 PM,11-B,PM07,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,38.7349,22.4035,18.3005,15.9075,16.0796,14.6281,12.8334,15.6914,17.5096,17.2744,22.3054,29.8195,22.4242,11.0,11.0,11.0,11.0,34.431,11.0,11.2501,11.0,11.0,13.4187,20.0877,12.302,11.0,26.0383,11.0,11.0,11.0,11.0,11.0,11.5236,11.0,11.0,13.7687,18.3044,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0833,11.0,11.0,18.4949,19.2313,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,26.1753,16.5535,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0117,20.6911,18.0943,11.0,25.2231,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.6498,18.0379,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4389
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_11B_13.OKA,5/10/2022 1:15:07 PM,11-B,PM07,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,30.7049,20.841,16.298,13.0192,14.9525,11.096,12.1736,15.1244,13.9088,14.4207,19.575,30.6765,19.1969,11.659,11.0,11.0,11.0,31.6532,11.0,11.0,11.0,11.0,14.1428,18.4277,14.9646,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8595,11.7556,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.936,11.0,11.0,17.7213,18.9382,11.0,11.3386,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.9899,18.2368,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1253,17.2956,15.0901,11.0,34.5373,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4134,16.425,12.5583,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0936
F:\projects\Omnilog_database\Irina YTF\raw data 1\yiaG R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_11B_13.OKA,5/10/2022 1:15:07 PM,11-B,PM07,yiaG,"24    IF0a+Sodium Succinate/Ferric Citrate
25    IF0a+Sodium Succinate/Ferric Citrate
26    IF0a+Sodium Succinate/Ferric Citrate
27    IF0a+Sodium Succinate/Ferric Citrate
54    IF0a+Sodium Succinate/Ferric Citrate
55    IF0a+Sodium Succinate/Ferric Citrate
74                            M9 No Carbon
75                            M9 No Carbon
76                            M9 No Carbon
77                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,36.033,20.4687,13.7956,14.0098,11.0,12.5298,12.7979,13.8262,15.2431,16.4086,20.2844,31.6782,21.9982,11.1649,11.0,11.0,11.0,36.7381,11.0,12.2457,11.0,14.0603,14.4666,19.8391,15.6989,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8649,15.3622,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5156,11.0,11.0,16.5864,25.7106,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.595,16.3894,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.5769,17.6294,11.0,32.231,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0957,20.5126,15.0045,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.224
