Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_16A_26.OKA,5/17/2022 1:54:44 PM,16-A,PM03B,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7676,13.4975,16.032,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0001,38.9957,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7944,11.0925,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3843,12.8521,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0554,18.2372,13.7193,11.0,11.0,11.0,40.2644,87.5791,11.0,11.0,11.0,11.8962,15.7363,20.0678,16.4707,14.0951,11.0,17.34,11.0,11.0,11.0,17.974,11.0,11.1619,21.6028,18.2034,15.9844,13.0343,16.2059,15.3252,11.0,11.0,11.7707,12.2552,15.9339,19.4642,22.6098
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_16A_26.OKA,5/17/2022 1:54:44 PM,16-A,PM03B,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,12.1881,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0461,19.97,19.7483,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3493,36.9731,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.735,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4396,14.4063,11.5419,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.415,19.6703,16.9447,11.0,11.0,11.0,11.0,46.2478,89.668,11.0,11.0,11.0,17.7381,17.7435,21.5181,15.8281,22.4319,11.9152,24.113,14.1712,11.0,11.0,24.7891,11.0,16.3735,28.1978,27.2051,25.5176,18.1876,19.1669,14.482,11.0,11.5529,12.2056,13.3283,21.4707,25.5146,29.1195
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_16A_26.OKA,5/17/2022 1:54:44 PM,16-A,PM03B,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,15.4615,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.108,20.7518,18.4528,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.784,40.2365,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.9908,12.5919,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.7609,16.3243,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5006,19.5145,19.9795,11.0,11.0,11.0,11.0,49.9543,85.2903,11.0,11.9145,11.0,14.9226,17.8832,19.7727,14.9315,21.6021,13.9638,22.6873,11.0,11.0,11.0,24.3767,11.0,16.9647,25.0373,24.9512,19.6269,19.4172,17.6416,18.2571,11.0,11.0,11.0,14.6325,20.9334,23.3847,22.9723
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_16A_26.OKA,5/17/2022 1:54:44 PM,16-A,PM03B,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0865,16.5784,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,35.8979,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6154,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.418,15.7484,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3577,16.9344,11.0,11.0,11.0,11.0,44.9909,80.9784,11.0,11.0,11.0,14.9681,14.4375,13.3636,11.0,22.5516,11.0,31.8386,11.0,11.0,11.0,23.9206,11.0,12.6881,19.3796,21.807,16.8129,11.0,16.2801,14.9375,11.0,11.0,13.8074,11.0,13.7625,16.9128,25.1451
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_16A_26.OKA,5/17/2022 1:54:44 PM,16-A,PM03B,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.205,14.6978,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1885,13.4668,39.6349,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5586,12.7158,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5474,15.1311,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8243,20.1472,17.3596,11.0,11.0,11.0,11.0,46.1383,81.6992,11.0,11.0,11.0,16.75,17.4447,22.2,12.2156,20.0426,11.0,27.9987,11.0,11.0,11.0,27.1535,11.0,15.1237,15.4298,25.8474,18.8917,16.1189,17.8005,19.4886,11.0,11.0,14.3875,12.818,21.369,22.63,26.4079
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_16A_26.OKA,5/17/2022 1:54:44 PM,16-A,PM03B,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,12.4477,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.2994,14.9687,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6333,32.8945,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.68,11.4056,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7587,14.8844,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8033,16.0787,20.729,11.0,11.0,11.0,11.0,45.2308,79.7174,11.0,11.0,11.0,12.9584,18.2693,19.1737,15.5557,21.2421,12.0117,32.7326,11.0,11.0,11.0,27.0347,11.0,12.1551,19.0949,25.4273,17.5689,18.5057,15.3498,20.8479,11.0,11.2289,12.4,14.0213,17.5455,21.8278,20.9276
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_16A_26.OKA,5/17/2022 1:54:44 PM,16-A,PM03B,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,12.0275,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.4165,18.9126,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.731,35.9426,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.141,14.3998,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6639,18.2521,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4752,16.1243,19.5799,11.0,11.0,11.0,11.0,46.9178,78.1989,11.0,11.0,11.0,18.9834,22.9215,20.557,11.0,26.6553,16.7916,37.6158,11.0,11.0,11.0,25.8755,11.0,14.3908,21.9783,23.9021,21.4865,18.1843,15.9865,13.2863,11.0,11.0,11.0,16.4487,13.4193,20.044,24.8798
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_16A_26.OKA,5/17/2022 1:54:44 PM,16-A,PM03B,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,11.7063,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3941,13.7169,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9555,32.9817,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6436,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6597,15.9236,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8779,17.0934,19.2724,11.0,11.0,11.0,11.0,46.9232,75.0574,11.0,11.0,11.0,16.6256,19.4725,15.8595,13.0468,22.0185,12.6287,35.3065,11.0,11.0,11.0,24.1059,11.0,14.7309,20.637,23.5263,19.4269,17.1017,16.3017,12.6183,11.0,11.0,14.1074,11.0,18.4475,16.4554,27.9936
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_16A_26.OKA,5/17/2022 1:54:44 PM,16-A,PM03B,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,14.2668,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1831,18.5568,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1113,34.9485,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4414,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0167,16.2663,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8255,16.2834,14.0704,12.1791,11.0,11.2265,11.0,45.2763,81.5397,11.0,11.0,11.0,15.277,19.3302,17.6249,12.6423,18.756,16.0199,38.9776,11.0,11.0,11.0,31.3798,11.0,13.7018,16.5921,29.2106,22.2197,17.8933,18.8461,14.6995,11.0,11.0,12.3334,12.8954,17.8527,18.0213,27.4579
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_16A_26.OKA,5/17/2022 1:54:44 PM,16-A,PM03B,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,11.8654,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.1164,16.7874,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3702,29.682,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9595,11.3441,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.277,14.9846,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.44,15.9246,19.5485,12.239,11.1577,11.0,11.0,47.0755,72.4853,11.0,11.0,11.0,16.2702,18.835,16.3669,11.0,24.5739,13.4118,41.2127,11.0,11.0,11.0,29.6192,11.0,13.3717,20.6459,32.8047,27.2996,20.7235,19.5083,13.163,11.0,11.0,15.0937,14.0339,13.0517,25.6362,25.8349
