Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5B_5.OKA,5/17/2022 1:54:44 PM, 5-B,PM01,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,18.7306,44.711,14.8849,15.1988,15.128,11.0,13.0832,12.5485,14.8533,16.7098,19.6416,22.7252,20.9417,11.0,11.0,15.8742,11.0,11.0,11.0,33.9286,11.0,13.1129,11.3716,20.7449,13.2035,11.0,11.0,52.6698,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1446,14.7254,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.912,14.7772,11.0,13.3202,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3586,11.915,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4742,14.2487,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.815,14.2336,11.0,11.0,11.0,11.0,58.0843,11.0,11.0,11.0,11.0,11.0,17.6689
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5B_5.OKA,5/17/2022 1:54:44 PM, 5-B,PM01,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,24.9104,53.6291,13.2973,20.3777,12.4375,13.7686,16.6893,17.2246,19.4769,15.2076,22.4235,28.5559,21.1791,11.132,11.0,17.0861,12.1171,11.7075,11.0,40.2641,11.0,12.606,14.0001,21.3797,16.164,11.0,11.0,56.9645,11.0,11.0,11.0,11.0,11.0,11.0,13.7056,17.0566,15.3798,11.0,12.6451,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1429,15.4653,11.0,19.0755,12.3874,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0626,15.8208,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.2383,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0957,14.9824,11.0,11.0,11.0,11.0,57.1341,11.0,11.0,11.0,11.0,11.0,21.2926
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5B_5.OKA,5/17/2022 1:54:44 PM, 5-B,PM01,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,24.4243,51.0304,13.5232,14.7704,12.3078,11.0,11.0,12.0109,14.1447,15.243,24.3965,25.685,15.9274,11.0,11.0,16.1662,11.0,11.0,11.0,38.4062,11.0,11.0,12.5448,15.7816,14.63,11.0,11.0,50.4109,11.0,11.0,11.0,11.0,11.0,11.0,11.5573,18.7763,17.1653,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5958,18.6218,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2008,12.3286,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.065,12.2792,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7168,15.85,11.0,11.0,11.0,11.0,57.1788,11.0,11.0,11.0,11.0,11.0,19.6279
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5B_5.OKA,5/17/2022 1:54:44 PM, 5-B,PM01,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,24.2803,49.449,19.2853,11.0,14.5885,13.6493,11.0,11.3782,18.7698,18.2499,25.0861,20.254,16.6701,11.0,13.0996,11.0,11.0,11.0,11.0,40.4651,11.0,11.0,16.5433,18.2809,18.2766,11.0,11.0,52.8339,11.0,11.0,11.0,11.0,15.5124,11.0,11.0,19.1116,14.3553,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5768,15.7324,11.0945,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0179,11.0,14.2178,12.234,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1561,13.3579,12.4999,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2176,16.3664,11.0,11.0,11.0,11.0,55.8257,11.0,11.0,11.0,11.0,11.0,15.1615
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5B_5.OKA,5/17/2022 1:54:44 PM, 5-B,PM01,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,27.0917,53.9891,28.3852,11.9055,13.9886,14.1962,13.4957,16.2109,17.6122,20.1857,39.8065,28.0543,25.0501,25.0888,21.1014,15.6293,15.215,18.4061,12.3425,46.6171,12.5252,11.0,21.3358,19.1313,23.6672,11.0,11.0,62.7674,11.0,11.0,15.8735,11.0,19.5025,11.0,12.831,18.4036,17.6056,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.1393,15.26,11.0,15.2546,13.7954,11.0,11.0,11.0,11.0,11.0,28.9632,11.0,18.2376,18.1164,11.5998,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.8795,14.7724,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.7547,17.5918,11.0,11.0,11.0,11.0,58.0997,11.0,11.0,11.0,11.0,11.0,15.7677
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5B_5.OKA,5/17/2022 1:54:44 PM, 5-B,PM01,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,24.4891,54.6284,34.6755,15.1886,12.6541,12.0289,11.0,13.7268,13.2929,26.9605,48.2553,26.7968,32.1982,29.4583,27.0061,26.9618,18.7714,18.8549,26.5731,49.7851,14.251,11.0,28.7542,17.73,27.2098,11.0,11.0,57.2538,11.0,11.0,21.0674,11.0,24.6268,11.0316,11.0,24.293,14.5759,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,29.9152,19.0825,11.0,11.0,14.6613,11.0,11.0,11.0,11.0,11.0,37.6927,11.0,13.9215,15.6252,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.769,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3415,11.0,15.7372,14.2929,11.0,11.0,11.0,27.7292,56.6826,11.0,11.0,11.0,11.0,11.0,20.7933
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5B_5.OKA,5/17/2022 1:54:44 PM, 5-B,PM01,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,21.8228,56.8652,39.8272,18.3574,16.3008,24.7803,14.0646,14.4262,13.4452,34.9142,62.2653,38.0759,36.8371,36.0039,36.2203,31.7952,22.1076,31.5851,41.4681,58.3022,27.142,11.6036,45.6618,30.8674,32.4004,11.0,11.0,64.4304,11.0,11.0,34.0596,11.0,33.9522,17.2287,16.5905,31.8238,12.844,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,35.4856,16.3015,11.0,14.7267,21.5429,11.0,11.0,11.0,11.0,11.0,52.1104,11.0,22.785,13.0122,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5013,28.6612,13.7557,11.0,20.9256,11.0,11.0,11.0,11.0,11.0,11.0,21.5203,11.0,24.0143,13.6987,11.0,11.0,11.0,60.0607,59.6512,11.0,24.2862,11.0,19.8334,14.4421,23.5117
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5B_5.OKA,5/17/2022 1:54:44 PM, 5-B,PM01,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,16.1352,52.8735,47.1113,16.2627,16.8253,27.3216,12.8909,15.3798,14.7333,40.2389,62.0533,42.1201,49.1386,43.5267,48.9493,40.0582,31.8761,30.7973,44.2553,62.9294,30.3992,11.0,43.5368,30.2855,33.0672,11.0,11.0,69.9154,14.666,11.0,34.0522,11.0,32.6075,17.1479,11.9939,37.9881,13.7193,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,43.7188,14.1844,11.0,18.8756,28.5714,11.0,11.0,11.0,11.0,11.0,62.1639,11.0,22.0166,14.2429,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.5201,29.8007,11.6866,11.0,22.6517,11.0,11.0,11.0,11.0,11.0,11.0,25.3624,11.472,22.1874,13.6706,11.0,11.0,11.0,66.1435,58.1465,11.0,30.3626,11.0,20.197,11.3149,23.8936
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5B_5.OKA,5/17/2022 1:54:44 PM, 5-B,PM01,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,25.2453,50.927,54.622,18.7936,16.2057,34.0101,14.6255,14.7104,14.8816,51.7904,72.4709,49.4663,59.0438,49.0449,51.7675,47.6927,35.4458,35.3763,56.1952,70.6667,41.233,11.0,48.4123,30.3168,39.9881,15.7371,11.0,74.6243,24.1152,11.0,43.1856,11.0,38.9553,27.6275,14.1152,44.9323,14.7602,11.0,11.0,11.0,11.0,11.0,11.0,13.6369,11.0,11.0,11.9138,57.0029,17.0297,11.0,26.2663,41.1218,13.6207,11.0,11.0,11.0,11.0,67.9723,11.0,27.3591,14.5302,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.8239,35.433,12.0956,11.0,32.8997,11.0,11.0,11.0,11.0,11.0,11.0,31.9516,12.3211,29.6729,18.0756,11.0,11.0,11.0,73.5057,60.9335,11.0,39.8306,11.0,30.2264,11.4718,24.5619
F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5B_5.OKA,5/17/2022 1:54:44 PM, 5-B,PM01,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,22.7115,55.7743,57.1879,19.1743,21.9633,36.7547,15.0683,19.5063,14.3301,56.2804,77.2716,53.4387,63.7933,52.7396,59.2513,53.5702,39.6611,40.4055,67.025,74.7829,47.8061,12.6381,56.0552,26.331,43.6703,19.9649,11.0,81.8605,29.7158,11.0,42.1022,11.0,46.258,32.3447,19.1534,48.791,16.5888,11.0,11.0,11.0,16.6696,11.0,11.0,16.3082,11.0,11.0,11.0,61.3125,18.0494,11.0,38.073,46.26,21.5317,11.0,11.0,13.1676,11.0,74.095,13.4839,32.6868,16.3498,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,33.7957,39.5696,11.0,11.0,36.5172,11.0,11.0,11.0,11.0,11.0,11.0,36.9418,14.6537,31.5788,17.3386,11.0,11.0,11.0,81.0712,57.6819,11.0,41.4565,11.4822,28.6801,14.3046,21.7506
