Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 9B_9.OKA,5/10/2022 1:15:07 PM, 9-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,23.0795,19.1391,13.7509,16.754,11.0,13.1466,11.0,14.8332,14.5371,13.4243,20.9584,24.2377,20.2646,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7727,13.9083,16.0883,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.2458,13.3484,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7295,11.1889,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8763,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4459,13.1937,11.0,19.1435,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0145,12.0249,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.3361
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 9B_9.OKA,5/10/2022 1:15:07 PM, 9-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,21.3188,17.3059,16.5154,18.8183,11.1226,13.8756,11.0,12.2324,12.9126,11.0,18.5815,18.5936,21.26,11.0,11.0,11.0,11.0,11.8501,11.0,11.0,11.0,11.0,12.9495,18.3655,18.9697,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8041,12.9978,13.427,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8118,14.972,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7059,15.5861,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1373,12.1293,11.0,20.1324,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9611,12.4008,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0135
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 9B_9.OKA,5/10/2022 1:15:07 PM, 9-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,26.4653,19.7606,12.8683,19.7725,15.4174,14.2255,13.6427,16.217,18.5703,16.4631,18.3615,25.5523,23.5298,11.0,11.0,11.0,11.0,12.1216,11.0,11.0,11.0,11.0,15.5564,15.8019,14.3841,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2625,11.0,11.0,18.4407,16.2836,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0821,11.0,13.5876,17.1377,18.4087,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.4108,12.4505,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8056,17.403,11.0,23.615,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.5842,11.8714,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3792,27.8226
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 9B_9.OKA,5/10/2022 1:15:07 PM, 9-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,23.2506,20.0178,11.8419,23.7859,11.0,12.7577,14.654,13.6777,16.4531,16.4221,17.8641,26.4019,23.3038,11.0,11.0,11.0,12.0255,13.212,11.0,11.0,11.0,11.0,15.6038,17.39,19.9167,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9319,15.6096,18.0212,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2456,15.5327,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.822,14.9155,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.6196,12.2875,11.0,22.1068,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.504,21.0112,14.4214,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,30.8389
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 9B_9.OKA,5/10/2022 1:15:07 PM, 9-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,24.1536,16.0194,15.8832,25.6274,15.8264,16.8412,11.7272,11.572,17.4931,20.753,21.2116,25.1184,23.4676,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4676,11.0,11.538,18.3792,12.9713,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7695,16.5346,15.9081,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8912,11.0,11.0,15.3071,16.2806,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.8308,21.0112,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.2684,15.4372,11.0,26.5183,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.2165,13.1146,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6937,30.4767
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 9B_9.OKA,5/10/2022 1:15:07 PM, 9-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,24.4718,18.4962,11.0,23.2704,14.9314,16.7869,11.0,11.0,11.7585,12.8275,19.2054,22.6904,18.5451,11.0,11.0,11.0,11.9002,12.9573,11.0,11.0,11.0,11.0,13.6795,18.2488,17.9548,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.333,17.2896,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8558,11.0,11.0,19.2142,17.6956,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.022,15.768,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9465,11.0,11.0,22.3414,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2214,18.6079,17.4385,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2287,35.7421
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 9B_9.OKA,5/10/2022 1:15:07 PM, 9-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,27.2126,21.5375,15.8828,22.7874,11.2506,14.687,12.7082,11.0,16.8198,12.8494,20.3375,24.6163,21.8902,12.1794,11.0,11.0,11.0,11.418,11.0,11.0,11.2488,11.0,13.7665,22.2339,16.5076,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0921,11.0,11.9655,16.0693,17.586,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.4173,19.4564,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.2219,14.4495,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6642,13.8394,11.0,23.3845,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6442,17.0143,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2016,38.7147
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 9B_9.OKA,5/10/2022 1:15:07 PM, 9-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,25.5042,21.0144,19.2291,25.9711,16.8898,15.8057,14.1294,14.8728,18.7927,15.2041,16.3986,26.2349,19.7417,11.0,11.0,11.0,11.0,13.5678,11.0,11.0,11.0,11.3171,18.4132,19.0111,16.1446,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0021,11.0,15.1667,14.9014,16.5876,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8029,17.4064,20.9449,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.5767,16.461,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5372,17.8479,14.8753,11.0,21.3238,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0165,15.6506,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6966,38.7882
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 9B_9.OKA,5/10/2022 1:15:07 PM, 9-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,21.8846,21.0345,14.0689,28.0857,17.0376,15.7659,13.2838,15.7226,19.6326,17.5537,16.399,25.0722,20.7537,14.6575,11.0,11.0,11.0,11.0,11.0,11.0,11.999,11.3181,17.3484,15.8566,13.6642,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2979,18.2422,16.0689,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1881,25.8384,11.0,11.2155,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.7948,17.4361,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0626,18.2476,15.777,11.0,24.6352,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9576,15.5619,17.1395,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9226,40.9748
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 9B_9.OKA,5/10/2022 1:15:07 PM, 9-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,25.7766,22.6513,19.6761,29.4,14.5662,14.8883,14.5958,15.679,19.2367,20.9948,22.8108,25.9291,25.6118,11.5275,11.0,11.0,14.2881,13.9525,11.0,15.7025,11.0,14.0603,14.4981,22.6602,17.8579,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0584,16.7437,20.6279,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7163,11.0,12.514,20.0934,31.7768,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.1907,21.2277,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.8821,14.3147,11.0,21.9631,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8175,17.5054,14.8182,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,40.9067
