Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10B_11.OKA,5/10/2022 1:15:07 PM,10-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,22.437,19.3059,17.8939,14.1008,11.0,11.0,12.6637,16.2183,13.5724,14.2105,24.9483,31.1099,17.534,13.4157,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.292,13.9346,18.3851,15.9252,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.3307,14.1527,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6583,13.5187,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.7526,13.2145,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6368,14.097,11.6321,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9606,13.5303,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1302,21.2856
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10B_11.OKA,5/10/2022 1:15:07 PM,10-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,23.8909,17.2109,15.6014,14.9397,11.4292,12.1878,13.749,11.0,13.7147,13.9492,20.4458,25.0026,19.7102,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.062,11.8355,16.5396,17.2021,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4325,12.6289,11.3687,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9948,16.5249,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.3369,14.168,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.2512,17.1346,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9533,14.4107,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0369
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10B_11.OKA,5/10/2022 1:15:07 PM,10-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,26.9611,22.2636,23.176,18.0927,15.1996,14.4491,25.4089,14.5199,16.7246,17.4215,20.0432,29.4288,20.0809,11.0,11.0,11.0,12.6237,11.0,11.0,11.0,11.0,11.0,15.4307,16.4021,15.8073,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3112,20.3558,14.5328,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6409,17.6051,22.1131,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,32.8175,14.8886,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.773,18.34,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.1176,18.5937,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.5005
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10B_11.OKA,5/10/2022 1:15:07 PM,10-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,23.8741,18.3371,12.0038,15.9534,12.163,12.7896,24.8916,14.3708,16.5472,20.2495,21.169,27.5416,22.3283,11.3323,11.0,11.0,14.0144,13.18,11.0,11.2512,11.8457,11.0,12.0091,20.1422,18.5255,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5354,11.0,14.1373,14.5993,16.1092,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7681,19.1474,17.9828,13.38,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.5018,15.9329,11.1911,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9407,21.5584,13.8262,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1183,18.6844,17.7184,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1545,22.5778
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10B_11.OKA,5/10/2022 1:15:07 PM,10-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,22.8133,18.6425,12.7027,15.8345,14.9856,13.1386,23.805,12.3028,14.67,16.1465,21.5594,31.1295,23.5306,11.0,11.4848,11.0,15.8965,11.0,11.0,11.0,11.0,12.0772,13.057,18.9784,13.1938,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.57,16.0629,14.0011,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4307,19.2851,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,26.0223,21.501,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0629,20.0816,19.4369,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.85,20.7132,15.7267,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.482,16.2164
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10B_11.OKA,5/10/2022 1:15:07 PM,10-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,26.743,21.5526,12.5809,12.3738,15.1186,14.4849,25.8617,12.3953,14.7608,14.8794,20.9478,28.5047,19.3377,13.5455,11.0,11.0,14.1974,11.0,11.0,11.0,13.7415,12.1418,14.0263,20.2659,20.3257,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9621,17.0427,14.8176,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4436,20.7021,18.0624,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.9336,17.7983,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0159,20.1542,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6957,18.2705,15.1679,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2646,20.8417
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10B_11.OKA,5/10/2022 1:15:07 PM,10-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,25.7247,23.6257,12.7989,14.4302,13.6631,12.2183,24.2229,11.0,15.1302,14.8581,23.6927,27.204,22.6141,17.2572,11.0,11.0,13.6231,11.0,11.0,11.7494,13.954,11.2854,17.0359,19.2445,14.9249,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7979,11.0,15.5471,16.4471,16.4311,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1642,22.2536,18.8502,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3331,29.6977,19.3774,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3153,21.4099,20.4542,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6319,17.7583,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.798,21.7135
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10B_11.OKA,5/10/2022 1:15:07 PM,10-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,23.0816,20.8852,17.6922,16.125,15.2382,18.3199,28.0063,13.4244,18.0103,18.0387,23.7662,29.0779,22.1086,11.0,11.7099,11.0,13.8423,12.5086,11.0,12.876,11.0,12.6174,16.497,23.5075,16.9703,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9548,11.0,15.5709,18.5511,18.6166,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3146,22.7866,18.9559,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3402,26.2059,15.4428,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5098,24.3902,23.0009,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3489,19.7109,16.7977,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0517,22.7116
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10B_11.OKA,5/10/2022 1:15:07 PM,10-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,23.7925,24.003,14.4243,16.281,16.6953,13.7508,26.4153,13.2668,15.7229,15.3478,24.3706,32.678,17.2906,13.6031,11.0,11.3845,15.1844,11.0,11.0,12.7927,13.6537,11.0954,17.757,22.9034,16.8993,11.0,12.6273,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0048,21.5968,12.7631,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9666,22.2645,20.2511,11.5709,12.1082,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1695,28.6815,18.5447,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0396,22.7006,25.9243,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.607,19.2916,17.0772,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3996,23.4793
F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10B_11.OKA,5/10/2022 1:15:07 PM,10-B,PM05,yidZ,"28    IF0a+Sodium Succinate/Ferric Citrate
29    IF0a+Sodium Succinate/Ferric Citrate
30    IF0a+Sodium Succinate/Ferric Citrate
31    IF0a+Sodium Succinate/Ferric Citrate
56    IF0a+Sodium Succinate/Ferric Citrate
57    IF0a+Sodium Succinate/Ferric Citrate
78                            M9 No Carbon
79                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,24.5608,25.6685,15.8522,17.454,16.1616,13.1672,31.9125,14.1402,21.2958,24.474,27.0109,32.4509,26.7431,14.5609,13.3484,11.0,16.0252,13.4069,11.0,12.8685,11.0,16.6158,17.2713,27.1424,18.3659,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4511,11.0,16.9881,20.102,19.6309,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7816,22.9487,23.1325,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.8204,27.0773,21.1664,14.2597,11.0,11.0,11.0,11.0,11.0,11.062,11.0,11.0,14.363,25.8036,29.2308,12.8715,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3219,18.8556,18.357,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1917,23.6116
