Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 6A_2.OKA,5/10/2022 1:15:07 PM, 6-A,PM05,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,15.8904,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2609,18.1772,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9748,15.3737,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9947,17.117,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1608,15.2461,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3438,13.791,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8432,21.8882,20.2984,15.1239,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.982,23.1249,20.0086,11.0,15.5283,11.0,11.3719,11.0,12.7087,17.9877,11.5089,21.0846,24.6102
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 6A_2.OKA,5/10/2022 1:15:07 PM, 6-A,PM05,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.609,14.1985,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.3565,13.1363,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6598,11.7091,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8068,15.5524,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8399,16.9721,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3738,19.0637,21.3909,12.1308,11.0,11.0,11.0,11.0,11.0,12.1705,11.0,11.0,16.8286,21.7571,31.753,20.5751,13.4816,15.1123,16.5848,11.0,11.6699,11.0,11.0,14.9017,20.117,21.4164
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 6A_2.OKA,5/10/2022 1:15:07 PM, 6-A,PM05,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,16.0462,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.265,15.5337,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.107,14.5535,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.1356,16.6127,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.207,17.8103,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.6154,19.3352,12.7223,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6959,24.378,27.9658,13.8932,16.3904,11.0,11.0,11.0,11.0,16.1947,14.6063,11.8792,17.4404,24.1497,29.9452,23.6459,20.0879,19.0952,15.8741,17.5439,16.1138,14.0877,12.5943,21.0561,23.5355,27.5186
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 6A_2.OKA,5/10/2022 1:15:07 PM, 6-A,PM05,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.4184,19.4317,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0946,19.3273,15.4902,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.4934,13.9861,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.3064,17.6057,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6268,21.1589,20.7881,11.6378,11.0,11.0,11.0,11.7069,11.0,11.0,11.0,11.0,16.9643,22.8908,19.5114,16.7401,11.0,11.0,11.0,11.2909,11.0,15.3748,11.0,11.0,13.3235,23.413,32.5793,21.9304,13.6024,17.7851,12.3645,11.3288,11.9757,16.181,14.7109,18.3965,19.4096,25.9912
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 6A_2.OKA,5/10/2022 1:15:07 PM, 6-A,PM05,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8608,14.7519,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5981,15.7521,14.591,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9424,19.0535,13.0121,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.8658,15.6486,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5401,20.7278,21.4131,11.1598,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0245,23.1924,24.7271,16.1236,12.0458,11.0,11.0,11.0,11.0,16.7581,11.0,11.6857,14.7958,23.5239,35.4965,18.8501,17.7619,20.3614,18.6571,15.6585,12.1097,15.2282,11.587,19.5414,18.6859,28.6882
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 6A_2.OKA,5/10/2022 1:15:07 PM, 6-A,PM05,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,12.4811,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6381,17.2323,17.2103,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8736,14.2921,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2219,16.6783,16.9353,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.703,13.8363,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5445,22.1668,20.7569,11.0966,11.5683,11.0,11.0,11.0,11.0,11.0,11.8523,11.0,13.6525,26.3564,24.5479,17.8474,14.0278,12.4308,11.0,11.0,11.0,20.841,11.8965,15.2818,11.0,28.3377,33.1836,24.8818,18.0535,16.4422,15.9203,11.0,16.7384,14.3958,11.0,15.9572,21.9109,27.4454
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 6A_2.OKA,5/10/2022 1:15:07 PM, 6-A,PM05,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,12.7656,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.7799,20.0589,16.0229,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4199,17.9408,18.0282,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2205,20.3311,15.8342,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6568,25.247,14.9984,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8406,23.0961,22.2893,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.396,26.5616,26.3806,15.6989,13.1316,11.0,14.2336,12.5944,11.0,25.5084,11.0,14.4431,20.4269,26.6916,32.5485,20.2298,14.639,18.7081,16.0565,14.9276,15.7881,11.0,16.9368,21.4562,26.9432,27.6205
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 6A_2.OKA,5/10/2022 1:15:07 PM, 6-A,PM05,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,12.9593,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5583,24.7136,18.1981,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8794,23.5581,13.9667,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9166,20.0866,16.0849,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.6617,20.3582,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0489,24.3628,22.7329,14.4189,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1259,28.0612,28.8189,16.4317,11.0,12.2131,11.0,13.172,11.0,31.2962,12.2903,17.1923,15.6439,26.9484,34.4039,23.1711,16.2696,14.877,19.3222,13.4696,14.6663,13.713,18.2989,25.2602,24.8655,31.4013
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 6A_2.OKA,5/10/2022 1:15:07 PM, 6-A,PM05,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,13.1606,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7095,20.6416,19.976,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1491,18.0199,12.0772,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.6951,20.6026,18.4989,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.39,20.0458,14.8,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.7088,23.1121,23.1536,13.0857,11.1893,11.0,11.4405,11.0,11.0,11.0,12.7854,11.0,18.3526,26.6689,28.7798,18.459,11.0656,11.4887,13.5627,12.9109,11.0,31.152,11.0,14.5728,18.2195,27.4841,35.526,22.332,18.7695,20.7964,18.3319,16.0494,13.8998,16.0296,16.3398,22.607,23.5375,29.4447
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 6A_2.OKA,5/10/2022 1:15:07 PM, 6-A,PM05,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,12.3235,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.3506,20.7836,16.6751,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.4099,20.1179,15.5709,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.9492,16.6596,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6708,23.6801,23.1464,11.0,11.0,11.0,11.0,11.0,11.0,11.3784,11.0,11.0,13.3332,23.717,20.1799,15.2478,11.0,11.0,11.0,13.4394,11.0,11.0,11.0,12.0541,17.4536,26.6498,25.6739,17.2147,14.2495,11.0,17.1924,15.8149,11.0,32.9872,11.3213,17.1373,14.6873,29.362,35.7,23.2113,18.8648,15.8455,17.7264,19.7054,17.6488,14.3145,20.4194,22.9778,27.7531,30.104
