Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5B_1.OKA,5/10/2022 1:15:07 PM, 5-B,PM07,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,17.9072,13.0014,12.4583,11.7033,11.0,11.0,11.0,13.5125,13.8297,21.1229,28.484,41.339,17.664,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7408,24.463,12.3699,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3703,13.1554,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5053,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.7668,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.5131,11.0,11.0,28.8569,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2558,21.912,13.2741,11.0,11.559,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.5516,25.0517
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5B_1.OKA,5/10/2022 1:15:07 PM, 5-B,PM07,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,18.1344,15.6265,12.1346,13.6876,11.0,11.0,11.0,12.633,11.3393,13.3217,21.1294,28.1312,13.3868,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.9941,13.5739,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.518,11.0,14.0144,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.531,11.5376,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5979,13.5948,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8978,11.0,11.0,17.0674,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0736,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9719
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5B_1.OKA,5/10/2022 1:15:07 PM, 5-B,PM07,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,23.335,21.8785,13.3514,15.884,15.5729,11.7026,14.7123,12.6657,15.8487,16.6547,22.0105,32.5361,14.1641,12.5196,11.0,11.0,11.0,11.1923,11.0,11.0,11.0,11.0,13.4196,22.2782,16.1235,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6224,15.6151,12.6257,17.1332,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5996,16.5458,16.7691,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.9931,14.7034,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0192,12.8116,11.0,28.0618,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.6757,14.1122,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.9194
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5B_1.OKA,5/10/2022 1:15:07 PM, 5-B,PM07,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,21.0686,18.7249,11.0,16.4797,11.0,11.0,12.1655,12.2601,15.795,15.242,21.2325,29.9751,16.853,11.0,11.0,11.0,12.1809,11.0641,11.0,11.0,11.0,11.0,11.473,17.8645,11.5375,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4606,11.0,13.7025,15.0413,11.0,16.6339,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.509,11.2144,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.8284,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.1415,11.0,11.0,23.2776,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1027,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.798,19.7217
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5B_1.OKA,5/10/2022 1:15:07 PM, 5-B,PM07,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,22.4081,13.3964,14.1163,15.2767,12.806,11.0,13.3713,11.1589,17.4931,18.0844,20.9271,32.455,16.2893,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.9494,22.4473,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0055,17.6038,11.0,22.7337,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7478,16.2806,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.1351,15.0412,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6388,11.0,11.0,20.7345,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4737,19.8885,12.4305,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.2473
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5B_1.OKA,5/10/2022 1:15:07 PM, 5-B,PM07,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,22.1384,20.6196,12.9358,12.0616,15.4619,11.0,13.2499,12.3319,11.0,11.2244,20.6944,34.1335,15.0579,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9545,18.1542,11.2845,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2769,14.7452,14.6611,24.6626,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4555,13.9656,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.3285,14.4145,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.67,11.1562,11.0,20.2764,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.783,16.4912,11.2177,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0404,17.6837
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5B_1.OKA,5/10/2022 1:15:07 PM, 5-B,PM07,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,19.5248,17.618,12.3171,11.0,14.4777,11.0,12.7715,11.0,14.1915,16.8669,19.9577,30.9623,17.83,11.4586,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6467,20.9752,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5606,15.534,11.0,27.4744,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3553,17.0316,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,26.8398,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8578,12.4665,11.0,18.2456,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0123,13.9141,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.8284
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5B_1.OKA,5/10/2022 1:15:07 PM, 5-B,PM07,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,18.5782,15.2319,13.3375,12.025,14.9889,12.5595,11.1264,11.3778,12.7839,16.6374,20.6858,33.8059,17.4695,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6752,15.9397,11.2223,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.342,14.2092,15.3077,27.9301,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7873,13.3635,12.6524,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2351,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7562,14.0002,11.0,17.0089,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.3966,16.7357,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2195,19.7914
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5B_1.OKA,5/10/2022 1:15:07 PM, 5-B,PM07,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,18.3502,16.0979,13.6813,16.1568,13.2097,11.0,11.9516,14.5892,16.1921,14.7084,20.2101,34.5564,13.5099,12.9771,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8914,18.7134,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0789,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8317,16.2209,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.6109,12.1086,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.501,12.8733,11.0,19.7948,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6135,13.3374,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6768,22.2864
F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5B_1.OKA,5/10/2022 1:15:07 PM, 5-B,PM07,yneJ,"36    IF0a+Sodium Succinate/Ferric Citrate
37    IF0a+Sodium Succinate/Ferric Citrate
38    IF0a+Sodium Succinate/Ferric Citrate
39    IF0a+Sodium Succinate/Ferric Citrate
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,17.9519,17.6762,15.6915,13.3272,11.0,13.1354,15.0689,15.7104,15.2119,17.6737,25.2109,28.1545,17.159,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1042,14.6556,19.9645,11.3492,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0308,11.0,11.0,14.7977,16.0165,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.347,14.9415,19.887,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.209,14.7665,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.952,12.6261,11.0,22.0262,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.8488,19.3466,12.9867,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.8158
