Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15A_24.OKA,5/17/2022 1:54:44 PM,15-A,PM03B,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7614,12.4818,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6064,16.8104,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.5729,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6536,14.4882,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4892,13.6256,11.0,11.0,11.0,11.4126,73.9348,11.0,11.0,11.0,13.6576,12.6103,14.2519,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.0806,15.7287,27.4756,22.2474,13.298,12.5749,14.2615,11.0,11.0,11.0,11.0,11.0,11.3571,20.7418,20.6323
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15A_24.OKA,5/17/2022 1:54:44 PM,15-A,PM03B,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.25,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0387,18.5569,17.0831,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2202,12.5115,11.508,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9842,14.7256,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2326,14.5325,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7477,19.3561,18.3916,12.0584,11.0,11.0,11.0,13.5728,80.2407,11.0,11.0,11.0,17.1426,16.2985,18.5084,13.4633,13.7358,12.6997,11.0,12.7938,11.0,11.0,11.0,14.5476,16.0438,33.3055,29.119,19.8937,17.6219,18.3375,12.5653,14.0933,11.2277,11.0,15.4927,22.6852,21.7636,26.0457
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15A_24.OKA,5/17/2022 1:54:44 PM,15-A,PM03B,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.5,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1452,14.522,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6611,11.0315,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7476,14.5583,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.448,13.7409,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4748,14.299,18.5765,11.0,11.0,11.0,11.0,11.1925,76.9677,11.0,11.0,11.0,13.0878,14.9379,14.0832,17.1267,11.0,14.4198,11.0,11.0,11.0,11.0,11.0,11.0,15.6538,35.6461,23.8633,13.9087,16.9649,16.9711,15.9437,11.3615,11.0,11.0,12.9962,15.4076,23.6134,24.1728
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15A_24.OKA,5/17/2022 1:54:44 PM,15-A,PM03B,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,0.75,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7694,14.3407,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3036,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4982,14.3031,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.9028,14.3648,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.1203,11.0,11.0,11.0,11.0,19.8785,76.9455,11.0,11.0,11.0,16.3223,16.0438,11.543,11.0,12.5944,12.5395,12.2295,11.0,11.0,11.0,11.0,11.0,13.4163,40.4096,23.2821,19.1248,11.0,13.8481,13.6039,11.098,11.0,11.0,12.242,15.9331,19.0808,22.944
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15A_24.OKA,5/17/2022 1:54:44 PM,15-A,PM03B,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.1098,20.2446,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.74,15.7413,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.5509,16.5219,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3486,15.6631,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6122,17.2037,11.0,11.0,11.0,11.0,23.4943,79.2214,11.0,11.0,11.0,14.2188,17.03,17.5622,14.3511,13.342,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.167,36.341,24.2862,16.2282,14.9555,17.737,14.7236,11.9782,11.3259,11.0,14.3114,18.556,22.858,24.6745
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15A_24.OKA,5/17/2022 1:54:44 PM,15-A,PM03B,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.25,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4843,12.4804,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0786,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.809,16.2731,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5295,15.9182,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.6011,15.4478,20.3871,11.0,11.0,11.0,11.0,22.6048,81.1316,11.0,11.0,11.0,12.4214,18.5563,16.6709,12.1554,11.0,14.3616,11.0,11.0,11.0,11.0,11.0,11.0,14.0032,17.1118,25.5231,18.6583,15.8156,14.4862,16.6004,11.0,11.7194,11.0,16.7178,19.4437,19.9305,17.3472
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15A_24.OKA,5/17/2022 1:54:44 PM,15-A,PM03B,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.5,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.3858,19.288,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8325,15.0575,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.2381,15.6474,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9651,19.6901,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.792,17.5704,16.6159,11.0,11.0,11.0,11.0,24.6429,79.1695,11.0,11.0,11.0,18.9208,20.5946,21.0949,11.0,14.313,12.8546,11.0,11.0,11.0,11.0,11.0,11.0,15.7076,22.6866,22.6825,16.9358,16.6945,15.4431,12.7782,11.0,11.0,11.0,16.773,13.4524,17.117,22.8739
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15A_24.OKA,5/17/2022 1:54:44 PM,15-A,PM03B,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,1.75,14.7241,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.5894,14.9805,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.2622,13.2924,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.146,12.1628,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9955,17.0526,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.905,21.4804,11.0,11.0,11.0,11.0,22.802,76.8922,11.0,11.0,11.0,17.8827,16.9467,13.6044,13.5419,11.0,15.9513,11.0,11.0,11.0,11.0,11.0,11.0,18.4292,20.4098,30.8759,20.3157,15.2779,16.8766,13.6019,11.0,11.0,11.0,11.0,18.2507,21.9762,26.674
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15A_24.OKA,5/17/2022 1:54:44 PM,15-A,PM03B,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.0,15.8681,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.2835,17.4593,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8295,13.1399,11.0,11.0,11.0,11.0,11.0,11.0,11.0312,11.0,11.0,11.0,17.5108,16.8703,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0934,14.1974,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.508,16.1891,20.5558,11.0,11.0,11.5177,11.0,28.3791,78.6246,11.0,11.0,11.0,17.9502,19.3302,18.3189,12.9051,11.0,15.1724,12.1999,11.0,11.0,11.0,11.0,11.0,15.8105,20.396,34.6005,22.3513,19.8155,16.8285,17.2291,18.1688,11.0,12.6586,15.1176,17.033,18.285,20.6488
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15A_24.OKA,5/17/2022 1:54:44 PM,15-A,PM03B,yahB,"42    IF0a+Sodium Succinate/Ferric Citrate
43    IF0a+Sodium Succinate/Ferric Citrate
60    IF0a+Sodium Succinate/Ferric Citrate
61    IF0a+Sodium Succinate/Ferric Citrate
66                            M9 No Carbon
67                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R1,2.25,11.2564,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6123,15.8438,11.7535,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.2211,14.7427,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0006,16.3489,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8886,14.2316,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6119,12.4206,22.0353,11.0,11.0,11.0,11.0,24.4557,79.5204,11.0,11.0,11.0,17.3995,21.797,15.954,11.5607,14.0019,15.4325,11.0,11.0,11.0,11.0,11.0,11.0,16.4023,23.3558,40.838,28.8706,20.6246,20.0819,12.6859,11.0,11.0,11.8772,14.9146,15.666,24.7639,26.7682
