Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 4B_3.OKA,5/17/2022 1:54:44 PM, 4-B,PM01,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,29.5104,49.8042,17.6327,18.7234,17.5131,12.963,14.0159,15.088,15.3157,18.9999,23.5101,24.187,25.4663,11.0,11.0318,17.8239,12.874,11.0,11.0,40.3648,11.3683,12.5536,14.3755,21.8895,22.9797,11.0,11.063,55.2118,11.0,11.0,11.0,11.0,11.8788,11.0,11.0,13.3621,17.0961,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.4963,19.5438,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4386,14.4466,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8501,16.4681,17.8039,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.6008,19.3585,11.0,11.0,11.0,11.0,60.1536,11.0,11.0,11.0,11.0,11.0,17.1257
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 4B_3.OKA,5/17/2022 1:54:44 PM, 4-B,PM01,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,26.0308,53.6936,15.9829,20.6563,13.2813,15.137,18.3238,17.8219,19.7584,16.7376,25.1358,31.0463,23.322,14.9929,11.0,18.015,13.4514,11.0,11.0,43.9105,11.0,11.6928,16.2422,26.4591,20.631,11.0,11.0,60.3014,11.0,11.0,11.0,11.0,14.9922,11.0,14.0477,19.7868,19.7284,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.1895,20.1304,18.4626,11.0,11.0,12.7343,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.7563,18.2466,11.5082,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.639,19.0731,16.1787,11.0,15.9929,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8808,19.9294,11.0,11.0,11.0,11.0,63.1205,11.0,11.0,11.0,11.0,11.1579,19.6385
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 4B_3.OKA,5/17/2022 1:54:44 PM, 4-B,PM01,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,26.4489,54.8074,22.4839,18.0423,18.4731,13.3068,11.9185,16.5285,16.4088,20.4111,37.6354,28.9621,20.7277,22.2908,15.9916,16.3257,14.2143,14.3148,11.1918,44.7162,11.0,11.4736,19.1337,23.2058,16.8908,11.0,11.0,58.0431,11.0,11.0,11.0,11.0,16.5485,11.3785,13.6626,23.1662,18.0103,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0394,20.1097,11.0,11.0,14.7585,11.0,11.0,11.0,11.0,11.0,14.65,11.0,21.1242,15.6656,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.9157,21.6181,17.3959,11.0,15.2519,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.2912,19.8296,11.0,11.0,11.0,11.0,62.522,11.0,11.0,11.0,11.0,11.6335,22.3509
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 4B_3.OKA,5/17/2022 1:54:44 PM, 4-B,PM01,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,27.228,55.8572,29.7306,13.2439,17.1472,17.288,13.4792,16.2314,17.6153,24.5737,39.3312,26.0921,27.3731,22.8424,24.4054,17.9778,15.978,15.1178,11.0,49.4395,11.0,11.0,25.4444,21.6534,19.5159,11.0,11.0,57.9853,11.0,11.0,14.8742,11.0,20.9211,11.0,11.0,24.4672,16.1114,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.403,18.236,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,31.9473,11.0,20.7455,13.7457,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.9685,19.421,11.0312,11.0,19.1357,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.2626,19.4373,11.0,11.0,11.0,16.6882,59.7561,11.0,12.8416,11.0,11.0,11.0,19.0764
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 4B_3.OKA,5/17/2022 1:54:44 PM, 4-B,PM01,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,27.1538,56.4346,40.6647,15.496,19.9035,21.8991,14.7594,17.4665,17.1735,30.2964,50.0241,35.3016,40.0768,33.3511,36.56,31.382,24.7297,21.4519,21.7081,59.5205,18.626,11.0,37.9932,26.3485,30.1114,11.0,11.4787,72.6201,11.5292,11.0,25.5576,11.0,25.5225,11.0,15.1274,29.3043,20.6279,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,37.2296,20.1287,11.0,23.7638,23.0298,11.0,11.0,11.0,11.0,11.0,41.3571,11.0,21.9632,19.1854,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7893,24.2195,16.4247,11.0,28.4227,11.0,11.0,11.0,11.0,11.0,11.0,21.1168,11.2826,20.8261,19.789,11.0,11.0,11.0,33.6498,62.5437,11.0,20.5156,11.0,11.0,12.2837,18.2592
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 4B_3.OKA,5/17/2022 1:54:44 PM, 4-B,PM01,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,30.089,59.6291,49.0097,21.3008,19.3015,21.6105,11.1588,14.2975,15.7428,40.446,64.7081,40.1515,49.9733,43.4498,44.1093,40.3698,27.1955,29.9933,32.6738,59.0016,24.4727,12.4828,43.7745,20.7316,36.5177,11.4888,11.0,76.6432,11.0,11.0,34.092,11.0,34.2894,11.0,11.9367,41.2855,18.3714,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4729,41.152,20.2068,11.0,23.8674,27.7601,11.0,11.0,11.0,11.0,11.0,54.4197,12.76,22.3169,19.5153,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.3912,29.4437,14.9028,11.0,31.9653,11.0,11.0,11.0,11.0,11.0,11.0,26.012,13.5135,24.7836,18.0828,11.0,11.0,11.0,48.6811,60.9562,11.0,26.6581,11.0,14.9834,13.5475,19.2937
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 4B_3.OKA,5/17/2022 1:54:44 PM, 4-B,PM01,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,26.6712,58.7936,55.9318,19.8413,19.1071,32.5913,16.4973,18.8896,20.0285,54.4198,72.5942,48.4756,53.4399,49.5079,51.6238,47.0622,30.8686,35.9962,50.5039,70.1043,36.1341,11.0,47.8635,27.8858,41.2328,15.6418,11.0,85.1184,13.624,11.0,38.2694,11.0,41.3571,16.8827,15.286,42.6131,19.4075,11.0,11.0,11.0,14.5704,11.0,11.0,11.0,11.0,11.0,15.1287,50.1645,19.8053,11.0,31.8696,37.4205,19.8488,11.0,11.0,11.0,11.0,60.7433,11.0,23.9882,13.8789,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.8153,32.1446,15.6032,11.0,41.8832,11.0,11.0,11.0,11.0,11.0,11.0,33.3196,11.0,23.0956,21.0193,11.0,11.0,11.0,62.9844,60.3333,11.0,40.8623,11.0,22.9813,15.0366,23.114
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 4B_3.OKA,5/17/2022 1:54:44 PM, 4-B,PM01,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,21.9593,59.1708,63.4934,20.8091,23.3671,36.0244,15.5696,17.5225,17.2745,54.4916,78.8489,56.7413,53.1664,51.8737,66.7019,55.325,38.2012,34.6861,54.463,70.6004,42.5394,11.0,50.4548,27.9412,44.9593,20.0328,11.0,93.9905,18.9899,11.0,45.941,11.0,42.4826,19.8099,20.6591,50.9801,19.877,11.0,11.0,11.0,20.3059,11.0,11.0,12.1254,11.0,11.0,11.0,58.0587,19.8184,11.0,39.794,46.0796,22.4813,11.0,11.0,14.5042,11.0,74.3626,11.3158,27.2479,19.3697,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.056,38.377,15.6501,11.0,42.9462,11.0,11.0,11.0,11.0,11.0,11.0,40.4589,12.0384,25.3751,17.6144,11.0,11.0,11.0,70.4152,64.052,11.0,45.7518,12.0282,20.7779,11.9762,23.9855
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 4B_3.OKA,5/17/2022 1:54:44 PM, 4-B,PM01,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,28.0074,61.6478,67.2282,21.7317,28.2382,44.3502,18.2509,18.8611,21.4239,68.2841,83.7247,58.3926,57.7223,59.3818,66.7414,64.5301,39.3897,42.5194,67.7641,76.5895,50.545,11.38,57.9537,26.4848,46.6411,24.9173,11.0,99.6954,24.3327,11.0,53.1612,11.0,49.3422,21.2932,24.6132,54.8422,19.6172,11.0,11.0,11.0,24.5233,11.0,11.0,20.1204,11.0,11.0,12.5441,69.8986,21.963,11.0,48.5283,52.7626,29.6964,11.0,11.0,18.0335,11.0,83.4898,11.6001,32.4848,19.3189,11.0,13.0914,11.0,11.0,11.0,11.0,11.0,11.0,11.0,29.8679,46.0176,18.2623,11.0,55.7819,11.0,11.1618,11.0,11.0,14.5615,11.0,50.4271,15.0263,32.6886,25.2748,11.0,11.0,11.0,72.4364,62.3538,11.0,46.9124,23.4886,32.9502,12.6355,23.6455
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 4B_3.OKA,5/17/2022 1:54:44 PM, 4-B,PM01,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,30.6641,67.3884,60.1939,23.6778,34.9707,45.9368,20.9974,24.6976,26.1741,73.9477,77.335,74.6887,70.0172,64.0627,76.3821,65.0903,50.1795,41.5291,75.7889,82.2462,58.34,15.2213,62.2936,27.5006,45.8037,30.5271,14.5395,107.4236,31.547,11.1585,58.9099,11.0,54.5504,32.029,26.5938,68.1735,21.9279,11.0,11.0,11.0,33.9952,16.6219,11.0,24.5828,11.0,11.0,13.0144,81.4063,23.7011,11.0,58.7104,65.6608,35.3824,11.0,11.0,26.2969,11.0,88.769,21.5645,45.0269,23.5751,12.8139,11.9648,11.0,11.0,11.0,11.0,15.2416,11.0,11.0,34.9511,49.1641,17.9167,13.3297,63.2768,11.0,16.9531,11.064,11.0,17.2012,11.0,58.8411,22.1502,34.8056,20.9119,11.0,11.0,11.0,75.5003,63.6793,18.4601,54.9612,21.4787,35.0682,13.1401,25.2116
