Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15B_25.OKA,5/17/2022 1:54:44 PM,15-B,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,12.7248,13.8968,13.7478,11.0,11.0,11.0,11.0,11.0,11.8631,12.5059,27.3474,38.7445,15.3399,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0219,27.6746,14.6622,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.6284,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.0566,11.0,11.0,11.0,11.0,11.0,11.0,69.4619,11.0,26.225,11.0,13.6518,22.1174,12.2259,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.5751,11.0,24.6511,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9715,33.6019
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15B_25.OKA,5/17/2022 1:54:44 PM,15-B,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,21.8919,20.4552,11.0,16.509,11.0,11.0,13.8289,12.6347,11.0313,18.1721,16.9351,27.5413,13.8363,11.0,11.0,11.0,11.993,11.0,11.0,11.0,11.0,11.4094,13.3369,16.8997,15.4037,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8348,15.5503,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1615,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4011,17.5404,11.0,11.0,11.0,11.0,11.0,71.0554,11.0,16.4567,11.0,11.0,19.0119,11.2197,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0056,11.0,13.6399,13.0534,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2527,18.6276
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15B_25.OKA,5/17/2022 1:54:44 PM,15-B,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,17.354,16.5526,11.0,11.5921,13.2731,11.0,11.0,11.0,11.0,14.3497,18.1868,25.314,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1095,14.63,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5644,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.1543,11.7415,11.0,11.0,11.0,11.0,11.0,70.3538,11.0,11.0,11.0,11.0,18.0482,12.872,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.229,11.0,14.7979,12.9276,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.8018
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15B_25.OKA,5/17/2022 1:54:44 PM,15-B,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,20.3086,19.1471,11.7415,12.2154,11.0,11.0,11.0,11.0945,13.1843,12.5969,15.2926,22.1172,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1548,13.415,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.9193,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2805,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.7728,11.0,11.0,11.0,11.0,11.0,11.0,68.0455,11.0,11.0,11.0,11.0,17.0019,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.4816,11.0,15.0143,14.164,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2832,14.8224
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15B_25.OKA,5/17/2022 1:54:44 PM,15-B,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,17.9586,21.2324,11.0,11.0,11.0934,11.0,11.0,12.1929,11.0,12.9456,17.3343,24.9086,16.4184,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.4038,13.3376,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.962,11.0,11.5609,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3406,11.9433,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0041,15.9472,14.1764,11.0,11.0,11.0,11.0,11.0,67.4571,11.0,11.0,11.0,11.0,19.1444,13.3382,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.3559,11.0,14.4284,15.4255,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5361,16.3213
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15B_25.OKA,5/17/2022 1:54:44 PM,15-B,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,20.2196,21.3221,15.6707,12.148,11.0,11.0,11.0,11.0,12.6647,13.3798,21.086,26.1477,18.3801,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5994,12.9168,14.444,12.1397,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.3433,12.4585,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.1314,18.0731,14.9207,11.0,11.0,11.0,11.0,11.3163,70.7601,11.0,11.0,11.0,11.0,18.0961,12.6548,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.737,11.0,15.4621,13.4852,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.6483,16.4781
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15B_25.OKA,5/17/2022 1:54:44 PM,15-B,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,18.7574,18.0389,11.0,14.5241,11.0,11.0,11.0,12.1001,12.3167,15.7257,16.5277,28.4455,14.3838,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.9407,15.3687,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.7432,11.0938,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.8586,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5675,14.5787,11.0,11.0,11.0,11.0,11.0,13.0956,69.3492,11.0,11.0,11.0,11.0,23.039,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6424,11.0,15.0115,15.1566,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.3455,19.9631
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15B_25.OKA,5/17/2022 1:54:44 PM,15-B,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,13.411,13.7266,11.0,11.0,11.0,11.0,13.269,11.0,11.0,12.0203,16.1117,29.7151,16.2236,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,22.19,14.0843,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5105,14.3757,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0736,13.3079,11.0,11.0,11.0,11.0,11.0,11.0,65.1354,11.0,11.0,11.0,11.0,19.0269,12.0611,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.9793,11.0,13.1762,15.3786,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1053
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15B_25.OKA,5/17/2022 1:54:44 PM,15-B,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,23.2901,12.5269,11.0,14.9896,12.8392,11.0,11.0,13.1697,14.4433,14.838,21.4343,28.2086,17.1982,11.0,11.0,11.0,11.0,11.0961,11.0,11.0,11.0,11.0,14.4211,18.6639,14.4532,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.4846,11.282,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.4489,14.8066,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4106,13.6703,14.8371,11.0,11.0,11.0,11.0,15.6426,64.7571,11.0,11.0,11.0,11.0,18.1987,12.1582,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.9999,11.0,14.7772,21.4435,11.1596,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5661,20.194
F:\projects\Omnilog_database\Irina YTF\raw data 2\ynf L R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_15B_25.OKA,5/17/2022 1:54:44 PM,15-B,PM03B,ybaO,"4     IF0a+Sodium Succinate/Ferric Citrate
5     IF0a+Sodium Succinate/Ferric Citrate
6     IF0a+Sodium Succinate/Ferric Citrate
7     IF0a+Sodium Succinate/Ferric Citrate
44    IF0a+Sodium Succinate/Ferric Citrate
45    IF0a+Sodium Succinate/Ferric Citrate
68                            M9 No Carbon
69                            M9 No Carbon
70                            M9 No Carbon
71                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,19.5118,16.8232,11.0,14.8249,15.119,11.0,13.9961,12.6575,11.5027,15.385,18.2227,28.417,16.5605,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7641,13.3,17.006,14.6937,11.0,11.0,11.0,11.0,11.0,11.0,11.9011,11.0,11.0,13.4491,15.021,14.2159,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8893,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5591,19.8274,15.5196,11.0,11.0,11.0,11.0,12.0199,66.1806,11.0,11.0,11.0,12.5926,20.2584,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8144,27.8098,14.0562,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.1401,20.6173
