Plate File,Setup Time,Position,Plate Type,Strain,Media,Specie,Replicate,Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7B_5.OKA,5/10/2022 1:15:07 PM, 7-B,PM07,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.0,28.0912,17.4379,17.231,11.1918,13.6701,11.0,11.0,16.1539,13.283,15.1606,26.4404,41.7824,21.8899,11.0,11.0,11.4913,11.0,11.0,11.0,11.0,11.0,11.0,14.9988,22.1103,18.0779,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.4051,16.2116,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5942,14.1484,11.294,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,29.8067,17.264,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.2094,12.0001,11.0,12.7007,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.8349,30.0487,11.3523,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.5501,22.8996
F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7B_5.OKA,5/10/2022 1:15:07 PM, 7-B,PM07,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.25,28.5756,21.4254,16.8306,15.2146,13.0845,16.4387,11.0,19.134,16.4602,17.0867,17.8358,21.9652,18.6253,11.0,11.0,11.0,11.0,12.6373,11.0,11.2466,11.0,11.5271,13.6303,22.5124,21.6676,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5051,17.9153,19.7249,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.6783,19.5711,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.9192,17.0645,11.0,11.0,11.0,11.0,11.0,11.0,15.7307,11.0,11.0,11.0,16.778,18.6302,11.3477,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.0881,20.4099,13.4757,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.3198
F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7B_5.OKA,5/10/2022 1:15:07 PM, 7-B,PM07,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.5,28.6967,22.1031,14.0923,14.7952,14.8574,12.6287,13.5168,14.4885,13.8154,14.0031,18.0125,24.2601,15.9676,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.6969,17.1287,15.1431,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.8663,14.7204,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.991,17.7104,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.2407,14.3331,11.0,11.0,11.0,11.0,11.0,11.0,15.8815,11.0,11.0,11.0,16.005,14.1859,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.6757,13.3964,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.3994
F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7B_5.OKA,5/10/2022 1:15:07 PM, 7-B,PM07,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,0.75,25.4638,17.4644,11.421,15.489,11.0,11.0,13.394,14.4653,11.0,17.3152,19.4847,40.7565,20.8493,11.0,11.0,11.0,12.1187,11.0,11.0,11.0,11.0,11.0,12.7974,23.6535,17.735,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.2457,11.0,11.0,15.4517,11.1567,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.1834,14.277,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,26.8356,16.8886,11.0,11.0,11.0,11.0,11.0,11.0,12.093,11.0,11.0,11.0,23.1499,11.7223,11.0,12.1392,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4725,28.8487,14.5769,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.3626,24.2361
F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7B_5.OKA,5/10/2022 1:15:07 PM, 7-B,PM07,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.0,28.4551,20.9093,20.1239,14.0061,13.5533,13.5854,14.3198,12.557,17.8381,17.7032,20.5477,21.0801,21.3267,11.0,12.4219,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5,22.0373,14.3384,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.5842,16.0314,16.7834,11.0,11.0,12.0995,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.8365,21.0757,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.8211,19.113,11.0,11.0,11.0,11.0,11.0,11.0,25.5064,11.0,11.0,11.0,18.5221,17.1245,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.7969,18.1523,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.7883,25.2294
F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7B_5.OKA,5/10/2022 1:15:07 PM, 7-B,PM07,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.25,29.6054,21.1987,14.2263,11.4371,12.4041,11.3197,11.0,11.0,11.0,14.7832,23.6724,44.9579,15.2481,11.0,11.0,11.0,12.9246,11.2567,11.0,11.0,11.0,11.0,12.7023,26.2225,14.3826,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.5227,18.4274,12.7523,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4639,11.0,11.0,16.4245,15.2803,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,36.9591,15.8911,11.0,11.0,11.0,11.0,11.0,11.0,15.1448,11.0,11.0,14.522,23.5045,17.3111,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6688,29.8357,12.8662,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0764,28.8437
F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7B_5.OKA,5/10/2022 1:15:07 PM, 7-B,PM07,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.5,30.7465,23.722,19.1916,14.9915,11.6579,12.8275,11.0,13.532,15.6621,15.9103,23.4078,29.3604,19.624,15.8813,11.0,11.0,11.0,11.0,11.0,11.281,11.5286,13.569,16.1557,20.5032,15.2731,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.5217,11.0,12.0589,15.6599,17.4924,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.5954,22.6085,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,24.4988,16.4823,11.0,11.0,11.0,11.0,11.0,11.0,24.4792,11.0,11.0,11.0,19.879,14.5882,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.908,16.5493,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.3855,24.1248
F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7B_5.OKA,5/10/2022 1:15:07 PM, 7-B,PM07,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,1.75,28.8274,20.433,15.9951,12.5841,12.5581,14.0234,11.0,13.3929,14.4113,18.8987,23.3216,41.9642,20.4045,11.0,11.0,11.0,11.531,11.0,11.0,12.2819,11.0,11.0,16.9368,27.8771,13.8899,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0409,17.0246,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.8059,19.5067,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,38.898,19.4537,11.0,11.0,11.0,11.0,11.0,11.0,18.6173,11.0,11.0,17.6823,28.1504,15.5316,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.4906,35.6045,17.8208,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.3653,27.5684
F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7B_5.OKA,5/10/2022 1:15:07 PM, 7-B,PM07,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.0,29.0159,20.2279,17.4609,12.7086,16.7264,12.1515,11.0952,11.8815,17.8185,18.6726,25.5457,47.4893,18.1485,11.0,11.1286,11.0,11.5933,11.0,11.0,11.0,11.0,11.0,15.0856,22.713,18.4534,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7423,18.6497,12.0704,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.3706,20.0679,11.0,12.1698,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,34.6877,19.7765,11.0,11.0,11.0,11.0,11.0,11.0,21.0136,11.0,11.0,16.9497,26.9694,16.7762,11.0,12.1389,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.6851,27.275,14.6463,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,19.3906,26.8132
F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7B_5.OKA,5/10/2022 1:15:07 PM, 7-B,PM07,ynfL,"32    IF0a+Sodium Succinate/Ferric Citrate
33    IF0a+Sodium Succinate/Ferric Citrate
34    IF0a+Sodium Succinate/Ferric Citrate
35    IF0a+Sodium Succinate/Ferric Citrate
58    IF0a+Sodium Succinate/Ferric Citrate
59    IF0a+Sodium Succinate/Ferric Citrate
80                            M9 No Carbon
81                            M9 No Carbon
82                            M9 No Carbon
83                            M9 No Carbon
Name: Condition (Medium), dtype: object",E. coli,R2,2.25,28.3953,21.8489,18.1015,16.9885,12.5015,11.5099,12.6717,15.6476,15.9607,18.6542,20.7266,24.3218,22.3124,12.0881,11.0,11.0,13.5746,11.3851,11.0,13.4914,11.0,13.3662,12.4812,22.3154,14.1432,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0181,11.0,14.4619,14.6408,19.7555,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.4731,19.2865,24.0121,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.6998,20.1253,11.0,11.0,11.0,11.0,11.0,11.0,36.1588,11.0,11.0,11.0,17.7761,14.6899,12.0003,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.8765,20.9116,18.8847,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.7019,24.7748
