"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23A_36.OKA","5/10/2022 1:15:07 PM","23-A","PM07","BW25113 R1","E.Coli","E.Coli","",0.0000,"75.9627","11.0000","17.3466","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.3355","13.9288","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5833","13.5482","64.1699","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5402","12.3844","11.0000","29.6646","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1155","14.7315","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3672","18.3464","11.0000","12.1989","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9694","62.9463","28.2055","11.0000","11.0000","26.2053","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.7122","19.0501","21.2324","11.0000","14.5037","11.0000","11.0000","15.5521","11.0000","11.7764","13.8840","18.0592","18.4420"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23A_36.OKA","5/10/2022 1:15:07 PM","23-A","PM07","BW25113 R1","E.Coli","E.Coli","",0.2500,"67.6183","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0922","14.4888","13.4604","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0800","58.4940","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4993","11.0000","11.0000","21.2254","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.1190","15.2448","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8495","13.2357","11.0000","13.6537","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3101","17.5947","68.3055","12.1631","11.0000","11.0000","17.9469","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.2026","22.3425","15.4984","11.0000","18.3834","12.5513","12.3140","16.9338","11.0000","11.0000","17.5781","17.0673","16.3197"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23A_36.OKA","5/10/2022 1:15:07 PM","23-A","PM07","BW25113 R1","E.Coli","E.Coli","",0.5000,"65.9016","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.9325","14.0854","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4394","57.5723","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.8370","14.1356","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.9720","18.5635","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.6204","17.5870","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2527","18.2478","78.8633","11.3616","11.0000","11.0000","13.5723","11.0000","11.1936","11.0000","11.0000","11.0000","11.0000","25.9310","21.4503","17.7992","14.7949","18.0435","14.6398","16.6045","21.3579","12.9826","15.8480","23.3089","20.8260","24.6472"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23A_36.OKA","5/10/2022 1:15:07 PM","23-A","PM07","BW25113 R1","E.Coli","E.Coli","",0.7500,"53.8106","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6328","23.0344","14.0718","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3153","16.7057","54.6775","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6657","11.0000","21.7411","12.2259","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.2745","18.3292","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.0670","13.2588","11.0000","12.8285","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0270","18.9592","77.0271","11.0000","12.4699","11.0000","11.9842","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.4602","23.8517","17.9138","11.0000","18.8413","16.0455","11.0000","29.1813","14.0114","17.4128","18.1323","19.6075","22.5267"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23A_36.OKA","5/10/2022 1:15:07 PM","23-A","PM07","BW25113 R1","E.Coli","E.Coli","",1.0000,"48.8363","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3778","21.5494","14.5627","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2106","18.6218","43.6342","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.6082","12.2261","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","26.6856","19.4805","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4448","17.2963","16.7225","11.8628","12.2317","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3232","17.4812","69.0224","11.0000","11.0000","14.7792","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1455","24.5974","24.6056","19.4463","13.6648","18.9875","17.5180","15.1047","24.7402","11.0000","15.4349","19.3114","16.7727","24.8611"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23A_36.OKA","5/10/2022 1:15:07 PM","23-A","PM07","BW25113 R1","E.Coli","E.Coli","",1.2500,"34.0852","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7641","19.8240","14.1993","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8315","28.7268","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.1774","14.7486","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.4620","19.1937","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0156","17.9202","11.0000","14.0308","11.0000","11.0000","11.0000","11.0000","11.0000","12.2312","11.0000","12.9578","18.2472","63.8814","11.0000","11.7163","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2595","11.0000","27.5965","24.3740","22.0334","16.1660","19.8157","13.8436","12.4108","24.5961","11.5551","11.4274","15.7589","18.4050","24.7045"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23A_36.OKA","5/10/2022 1:15:07 PM","23-A","PM07","BW25113 R1","E.Coli","E.Coli","",1.5000,"24.2582","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.4595","15.4264","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5324","26.3801","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1896","14.4844","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.4588","21.7360","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0474","16.7015","18.0792","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9219","21.3107","61.5907","13.0701","11.0000","11.0000","11.8243","11.0000","11.0000","11.0000","11.0000","11.5522","14.1533","24.6533","22.2691","17.4938","13.7042","17.4607","13.9258","11.3273","23.6380","11.0000","11.6198","19.0962","21.8023","24.0382"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23A_36.OKA","5/10/2022 1:15:07 PM","23-A","PM07","BW25113 R1","E.Coli","E.Coli","",1.7500,"14.7579","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7485","14.2690","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0724","15.8751","23.4666","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.6429","13.1344","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1883","11.0000","11.0000","32.4013","24.4583","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.2378","18.1891","12.2142","13.1434","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1982","19.1320","58.9278","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0050","12.5480","20.2060","23.2163","21.9211","11.0000","18.4657","14.1643","11.0000","21.2461","11.0000","11.0000","19.4843","17.5385","24.5470"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23A_36.OKA","5/10/2022 1:15:07 PM","23-A","PM07","BW25113 R1","E.Coli","E.Coli","",2.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.6867","14.5341","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3792","12.9803","19.1023","14.3584","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2829","19.2663","17.6553","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8491","11.0000","11.0000","32.2206","30.5023","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3958","17.0719","19.8106","11.0000","15.7958","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7454","21.4566","50.3060","15.2529","11.4919","12.2054","12.9299","11.0000","11.0000","11.0000","11.0000","12.3966","13.2643","27.2579","26.9548","19.9533","16.9434","22.0051","21.0182","12.6066","23.2183","11.0000","16.5351","19.5905","23.0477","28.7687"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23A_36.OKA","5/10/2022 1:15:07 PM","23-A","PM07","BW25113 R1","E.Coli","E.Coli","",2.2500,"11.1291","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4502","20.4451","13.0493","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8171","11.0000","11.0000","12.9167","17.9925","11.9457","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8377","19.9115","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.1595","33.5353","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7558","16.0129","11.6388","11.0000","11.0000","11.0000","11.6098","11.0000","11.0000","11.0000","11.0000","16.3571","22.5063","41.8470","11.0000","11.0000","11.0000","13.4959","11.0000","11.0000","11.0000","11.0000","13.0782","11.0000","25.2386","28.6247","16.8431","14.2853","21.5836","14.8391","15.6951","23.9064","11.1300","15.5329","19.6962","24.0629","24.9085"
