"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_24B_43.OKA","5/17/2022 1:54:44 PM","24-B","PM03B","BW25113 R2","E. coli","E. coli","",0.0000,"18.5150","14.5971","30.6139","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","35.9266","22.0856","19.3104","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3319","14.5070","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1539","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0279","11.0000","11.0000","12.1002","13.3683","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0434","20.9128","11.0000","11.0000","11.0000","11.0000","11.0000","59.7498","11.0000","11.0000","11.0000","11.0000","17.5557","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0257","14.2641","11.0000","11.0000","11.0000","11.0000","11.0000","26.3736","11.0000","11.0000","11.0000","11.1547","18.3630"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_24B_43.OKA","5/17/2022 1:54:44 PM","24-B","PM03B","BW25113 R2","E. coli","E. coli","",0.2500,"22.6076","21.1006","28.2136","15.6115","12.7188","12.2729","13.3574","12.1003","12.6578","13.9963","25.3592","28.1869","19.2882","11.1980","11.0000","11.0000","11.0000","11.0000","11.0000","11.3428","11.0000","11.0000","11.0000","14.4073","17.0511","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8300","16.1152","12.4078","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1355","11.0000","11.0000","15.5652","13.5385","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4637","24.7562","11.0000","11.0000","11.0000","11.0000","11.0000","65.5143","11.0000","11.0000","11.0000","11.0000","19.2872","11.8788","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.5966","11.0000","16.3106","13.1468","11.0000","11.0000","11.0000","11.0000","11.0000","25.4525","11.0000","11.0000","11.0000","12.3582","19.9142"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_24B_43.OKA","5/17/2022 1:54:44 PM","24-B","PM03B","BW25113 R2","E. coli","E. coli","",0.5000,"19.5343","17.9085","21.4487","11.0000","11.7473","11.0000","11.0000","11.0000","12.6038","13.9988","25.5628","29.8896","13.4478","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8373","14.6806","14.1206","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3313","14.3865","12.6587","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0313","14.0669","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4009","17.6739","11.0000","11.0000","11.0000","11.0000","11.0000","62.8504","11.0000","11.0000","11.0000","11.0000","16.4616","12.4664","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1446","11.0000","15.4105","13.3007","11.0000","11.0000","11.0000","11.0000","11.0000","18.1272","11.0000","11.0000","11.0000","12.6155","22.5650"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_24B_43.OKA","5/17/2022 1:54:44 PM","24-B","PM03B","BW25113 R2","E. coli","E. coli","",0.7500,"25.5214","20.1775","19.4787","11.0000","11.2184","11.0000","11.0000","11.0000","14.2452","11.0000","21.6520","22.8935","14.4721","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8596","14.2729","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3556","13.3205","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0209","13.8089","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.2858","13.5298","11.0000","11.0000","11.0000","11.0000","11.0000","66.2477","11.0000","11.0000","11.0000","11.0000","18.5942","11.9687","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8280","11.0000","15.9950","13.1714","11.0000","11.0000","11.0000","11.0000","11.0000","14.0606","11.0000","11.0000","11.0000","11.0000","16.4254"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_24B_43.OKA","5/17/2022 1:54:44 PM","24-B","PM03B","BW25113 R2","E. coli","E. coli","",1.0000,"24.2647","21.2003","11.1939","11.0000","15.0470","11.0000","11.0000","13.4485","11.6268","13.8386","22.9364","24.4460","21.3328","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8365","17.8548","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4345","14.1820","17.2005","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9277","15.9599","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5731","20.2531","18.8800","11.0000","11.0000","11.0000","11.0000","11.0000","68.6440","11.0000","11.0000","11.0000","11.0000","18.7494","14.2112","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2040","16.8181","11.0000","11.0000","11.0000","11.0000","11.0000","14.0112","11.0000","11.0000","11.0000","13.0038","15.9522"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_24B_43.OKA","5/17/2022 1:54:44 PM","24-B","PM03B","BW25113 R2","E. coli","E. coli","",1.2500,"24.7057","21.9311","11.0000","11.0000","14.9011","11.0000","11.0000","11.0000","12.0993","15.1250","25.8139","24.5711","20.2016","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.2244","15.2424","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0162","12.1920","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1213","16.9859","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8542","16.9352","16.9423","11.0000","11.0000","11.0000","11.0000","11.0000","68.9066","11.0000","11.0000","11.0000","11.0000","16.7503","11.4059","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2127","14.5103","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4368"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_24B_43.OKA","5/17/2022 1:54:44 PM","24-B","PM03B","BW25113 R2","E. coli","E. coli","",1.5000,"17.5688","20.1602","11.0000","14.9260","11.0000","12.5876","11.0000","13.0431","12.9436","14.9011","23.1609","28.4455","18.4634","11.9200","11.0000","11.0000","11.0000","11.0639","11.0000","11.0000","11.0000","11.0000","13.3590","16.9320","17.3315","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0644","14.6255","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4048","14.5952","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2085","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","64.6051","11.0000","11.0000","11.0000","11.0000","16.4389","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2057","15.6840","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2829","17.4241"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_24B_43.OKA","5/17/2022 1:54:44 PM","24-B","PM03B","BW25113 R2","E. coli","E. coli","",1.7500,"21.1138","16.6156","11.0000","11.1246","13.7102","11.0000","11.0000","11.2521","13.7921","14.5074","22.2394","28.4839","19.6850","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3484","11.4422","19.7832","13.8299","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1194","15.8136","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6319","11.5818","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7574","19.8933","14.8914","11.0000","11.0000","11.0000","11.0000","11.0000","68.2914","11.0000","11.0000","11.0000","11.0000","21.8959","13.9024","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1809","11.0000","13.9424","16.3102","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0315","20.0960"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_24B_43.OKA","5/17/2022 1:54:44 PM","24-B","PM03B","BW25113 R2","E. coli","E. coli","",2.0000,"25.7729","16.7503","11.0000","14.3401","14.8030","11.0000","13.8373","12.9810","14.4433","15.5992","24.9964","30.1411","17.1038","11.0000","11.0000","11.0000","11.0000","11.0641","11.0000","11.0000","12.7072","11.0000","12.7576","17.4075","16.2274","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2337","17.1104","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7268","16.1161","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0223","18.8266","16.8938","11.0000","11.0000","11.0000","11.0000","11.0000","69.4596","11.0000","11.0000","13.9483","11.0000","22.4997","12.7530","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2540","11.0000","19.2551","24.0389","13.3616","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6734","20.4078"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\BW25113 R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_24B_43.OKA","5/17/2022 1:54:44 PM","24-B","PM03B","BW25113 R2","E. coli","E. coli","",2.2500,"24.6997","19.2496","11.0000","15.4727","17.9992","11.0000","15.5414","15.1280","11.0000","14.5907","24.9069","28.9690","17.0660","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7168","11.0000","11.0000","15.5519","15.4261","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4433","11.0000","11.0000","13.6351","15.5864","16.1517","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7813","18.1709","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8051","11.0000","11.0000","19.7094","19.3387","13.6134","11.0000","11.0000","11.1256","11.0000","11.0000","65.8594","11.0000","11.0000","11.8279","13.4669","20.5640","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2228","11.0000","16.6926","23.9880","11.4504","11.0000","11.0000","11.0000","11.3566","11.0000","11.0000","11.0000","11.0000","12.6366","22.7001"
