"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23B_37.OKA","5/10/2022 1:15:07 PM","23-B","PM07","BW25113 R2","E.Coli","E.Coli","",0.0000,"16.0760","14.6359","11.0000","11.0000","11.0000","11.0000","11.0000","11.4510","12.8329","14.8002","20.5043","23.2243","17.7615","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0967","13.2874","12.6309","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5869","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2811","11.0630","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3417","12.3920","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2253","59.7134","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7976","11.7687","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3547"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23B_37.OKA","5/10/2022 1:15:07 PM","23-B","PM07","BW25113 R2","E.Coli","E.Coli","",0.2500,"21.2269","11.8556","11.0000","11.0000","11.0000","13.2505","11.0000","13.1875","12.5733","11.0000","16.0026","22.5423","15.2776","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0541","14.0390","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9363","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0011","11.7167","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3876","11.2715","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9157","56.8420","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9611","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3687"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23B_37.OKA","5/10/2022 1:15:07 PM","23-B","PM07","BW25113 R2","E.Coli","E.Coli","",0.5000,"24.4197","18.7337","11.7409","11.0000","12.0266","14.3852","13.6741","15.3371","12.9708","12.5654","13.8240","24.8447","15.6512","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8552","13.6081","15.8651","12.7078","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8049","14.7675","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5458","17.9836","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.9627","12.4197","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.1789","49.7925","11.0000","15.9199","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.9199","11.9648","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.0936"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23B_37.OKA","5/10/2022 1:15:07 PM","23-B","PM07","BW25113 R2","E.Coli","E.Coli","",0.7500,"23.0324","16.5917","11.0000","13.1671","11.0000","11.8948","11.4095","13.4572","13.8519","12.1163","15.0358","25.4778","16.4439","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4371","13.4358","15.1106","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6403","11.2842","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1048","14.0626","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4516","13.3431","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9407","17.5187","44.4121","11.0000","11.1266","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.1336","15.4478","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8753"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23B_37.OKA","5/10/2022 1:15:07 PM","23-B","PM07","BW25113 R2","E.Coli","E.Coli","",1.0000,"20.4133","16.3433","14.9515","14.5329","15.1725","16.4581","11.8537","11.0000","14.3877","19.0374","19.3780","23.0222","19.0599","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8340","11.7313","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6038","14.7421","14.0011","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7129","16.3413","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9661","18.5007","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7395","50.3096","11.0000","12.7383","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1090","13.3634","11.0000","17.5355","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8029"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23B_37.OKA","5/10/2022 1:15:07 PM","23-B","PM07","BW25113 R2","E.Coli","E.Coli","",1.2500,"25.1563","16.7267","14.1940","11.0000","11.0000","12.4068","11.0000","11.0000","11.0000","12.8275","13.8196","21.6080","17.1185","11.0000","11.0000","11.0000","11.2794","11.0000","11.0000","11.0000","11.0000","11.1903","11.0000","16.2002","15.3625","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6995","14.0666","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1441","18.8573","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0912","14.8452","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9772","32.1203","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6079","11.3732","11.0000","11.5755","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5422"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23B_37.OKA","5/10/2022 1:15:07 PM","23-B","PM07","BW25113 R2","E.Coli","E.Coli","",1.5000,"25.9726","19.7063","13.6663","11.0312","11.0000","11.7695","11.0000","14.5448","16.1940","14.9538","13.9120","25.3864","18.2391","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3682","11.0000","14.2380","20.7864","14.1653","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2275","11.0000","11.0000","11.5038","14.6520","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.4475","19.0017","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5385","11.0000","24.1644","15.0039","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2454","29.3467","11.0000","11.3192","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3681","14.5032","11.0000","12.1844","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7219","19.2717"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23B_37.OKA","5/10/2022 1:15:07 PM","23-B","PM07","BW25113 R2","E.Coli","E.Coli","",1.7500,"22.0878","17.9132","11.4483","13.2053","14.5214","12.8777","11.0000","12.5113","14.7868","14.2805","12.2068","21.8467","18.0691","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6977","13.2616","11.6966","13.6040","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7557","11.0000","11.0000","12.8563","14.7459","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1313","21.5569","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.2205","17.4791","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3065","25.1885","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4969","15.2165","11.0000","15.6144","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7061","11.1881","18.5926"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23B_37.OKA","5/10/2022 1:15:07 PM","23-B","PM07","BW25113 R2","E.Coli","E.Coli","",2.0000,"22.1661","17.6467","11.0000","13.0192","13.7698","11.2879","11.0634","14.8725","14.7533","14.1969","17.0660","31.1076","14.1136","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6681","13.0742","14.7139","15.0597","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0933","14.4800","15.1873","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.5219","25.6857","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.0931","13.2480","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1273","20.1210","22.1464","11.0000","16.7261","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6716","12.6518","11.0000","18.4612","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5187","11.0000","20.9712"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\BW25113 R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_23B_37.OKA","5/10/2022 1:15:07 PM","23-B","PM07","BW25113 R2","E.Coli","E.Coli","",2.2500,"20.4147","19.0243","12.1889","13.5444","11.0000","15.0795","12.1671","15.0823","15.9295","16.7249","18.1686","23.8582","20.2384","11.0000","11.0000","11.0000","13.6987","11.0000","11.0000","16.3253","11.0000","17.2152","13.8678","19.2749","14.3972","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7393","16.6085","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.4521","31.9285","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.1946","18.8086","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1584","19.0991","11.0000","15.5495","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9705","17.8430","11.0000","11.0000","18.1391","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0591","11.0000","19.3261"
