"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_23A_40.OKA","5/17/2022 1:54:44 PM","23-A","PM03B","yahB R1","E. coli","E. coli","",0.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7462","14.8897","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9093","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9792","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4756","13.0991","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0624","11.0000","12.7786","11.0000","11.0000","11.0000","11.0000","11.0000","73.6499","11.0000","11.0000","11.0000","11.1545","13.6207","13.8142","11.0000","22.5423","12.4771","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.0790","16.7185","13.7511","11.0000","11.5331","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9950","22.8330"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_23A_40.OKA","5/17/2022 1:54:44 PM","23-A","PM03B","yahB R1","E. coli","E. coli","",0.2500,"12.4450","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0184","21.6596","18.5568","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3162","14.2092","17.3543","19.3508","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.0769","11.6946","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6882","17.6234","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5084","18.9792","15.9382","11.0000","13.7411","11.0000","11.0000","14.3447","80.3372","11.0000","11.0000","11.0000","18.5529","17.1334","16.7976","14.5143","28.9458","11.0000","11.0000","12.7297","11.1618","11.0000","11.0000","20.7641","14.3955","26.5492","26.3438","24.3405","17.7883","17.2847","11.3195","13.5010","17.7971","14.2259","12.0494","24.1623","24.9275","26.8222"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_23A_40.OKA","5/17/2022 1:54:44 PM","23-A","PM03B","yahB R1","E. coli","E. coli","",0.5000,"11.7382","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1259","19.3105","12.8553","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5228","17.4608","18.6872","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.6590","15.7132","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.5176","13.5204","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3868","16.6554","20.3537","11.3200","11.0000","11.0000","11.0000","15.6848","70.3548","11.0000","11.0000","11.0000","11.9174","19.4840","14.5917","11.8846","26.9686","13.0519","11.0000","11.0000","11.0000","11.0000","11.0000","17.7859","13.9496","20.6385","25.7192","18.3048","18.3567","15.0872","15.8803","14.5493","11.7818","11.0000","12.6363","16.7561","22.2083","21.9016"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_23A_40.OKA","5/17/2022 1:54:44 PM","23-A","PM03B","yahB R1","E. coli","E. coli","",0.7500,"13.8261","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.5261","15.4438","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6138","18.7944","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6392","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0437","16.7547","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4765","15.0735","18.1526","12.8885","12.6130","11.0000","11.0000","11.0000","75.0420","11.0000","11.0000","11.0000","14.1493","14.0520","13.7149","11.0000","26.5539","11.5241","11.0000","11.0000","11.0000","11.0000","11.0000","20.8905","11.0000","19.7679","22.5766","20.4459","11.0000","15.5761","12.7465","13.3194","11.0000","13.0240","11.0000","16.7552","18.6538","22.0701"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_23A_40.OKA","5/17/2022 1:54:44 PM","23-A","PM03B","yahB R1","E. coli","E. coli","",1.0000,"11.5151","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8827","16.7578","14.0084","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6912","14.9469","19.2661","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3181","14.7125","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.4677","17.5096","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0434","16.4194","18.4818","11.0000","15.5981","11.2564","11.0000","13.4732","75.3598","11.0000","11.0000","11.0000","14.4063","17.0619","16.2687","11.0000","29.7356","12.2447","11.0000","11.0000","11.0000","11.0000","11.0000","17.6361","12.0227","17.0584","23.1074","18.9246","15.0220","16.0527","14.7552","11.3261","11.4562","11.0000","14.2140","19.1448","21.8156","25.6054"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_23A_40.OKA","5/17/2022 1:54:44 PM","23-A","PM03B","yahB R1","E. coli","E. coli","",1.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6832","16.6696","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3390","17.6979","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8800","17.6460","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6132","14.7904","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3905","12.1041","21.1642","11.0000","15.3028","11.0000","11.0000","11.0000","74.9284","11.0000","11.0000","11.0000","16.9699","19.2577","16.4808","11.0000","24.0890","19.5509","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6171","17.2094","25.0762","21.1340","17.7750","14.1664","20.3445","12.0512","14.3027","12.6279","15.6457","19.2473","20.7483","22.7504"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_23A_40.OKA","5/17/2022 1:54:44 PM","23-A","PM03B","yahB R1","E. coli","E. coli","",1.5000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4043","15.5349","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6518","16.2842","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4621","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2932","20.7529","11.0000","11.0000","11.0000","11.0000","12.1959","11.0000","11.0000","11.0000","11.0000","19.1420","15.2755","19.5799","11.0000","22.6243","11.0000","11.0000","14.4916","76.5165","11.0000","11.0000","11.0000","21.0497","24.1010","16.7911","11.0000","28.5392","15.6853","11.0000","11.0000","11.0000","11.0000","11.0000","19.1150","19.2301","27.6446","23.6133","21.6844","25.0375","11.0000","15.6996","16.0400","15.5925","16.2119","21.0866","17.9265","21.7541","28.6652"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_23A_40.OKA","5/17/2022 1:54:44 PM","23-A","PM03B","yahB R1","E. coli","E. coli","",1.7500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0684","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.8504","16.4012","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4307","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9142","15.1396","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8245","15.6800","18.4638","11.0000","17.3423","11.3544","11.0000","11.0000","72.3857","11.0000","11.0000","11.0000","15.5885","20.2718","17.5429","11.0000","23.3302","19.9906","11.0000","11.0000","11.0000","11.0000","11.0000","12.4936","15.4182","21.8051","27.5526","21.6982","16.0406","13.5870","13.9827","12.8082","13.5181","11.1963","11.0000","21.2362","20.9962","26.6740"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_23A_40.OKA","5/17/2022 1:54:44 PM","23-A","PM03B","yahB R1","E. coli","E. coli","",2.0000,"11.1281","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9859","14.7000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.2283","17.7031","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6541","11.0000","11.0000","11.0000","18.1309","15.0280","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.6169","16.2349","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1362","11.0000","11.0000","19.2860","14.3336","16.2635","11.0000","17.4026","12.8443","11.0000","15.1119","73.8194","11.0000","11.0000","11.0000","19.4597","20.0324","19.6123","12.1496","22.4039","21.3333","11.0000","11.0000","11.0000","11.0000","11.0000","11.2278","13.3393","21.7941","33.7394","29.4253","16.2031","15.7717","14.1303","13.8545","13.0598","15.5531","12.6013","19.8200","17.2301","27.7160"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yahB R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_23A_40.OKA","5/17/2022 1:54:44 PM","23-A","PM03B","yahB R1","E. coli","E. coli","",2.2500,"11.5129","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9984","12.6670","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1517","14.3967","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3595","11.0000","11.0000","11.0000","15.4235","12.3450","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2150","17.9965","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4467","15.6089","23.4342","14.6534","25.7618","11.0000","11.0000","16.0015","70.6221","11.0000","12.0462","11.0000","18.2465","21.7014","18.7804","12.6492","29.4031","15.6607","11.0000","11.0000","11.0000","11.0000","11.0000","19.4123","15.6446","24.7107","38.9572","36.4313","25.4699","14.8558","16.6620","17.1238","16.4357","17.2705","19.1881","18.0486","26.8640","29.0851"
