"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9A_12.OKA","5/17/2022 1:54:44 PM"," 9-A","PM02A","ybaO R1","E. coli","E. coli","",0.0000,"12.2973","11.0000","11.0000","11.0000","11.0000","12.9747","11.0000","11.0000","11.3750","11.0000","11.0000","39.8430","18.4399","11.0000","83.1212","11.0000","208.4914","11.0000","11.0000","11.0000","163.2912","11.0000","53.6836","46.6718","22.4655","28.7070","11.0000","11.0000","11.0000","14.8865","11.8852","16.6774","11.0000","11.5643","13.2046","39.9168","15.2253","11.0000","11.0000","23.1212","11.0000","71.3324","11.7247","11.0000","18.4816","14.9175","11.0000","19.8294","20.5076","11.0000","11.0000","11.0000","63.4450","11.0000","11.0000","11.0000","13.7182","11.0000","11.0000","140.5211","21.7638","15.8761","11.2800","11.0000","11.4028","11.0000","11.0000","11.0000","45.0088","11.0000","15.9135","19.5253","19.8490","11.4532","23.3805","11.0000","11.0000","11.0000","19.0578","11.0000","11.0000","11.0000","18.4169","25.3487","20.4781","32.8472","16.6107","17.9621","20.3400","11.5460","12.3838","33.5121","176.3010","19.6993","35.1151","26.7242"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9A_12.OKA","5/17/2022 1:54:44 PM"," 9-A","PM02A","ybaO R1","E. coli","E. coli","",0.2500,"15.2066","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4114","44.6682","19.1526","11.0000","80.8660","11.0000","209.7986","11.0000","11.0000","11.0000","167.3473","11.0316","57.5021","47.7379","19.4460","31.0260","11.0000","11.0000","11.0000","11.2541","16.6821","23.6650","11.0000","11.0000","11.0000","44.6344","14.6940","11.0000","11.0000","28.3509","11.0000","72.4336","11.0000","11.0000","16.8258","14.4384","12.1829","21.5061","17.2764","12.2114","11.0000","11.0000","63.0674","11.0000","11.0000","11.0000","11.0000","13.2726","11.0000","146.7713","17.9827","12.2508","14.3398","11.0000","15.1446","11.0000","11.4826","11.0000","49.3557","11.0641","17.3307","25.0008","23.5457","15.7952","33.6033","14.5629","11.6652","16.5095","26.1404","13.2260","14.3913","14.8731","17.6262","27.5836","27.7474","35.5557","19.9512","21.5277","16.9099","11.4607","19.5208","39.6418","177.7207","26.7225","42.0188","31.3198"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9A_12.OKA","5/17/2022 1:54:44 PM"," 9-A","PM02A","ybaO R1","E. coli","E. coli","",0.5000,"16.4565","11.0000","11.0000","11.0000","11.0000","14.7753","11.0000","11.0000","11.0000","11.0000","14.5868","45.1619","17.9182","12.2648","80.1199","11.0000","209.4370","11.0000","11.0000","11.0000","166.7626","11.0000","62.2063","48.7805","24.2005","26.0442","11.0000","11.0000","11.0000","14.7200","21.3077","20.9042","11.0000","11.0000","14.9431","48.2905","18.4912","11.0000","11.0000","30.4449","11.0000","72.8055","11.0000","11.0000","18.7941","17.1356","12.8889","24.3749","15.2216","11.0000","11.0000","11.0000","69.8335","11.0000","11.0000","11.0000","13.0707","11.0000","12.6143","149.8390","23.6275","13.1437","13.2532","11.0000","11.7609","11.0963","11.0000","11.0000","54.9285","11.0000","15.1124","21.8531","23.8094","16.6352","34.0366","14.8758","11.5399","11.0000","24.2406","11.0000","13.0580","14.0667","21.3235","27.6895","26.7111","30.2701","21.8031","19.9087","23.8346","11.8545","18.5904","38.6447","177.8322","22.6109","38.7430","28.8773"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9A_12.OKA","5/17/2022 1:54:44 PM"," 9-A","PM02A","ybaO R1","E. coli","E. coli","",0.7500,"16.6842","11.0000","11.0000","11.0000","11.0000","15.6358","11.0000","11.0000","11.0000","11.0000","15.8256","50.3297","14.4353","12.4013","79.0000","11.0000","212.4644","11.0000","12.3482","11.0000","167.8943","11.0000","62.4682","44.7666","25.0741","26.0832","11.0000","11.0000","11.0000","15.5253","21.8364","17.1935","11.0000","11.6709","15.6134","42.0110","15.8760","11.0000","11.0000","30.1389","11.0000","75.7378","15.9411","11.0000","15.5213","13.9641","11.0000","26.3867","18.2327","11.0000","11.0000","11.0000","77.5862","11.0000","11.0000","11.0000","12.9521","13.7581","11.5718","147.2248","23.0251","11.2881","11.8223","11.0000","16.0877","11.0000","11.0000","11.0000","53.8728","11.0320","18.4324","19.8348","18.6977","13.3856","38.8539","11.0000","16.8008","11.0000","29.2666","11.0324","13.7893","13.1473","15.9650","28.2446","27.3227","29.5285","15.6998","19.9602","22.7809","16.6841","17.1074","45.3421","179.4573","23.4642","35.5382","33.0754"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9A_12.OKA","5/17/2022 1:54:44 PM"," 9-A","PM02A","ybaO R1","E. coli","E. coli","",1.0000,"14.5736","11.0000","11.0000","11.0000","11.0000","28.5368","11.0000","11.0000","11.2236","11.0000","13.8056","47.2711","18.1763","15.8582","84.1042","11.0000","212.7417","11.0000","16.6615","11.0000","170.3514","11.0000","61.7374","46.8612","29.9651","27.6196","11.0000","11.0000","11.0000","15.7671","24.4227","17.1736","11.0000","11.0000","16.4974","47.3134","22.3246","11.0000","11.0000","39.3355","11.0000","78.9861","16.4282","11.0000","20.2001","18.3711","13.7755","24.6482","18.2294","11.0000","11.0000","11.0000","87.5552","11.0000","11.0000","11.0000","14.0877","11.2573","14.2970","145.7645","22.2228","14.0511","18.4759","14.7826","17.5785","11.9957","11.0000","11.0000","53.0489","14.1821","19.6875","26.2504","24.9763","16.4209","37.4771","11.0000","14.9325","11.7762","35.1368","11.2911","14.2114","15.8144","18.7195","28.3283","27.7910","31.9787","22.1352","21.1054","28.7346","18.5648","19.5704","48.0018","178.5846","26.1774","41.8830","31.9611"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9A_12.OKA","5/17/2022 1:54:44 PM"," 9-A","PM02A","ybaO R1","E. coli","E. coli","",1.2500,"15.9542","11.0000","11.0000","11.0000","11.0000","38.9533","11.0000","11.0000","11.0000","11.0000","17.5718","51.8547","16.8901","24.1954","81.8644","11.0000","211.8679","11.0000","16.1770","11.0000","171.9365","11.0000","63.4124","48.6586","23.8587","29.3638","12.2447","11.0000","11.0000","20.4613","26.4528","18.1498","11.1262","11.0000","15.9993","49.8644","20.3605","11.0000","11.0000","36.2211","11.0000","80.2336","17.3744","11.0000","23.1743","22.0272","14.3558","22.5794","16.8893","11.0000","11.0000","11.0000","96.6860","11.0000","11.0000","11.0000","16.3893","11.0000","12.3920","149.1337","23.4022","13.5960","16.1887","11.0000","14.1231","11.0000","11.7714","11.0000","50.1522","11.0000","15.9275","26.7821","25.4465","16.2820","41.0065","14.3290","14.1227","14.2541","32.6807","11.8681","11.6748","11.3917","15.7193","26.0845","28.1404","33.8757","20.6644","20.1154","29.0911","14.8436","17.7035","50.0685","176.6207","27.0692","38.9037","29.7811"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9A_12.OKA","5/17/2022 1:54:44 PM"," 9-A","PM02A","ybaO R1","E. coli","E. coli","",1.5000,"16.4907","11.0000","11.0000","11.0000","11.0000","51.2870","12.6197","11.0000","14.6417","11.0000","12.2292","58.2972","20.5702","31.0663","75.3436","11.0000","214.2385","11.0000","20.1764","11.0000","169.0938","11.0000","64.7660","47.6629","26.6324","29.9835","11.8734","11.0000","11.0000","24.3010","32.9783","15.6408","11.0000","11.9576","16.5722","48.5806","22.4157","11.0000","12.5340","40.8517","11.0000","80.8380","25.4545","11.0000","25.0200","22.7509","11.0000","23.4164","18.3772","11.0000","11.0000","11.0000","104.0500","11.0000","11.0000","11.0000","12.6743","14.0453","11.1584","151.4616","24.3846","15.5352","16.7963","11.0000","14.7980","11.2263","11.0000","11.0000","47.3949","11.8010","19.7348","24.7066","21.2215","11.0000","41.4337","15.8480","14.2242","11.0000","41.9919","11.0000","12.2262","19.2449","19.2301","31.3147","25.6032","33.5229","18.8465","18.9592","29.7351","14.7637","13.3618","49.5683","180.2995","19.4178","36.3231","33.7124"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9A_12.OKA","5/17/2022 1:54:44 PM"," 9-A","PM02A","ybaO R1","E. coli","E. coli","",1.7500,"16.5220","11.0000","12.5305","11.0000","11.0000","64.8256","11.0000","11.0000","11.0000","11.5435","16.7870","61.4778","14.5067","43.7191","80.0953","11.0000","213.9803","11.0000","19.3044","11.0000","170.8091","11.0000","61.3762","51.1141","26.4186","31.3481","11.0000","11.0000","11.0000","25.1508","29.8198","21.7408","13.4630","16.4313","19.6947","53.0179","18.2599","11.0000","12.7246","40.1638","11.0000","81.6342","42.0261","11.0000","28.6575","22.5120","13.7467","20.3816","16.8958","14.1564","11.0000","11.0000","109.3116","11.0000","11.0000","11.0000","14.8921","11.0000","14.6921","151.1485","29.0997","16.9647","21.2866","12.8686","15.5990","11.0000","11.0000","11.0000","50.8745","13.7797","18.4484","25.2274","24.0222","15.5557","42.7110","16.6354","14.7078","11.0000","45.2627","11.0000","11.0000","15.7731","22.2256","29.0409","27.1692","33.8449","22.9714","22.1464","34.7345","12.5781","15.9708","48.4856","175.8133","26.3215","45.3659","36.7478"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9A_12.OKA","5/17/2022 1:54:44 PM"," 9-A","PM02A","ybaO R1","E. coli","E. coli","",2.0000,"19.1349","11.0000","11.0000","12.1923","11.0000","74.3625","12.3695","14.1554","11.6404","11.5448","16.3364","65.1495","20.2814","51.1826","82.0355","11.0000","213.3779","11.0000","23.4840","11.0000","172.2667","11.0000","62.5333","51.4689","26.8923","31.7792","14.1229","11.0000","11.0000","32.6188","31.4549","23.0866","11.0000","16.6172","21.0252","62.2803","23.0840","11.0000","11.0000","47.0202","11.0000","81.9494","46.0970","11.0000","30.0948","25.7311","12.0216","25.8642","17.6142","11.0000","13.9069","11.0000","113.7709","11.0000","11.0000","11.0000","15.3035","16.8250","12.5874","156.3881","29.1404","17.3095","33.3302","11.0000","19.1543","14.6621","11.0000","11.0000","52.7509","13.7432","16.7237","27.6285","24.3128","17.5693","40.7750","14.4879","16.8418","11.0000","48.2955","13.8284","12.8556","14.3518","23.0591","25.8906","30.1674","34.9529","23.9913","19.8708","38.9518","20.5691","15.3484","49.9616","176.3595","26.3449","35.8546","30.5235"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9A_12.OKA","5/17/2022 1:54:44 PM"," 9-A","PM02A","ybaO R1","E. coli","E. coli","",2.2500,"19.3340","11.0000","14.3540","11.5042","11.0000","83.8083","12.9098","14.8636","11.6077","17.1413","17.9976","71.2232","21.0337","64.6902","82.2125","11.0000","215.7675","11.0000","26.2172","11.0000","173.5242","13.5920","61.2688","49.0054","29.8078","31.2887","19.5906","11.7599","11.0000","30.8065","32.4682","21.3184","11.0000","16.1040","22.0872","68.4441","28.7983","11.0000","12.9102","19.2161","11.0000","85.8826","56.2073","11.0000","28.1044","24.1319","12.7588","24.2958","19.0946","14.0647","11.0000","11.0000","119.1307","11.0000","11.0000","11.0000","20.8429","15.2295","14.0896","152.9297","38.0132","17.7032","38.6310","11.0000","18.4236","11.0000","11.1927","12.3655","50.3742","14.7514","18.9993","27.2751","25.1317","19.1801","44.4453","17.6162","15.9301","12.8067","44.6971","16.0973","14.4670","17.5285","24.5386","33.4856","30.5095","37.8059","24.7448","20.3368","32.4075","14.5368","19.1863","55.2187","176.1002","25.7921","47.2836","32.5284"
