"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21A_32.OKA","5/10/2022 1:15:07 PM","21-A","PM07","ybaO R1","E.Coli","E.Coli","",0.0000,"13.5113","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4868","20.6876","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1533","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5617","18.3082","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9702","18.3986","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0690","17.8331","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5845","22.3473","15.3371","18.6394","18.5772","11.0000","11.8465","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.4370","20.3421","21.5723","11.6896","15.2639","13.2950","11.0000","11.0000","11.8041","11.0000","16.6662","20.2106","19.9505"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21A_32.OKA","5/10/2022 1:15:07 PM","21-A","PM07","ybaO R1","E.Coli","E.Coli","",0.2500,"13.3026","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8430","17.6136","17.1202","11.0000","13.8202","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0822","16.6349","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5035","15.5938","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2874","20.9352","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5827","19.7285","13.0577","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0619","11.0000","14.5730","18.1886","17.2221","14.7156","22.4116","11.0000","13.4190","11.0000","11.0000","11.0000","11.0000","11.0000","11.2590","19.8157","25.2093","19.9004","13.7101","18.0096","16.8330","11.0000","12.7865","11.7976","12.8556","17.4169","17.5488","16.8293"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21A_32.OKA","5/10/2022 1:15:07 PM","21-A","PM07","ybaO R1","E.Coli","E.Coli","",0.5000,"17.9625","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0419","17.2835","16.6356","11.0000","15.0542","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3465","14.9308","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8054","21.0026","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7846","18.5949","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.2282","17.5558","12.1801","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9378","20.0677","23.3762","16.6548","30.8732","11.0000","11.6034","11.0000","11.0000","11.0000","11.0000","11.0000","11.9578","26.4816","25.8099","25.1568","14.3289","16.3862","14.6714","16.5397","15.4624","13.3727","14.4489","20.3704","21.1525","27.1315"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21A_32.OKA","5/10/2022 1:15:07 PM","21-A","PM07","ybaO R1","E.Coli","E.Coli","",0.7500,"13.4269","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9863","20.8108","11.0000","15.7013","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0946","20.5918","18.6302","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.5244","16.2492","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.2601","18.8954","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6473","17.3372","14.2526","11.0000","11.0000","11.0000","11.8997","11.0000","11.0000","11.0000","11.0000","17.8746","21.3565","23.7354","20.7090","27.5937","11.0000","11.0317","11.0000","11.0000","11.0000","11.0000","11.0000","12.5601","21.4633","25.1304","18.7698","14.9704","17.1450","15.6330","12.6769","15.8462","14.9829","14.8086","16.3162","18.1564","25.4732"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21A_32.OKA","5/10/2022 1:15:07 PM","21-A","PM07","ybaO R1","E.Coli","E.Coli","",1.0000,"15.2076","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5037","21.1176","16.0760","11.0000","16.5239","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8571","20.3807","16.0085","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4888","16.6591","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3319","18.1927","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6185","20.9128","14.6431","11.0000","11.0000","11.3139","11.0000","11.0000","11.0000","11.0000","11.0000","16.4188","21.5881","22.2486","18.4556","25.2168","11.0326","12.0184","11.0000","11.0000","11.0000","12.2224","11.3918","16.0831","25.1504","25.4679","21.6325","17.1290","15.6647","17.5497","19.0140","16.3525","17.8302","15.2718","19.3771","20.3682","26.5335"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21A_32.OKA","5/10/2022 1:15:07 PM","21-A","PM07","ybaO R1","E.Coli","E.Coli","",1.2500,"12.6420","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6931","20.2559","17.8063","11.0000","19.2770","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8736","19.0720","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6919","18.1676","18.3723","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3303","15.6956","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1590","16.6465","22.4713","11.0966","11.6945","11.0000","11.0000","11.0000","11.0000","11.0000","11.6945","11.0000","14.5367","24.5367","19.0201","16.4648","23.5670","16.0077","11.0000","11.0000","11.0000","11.0000","11.9285","12.9463","11.0334","28.0155","27.4701","23.1139","18.8483","20.4840","13.6519","13.5591","14.1952","11.9796","11.0000","17.4774","22.2058","30.4442"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21A_32.OKA","5/10/2022 1:15:07 PM","21-A","PM07","ybaO R1","E.Coli","E.Coli","",1.5000,"13.5682","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.3194","19.5075","11.0000","16.8989","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3295","16.7045","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.6873","18.2199","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8299","16.6671","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.9145","23.9733","11.2570","11.0000","11.0000","12.3146","11.0000","11.0000","11.0000","11.0000","11.0000","14.8754","23.0928","20.3745","20.0363","21.0675","12.5694","11.0000","11.0000","11.0000","11.0000","11.0000","13.1763","15.4014","28.2446","27.5684","24.8777","15.6406","14.9020","16.3109","13.9784","14.0943","13.1921","12.7288","22.6034","23.6244","29.6214"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21A_32.OKA","5/10/2022 1:15:07 PM","21-A","PM07","ybaO R1","E.Coli","E.Coli","",1.7500,"14.6616","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7178","16.7207","11.0000","21.6141","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9733","14.1561","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.9520","17.6544","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.9440","22.7056","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0307","22.1416","15.0260","11.0000","11.0000","11.0000","11.6477","11.0000","11.0000","11.0000","11.0000","13.9008","21.1411","23.5427","15.3388","20.7931","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2795","16.4673","22.7344","25.9168","20.2105","14.2685","15.0372","19.8285","11.0000","13.7825","13.4189","14.3562","22.7149","20.6270","25.4846"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21A_32.OKA","5/10/2022 1:15:07 PM","21-A","PM07","ybaO R1","E.Coli","E.Coli","",2.0000,"14.5473","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0398","21.0081","11.0000","23.4158","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0316","11.0000","16.4737","14.0416","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4439","19.6550","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3507","15.3339","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.3172","20.4042","11.7380","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0827","23.1410","20.0804","19.5059","20.7075","14.2254","13.1514","11.0000","11.0000","11.0000","11.0000","13.0787","18.6133","22.2480","22.9099","20.7792","15.6816","18.2201","16.7202","11.0000","14.6492","12.8943","12.3675","20.3446","24.0925","32.7280"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_21A_32.OKA","5/10/2022 1:15:07 PM","21-A","PM07","ybaO R1","E.Coli","E.Coli","",2.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7222","17.2111","11.6945","24.0726","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.7175","18.1243","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1904","11.0000","17.1792","19.5363","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3833","19.5868","20.9808","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4780","18.5194","14.2257","11.0000","11.0000","11.0000","12.8937","11.0000","11.0000","11.0000","11.0000","18.3935","22.2832","17.1885","18.1683","27.0200","11.0000","14.3174","14.0699","11.1293","11.2564","11.0000","11.3572","12.4284","29.0399","28.3060","23.6709","17.6038","17.5032","16.2986","12.3042","14.7807","16.9466","18.4905","20.2213","25.2385","29.2973"
