"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9B_13.OKA","5/17/2022 1:54:44 PM"," 9-B","PM02A","ybaO R2","E. coli","E. coli","",0.0000,"22.8577","11.9232","14.8533","15.9957","14.9751","11.9499","20.4520","16.3888","16.2404","15.8941","19.2361","37.3741","22.7577","11.0000","25.3863","11.0000","183.6851","11.0000","11.0000","11.0000","126.5575","11.0000","42.9276","36.0892","19.1313","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1218","11.3939","11.0000","11.0000","22.5932","16.8805","11.0000","11.0000","12.2059","11.0000","48.8700","11.0000","11.0000","11.0000","11.0000","11.0000","14.6064","18.2847","11.0000","11.0000","11.0000","26.2271","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","105.0413","11.5185","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","42.3783","11.0000","11.0000","15.6222","15.5359","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.5614","14.4776","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","124.6499","11.0000","18.3329","20.5356"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9B_13.OKA","5/17/2022 1:54:44 PM"," 9-B","PM02A","ybaO R2","E. coli","E. coli","",0.2500,"27.1199","14.9370","15.1093","20.2849","17.1875","23.2201","26.6534","18.2934","19.3517","17.0564","18.7540","41.4999","20.6433","14.4649","30.3064","11.0000","187.0076","14.8593","11.0000","13.4621","125.7124","15.7236","45.3272","36.9019","22.3101","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6319","13.4139","11.0000","16.0691","29.4837","18.6021","11.0000","11.0000","14.3492","11.0000","57.4349","11.0000","11.0000","11.4036","11.0000","12.0736","20.4410","20.0530","11.0000","11.0000","11.0000","26.3478","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","108.2554","19.5055","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","50.7561","11.0000","11.0000","20.6938","15.3627","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.5114","18.0315","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","131.0060","11.0000","17.9807","23.3757"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9B_13.OKA","5/17/2022 1:54:44 PM"," 9-B","PM02A","ybaO R2","E. coli","E. coli","",0.5000,"29.6259","17.2628","15.0436","16.2038","19.1892","22.7584","16.0678","16.9392","19.1132","18.8798","24.6487","40.0609","18.7885","12.0534","27.1741","11.0000","184.3516","13.7355","11.3516","11.0000","126.3996","17.0931","43.3770","40.3819","18.6740","12.8931","11.0000","11.0000","11.0000","11.0000","11.0000","11.8750","11.0000","11.0000","16.2633","28.7789","20.3262","11.0000","11.0000","11.4195","11.0000","54.5857","11.0000","11.0000","11.0000","11.0000","11.0000","20.1949","23.6018","11.0000","11.0000","11.0000","32.4501","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","107.9951","17.9520","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","44.8791","11.0000","11.0000","21.5876","17.3335","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.6098","18.3994","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","125.1593","11.0000","19.5526","22.5039"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9B_13.OKA","5/17/2022 1:54:44 PM"," 9-B","PM02A","ybaO R2","E. coli","E. coli","",0.7500,"31.8823","14.1558","15.3522","15.4566","18.3954","21.6928","12.3668","15.2859","22.2647","17.1321","19.6170","40.2525","16.8930","11.0000","29.7999","11.0000","185.9158","12.2546","11.8299","11.0000","128.8187","13.5629","46.9842","35.6792","21.7720","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7016","11.4636","11.0000","12.5004","28.8832","17.3971","11.0000","11.0000","14.0366","11.0000","58.7564","11.0000","11.0000","11.0000","11.0000","11.0000","19.2912","18.9382","11.1890","11.0000","11.0000","36.3530","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","111.0288","18.3116","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","43.4541","11.0000","11.4375","20.3090","17.3120","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5985","22.4915","19.0961","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","125.6774","11.0000","22.4542","21.6350"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9B_13.OKA","5/17/2022 1:54:44 PM"," 9-B","PM02A","ybaO R2","E. coli","E. coli","",1.0000,"31.6893","14.7004","17.3983","17.2133","18.7205","33.9168","16.4021","19.6011","21.3101","17.0281","19.8489","47.3598","21.8369","15.6085","29.9764","11.0000","186.3245","13.0198","11.0000","12.4372","128.9068","11.5710","45.8319","37.4739","21.9614","11.0000","13.7446","11.0000","12.0585","11.0000","11.0000","13.2378","11.0000","11.0000","15.8722","29.6193","21.3757","11.0000","12.5830","11.1291","11.0000","58.5045","11.0000","11.0000","12.7313","11.0000","11.0000","21.6219","23.9627","11.4119","14.2751","11.0000","46.5847","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","111.8371","20.7125","11.0000","11.9035","11.0000","11.0000","11.0000","11.0000","11.0000","41.4089","11.0000","13.6306","23.5813","17.2042","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5966","22.9688","20.0676","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","125.0659","11.0000","26.1227","23.9804"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9B_13.OKA","5/17/2022 1:54:44 PM"," 9-B","PM02A","ybaO R2","E. coli","E. coli","",1.2500,"33.7397","17.8921","18.7308","21.4249","18.1156","41.6419","11.0000","17.1194","17.4075","19.8528","23.6075","51.6205","25.3520","21.7400","34.4605","11.0000","184.1458","11.0000","11.0000","11.0000","130.1288","16.0479","46.6654","34.2864","20.9095","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2388","11.0000","14.5906","32.3817","18.7478","11.0000","11.0000","13.7654","11.0000","59.3652","11.0000","11.0000","11.0000","11.0000","11.0000","20.6449","20.2675","12.1734","11.0000","11.0000","55.5180","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","108.4548","20.9550","11.0000","12.0296","11.0000","11.0000","11.0000","11.0000","11.0000","48.4018","11.0000","11.0000","21.1241","15.3711","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.4254","19.4497","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","126.4738","11.0000","23.8635","21.4054"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9B_13.OKA","5/17/2022 1:54:44 PM"," 9-B","PM02A","ybaO R2","E. coli","E. coli","",1.5000,"29.7054","16.5604","21.3391","21.0160","19.1695","57.5484","16.5289","19.0782","19.5583","22.4496","22.8766","56.6291","23.3335","31.5025","27.6629","11.0000","185.1865","11.0000","11.2536","11.0313","126.4918","11.0000","45.1900","40.4088","21.5102","11.2272","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5307","11.0000","13.7021","29.5275","20.2514","11.0000","11.0000","15.8113","11.0000","55.0390","11.0000","11.0000","11.0000","11.0000","12.2607","16.5592","20.0490","11.0000","11.0000","11.0000","63.9968","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","109.2905","17.7794","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","40.1048","11.0000","11.9736","20.4723","15.3840","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5986","24.0755","18.0415","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","123.6281","11.0000","22.6091","23.3282"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9B_13.OKA","5/17/2022 1:54:44 PM"," 9-B","PM02A","ybaO R2","E. coli","E. coli","",1.7500,"25.8420","11.9413","17.0829","20.8714","19.5044","65.2248","18.3113","22.4064","22.3254","17.6640","27.4780","65.1754","24.0590","31.6356","34.4771","11.0000","184.5209","12.6391","11.0000","11.0000","126.7384","12.3934","46.5693","40.2252","21.7474","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7642","31.9942","21.5648","11.0000","11.0000","11.0000","11.0000","59.1724","11.0000","11.0000","11.0000","11.0000","12.5202","16.7297","20.0022","11.0000","11.0000","11.0000","73.6339","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","112.6418","20.2962","11.0000","15.9252","11.0000","11.0000","11.0000","11.0000","11.0000","42.4955","11.0000","11.0000","22.8725","17.0857","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4410","11.0000","11.0000","35.7656","18.6702","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","126.8331","11.0000","23.3759","25.4249"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9B_13.OKA","5/17/2022 1:54:44 PM"," 9-B","PM02A","ybaO R2","E. coli","E. coli","",2.0000,"28.2557","11.0000","17.8673","20.9276","21.0998","73.8708","22.1917","23.4519","19.3579","25.2417","27.5183","72.0736","23.1447","46.6341","29.8703","11.4765","185.1880","14.6837","14.5279","11.0000","129.0452","15.7187","45.3678","39.8966","22.2467","11.0000","11.0000","11.0000","11.6837","11.0000","13.7606","11.2792","14.9760","11.0000","13.3052","28.0602","18.1131","11.0000","11.0000","11.0000","11.0000","55.5084","11.0000","11.0000","11.0000","11.0000","12.2290","20.9198","22.9680","11.0000","11.0000","11.0000","81.4711","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","115.2627","27.6685","11.0000","23.4862","11.0000","11.0000","11.0000","11.0000","11.0000","39.6581","12.0145","11.3774","27.1667","18.0119","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.5614","11.0000","11.0000","41.1570","19.7132","13.8084","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","124.2024","11.0000","26.4740","25.4171"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9B_13.OKA","5/17/2022 1:54:44 PM"," 9-B","PM02A","ybaO R2","E. coli","E. coli","",2.2500,"31.8135","18.9908","19.0481","23.8937","24.8126","85.7365","19.6413","28.1063","20.8019","25.8393","29.2469","79.0123","24.4590","57.7204","29.7176","11.0000","186.3899","13.1187","14.8880","11.3136","128.7110","14.6858","46.0044","35.7824","22.0175","12.4018","13.8960","11.0000","12.9243","11.0000","12.9792","14.4490","16.6818","11.0000","13.7901","35.9741","20.5228","11.0000","12.2338","11.0000","11.0000","60.4347","15.6100","11.0000","11.0000","11.0000","15.3120","16.5938","24.0049","11.0000","11.0000","11.0000","91.8065","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","117.0515","34.5821","11.4137","32.1644","11.0000","11.0000","11.0000","11.0000","11.0000","44.3087","16.8908","14.6536","27.5307","18.6713","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1449","11.0000","11.0630","41.9290","19.3894","13.0267","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","122.0876","11.0000","26.4214","24.7828"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybaO R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 9B_13.OKA","5/17/2022 1:54:44 PM"," 9-B","PM02A","ybaO R2","E. coli","E. coli","",2.5000,"27.2305","11.0000","17.0483","22.5661","24.8325","93.1302","24.3295","25.6530","22.3329","26.5744","31.0448","78.5441","29.4155","69.2608","31.0129","11.0000","186.0733","14.4090","11.8919","14.5289","130.5420","12.1124","46.4376","40.0932","27.9419","13.3538","17.8699","14.1967","12.4673","11.0000","17.8498","17.3882","18.3673","13.2849","15.2344","35.4848","19.2725","11.0000","11.0000","14.7405","11.0000","61.2103","15.9708","11.0000","11.0000","11.0000","17.3813","22.1549","23.8696","11.0000","12.6993","11.0000","98.5253","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","115.6140","35.2594","14.7961","31.8011","11.0000","11.0000","11.0000","11.0000","11.0000","41.7419","19.9578","11.9434","26.7802","19.3290","15.4251","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.9587","11.0000","11.0000","42.0834","19.5669","13.5332","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","124.8456","11.0000","24.7938","25.4073"
