"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_22B_35.OKA","5/10/2022 1:15:07 PM","22-B","PM05","ybaO R2","E.Coli","E.Coli","",0.0000,"23.0474","18.7388","17.3967","13.0778","13.9918","11.0000","11.2610","15.7351","16.7237","18.0762","18.1039","23.4460","20.7197","11.7826","13.1345","11.0000","11.0000","12.1300","11.0000","11.0000","11.0000","19.6940","15.5470","14.3331","13.9029","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2397","11.0000","11.8333","17.3380","13.0589","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1315","11.0945","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8475","20.3643","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8856","14.1938","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2246","12.9238","15.7404","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7217"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_22B_35.OKA","5/10/2022 1:15:07 PM","22-B","PM05","ybaO R2","E.Coli","E.Coli","",0.2500,"18.3181","18.7002","17.8391","13.5043","14.4334","14.7196","11.0000","13.9578","13.5913","15.9258","17.3076","20.2338","17.1994","11.0000","13.0900","11.0000","11.0000","16.3841","11.0000","11.0000","11.0000","20.2715","12.9495","18.7059","16.8610","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0630","11.0000","13.6212","18.6530","13.7649","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.0137","16.7638","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.5920","16.2499","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8558","18.5386","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0212","17.0297","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7051"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_22B_35.OKA","5/10/2022 1:15:07 PM","22-B","PM05","ybaO R2","E.Coli","E.Coli","",0.5000,"28.4798","28.9062","17.3135","18.2482","18.0927","15.6626","17.3550","16.6570","17.6631","19.2106","24.8028","27.7674","17.2965","14.1053","21.7354","11.0000","12.5612","17.8579","11.0000","12.7944","11.0000","20.6289","19.7985","20.6986","17.8630","12.3062","11.0000","11.0000","12.3114","11.0000","11.0000","11.0000","18.6982","11.0000","15.6991","21.9570","18.8159","12.4849","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1045","18.3217","19.7751","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5676","26.9143","18.2834","12.6866","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.8341","19.3082","11.0000","11.0315","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5043","21.7135","15.2637","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1896","19.6866"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_22B_35.OKA","5/10/2022 1:15:07 PM","22-B","PM05","ybaO R2","E.Coli","E.Coli","",0.7500,"27.0848","20.9228","14.1086","19.2660","15.0234","18.0626","21.2375","16.9540","19.9319","19.3565","20.5652","26.1555","24.6884","12.5950","26.0209","11.0000","17.4017","21.8999","11.4810","12.9151","11.0000","18.8055","18.7886","21.9137","21.1499","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8132","13.2645","15.5352","21.1980","13.8837","12.9427","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4627","19.8937","16.3290","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9785","21.1867","19.1085","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0627","19.5998","17.5631","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6064","18.8069","15.4167","12.4060","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4732","23.6834"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_22B_35.OKA","5/10/2022 1:15:07 PM","22-B","PM05","ybaO R2","E.Coli","E.Coli","",1.0000,"26.2732","17.9948","20.4773","19.2744","17.6012","16.4581","16.0272","12.5252","17.3990","20.2447","21.8439","28.3243","20.7915","11.2984","24.9286","11.0000","14.1500","19.0863","11.0000","11.7861","11.9040","20.1248","16.0949","24.1186","16.9774","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6274","11.0000","19.1261","18.9874","18.2214","14.6850","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5688","20.9563","23.1697","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7369","24.4314","21.5929","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.3138","18.5932","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3551","20.3162","17.4681","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5451","17.9758"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_22B_35.OKA","5/10/2022 1:15:07 PM","22-B","PM05","ybaO R2","E.Coli","E.Coli","",1.2500,"25.1563","24.4481","16.1298","16.2141","18.1140","16.1794","14.1688","13.7272","15.8669","17.7007","24.9079","25.2265","18.9256","12.7521","24.2022","11.0000","15.0665","20.6263","11.0000","11.4401","11.0000","20.9272","20.2994","20.4234","20.9580","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0577","11.0000","15.8274","20.1899","17.0392","12.1683","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1856","11.0000","16.4816","23.1818","17.4510","11.3807","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1556","22.0027","21.7357","12.3995","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6918","21.2310","21.9351","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5660","19.9884","18.4027","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5158","21.6388"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_22B_35.OKA","5/10/2022 1:15:07 PM","22-B","PM05","ybaO R2","E.Coli","E.Coli","",1.5000,"29.3826","22.8868","18.3564","17.5174","15.1356","13.7572","13.6572","12.4876","16.4130","18.9713","21.4770","26.5262","22.0161","15.6192","30.2521","11.0000","14.7160","21.8348","11.0000","15.9335","12.7724","18.8022","18.6707","25.2862","16.3176","11.4568","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.2678","11.0000","13.0244","19.4383","16.9617","13.4275","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4987","22.4086","21.1537","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1350","27.4479","19.2234","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.5225","20.3917","11.0000","11.0000","11.0000","11.0000","13.8803","11.0000","11.0000","11.0000","11.0000","11.0000","19.9571","17.8823","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0491","21.9272"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_22B_35.OKA","5/10/2022 1:15:07 PM","22-B","PM05","ybaO R2","E.Coli","E.Coli","",1.7500,"25.7837","24.4710","19.5173","17.5848","18.4168","16.1558","12.7702","20.0680","19.2621","20.6504","24.4013","28.3362","19.3946","11.0000","33.9425","11.0000","11.0312","21.4637","11.0000","15.9713","11.0000","21.3705","19.6696","19.9927","15.7953","11.0000","11.9017","11.0000","11.5308","11.0000","11.0000","11.0000","23.3206","11.0000","18.4627","21.2254","16.4939","14.7874","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4858","18.4639","21.0139","20.1799","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0043","25.5621","20.7495","11.0318","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1882","23.9010","22.7509","11.0000","11.0000","11.0000","11.0000","15.2054","11.0000","11.0000","11.0000","11.0000","11.0000","22.9813","18.8750","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6441","21.5743"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_22B_35.OKA","5/10/2022 1:15:07 PM","22-B","PM05","ybaO R2","E.Coli","E.Coli","",2.0000,"28.2027","22.2606","17.2025","19.0458","16.9754","14.0707","11.7295","15.3448","16.5674","18.5767","24.0530","30.0299","17.6401","15.0200","32.4685","11.0000","14.5911","24.3506","11.0000","14.5540","11.0000","18.6671","20.1455","22.3003","16.5504","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0463","13.0127","19.4938","22.7881","12.3538","21.1537","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9331","17.6902","20.0374","11.0000","11.4618","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5007","25.5558","20.2077","14.0820","11.1872","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3465","19.6603","21.9591","11.0000","11.0000","11.0000","11.0000","12.9014","11.0000","11.0000","11.0000","11.0000","12.5076","17.1031","14.0542","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.2537","21.4606"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ybaO R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_22B_35.OKA","5/10/2022 1:15:07 PM","22-B","PM05","ybaO R2","E.Coli","E.Coli","",2.2500,"26.4001","23.2933","20.5437","22.2324","15.9426","16.7687","15.1320","19.7927","18.9247","20.2673","25.7793","29.5764","25.0462","14.2312","34.9989","11.0000","15.0636","29.1001","11.0000","17.1973","11.0000","23.1149","17.5865","27.9887","16.6197","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5462","19.9004","11.0000","18.5475","23.8056","20.5968","19.2379","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0059","19.2554","23.2841","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3220","22.9501","21.5645","14.5446","12.9293","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7543","24.7048","21.8509","11.1936","11.0000","11.0000","11.0000","15.2548","11.0000","11.0000","11.0000","11.0000","15.0384","21.2491","18.2018","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2317","21.0097"
