"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21A_36.OKA","5/17/2022 1:54:44 PM","21-A","PM03B","ybeF R1","E. coli","E. coli","",0.0000,"96.0506","54.7661","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.6701","16.8963","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6365","16.9347","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8972","11.9253","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1617","12.6978","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5606","16.3972","11.3751","11.0000","11.0000","11.0000","11.0000","78.7467","11.0000","11.0000","11.0000","12.1434","15.7678","13.3451","14.3342","11.0000","12.9588","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0729","20.7457","20.6045","16.4699","11.0000","15.1082","12.7552","11.0000","11.0000","11.0000","11.0000","13.6942","20.6141","22.6735"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21A_36.OKA","5/17/2022 1:54:44 PM","21-A","PM03B","ybeF R1","E. coli","E. coli","",0.2500,"97.2524","49.3487","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9446","21.0145","17.1458","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3802","17.6362","11.8651","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.5590","13.1469","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8747","15.0686","12.6895","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2710","18.9477","15.7180","11.0000","11.0000","11.0000","11.0000","11.0000","82.5251","17.5648","11.0000","11.0000","17.4247","20.9226","19.7123","14.0545","11.9445","14.6937","12.6470","11.0000","11.0000","11.0000","11.0000","11.0000","17.6592","25.0621","25.1954","24.4059","16.4573","20.7301","11.0000","11.0000","14.8376","18.6248","12.8364","21.9303","25.0253","27.2429"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21A_36.OKA","5/17/2022 1:54:44 PM","21-A","PM03B","ybeF R1","E. coli","E. coli","",0.5000,"72.0811","37.6283","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.7091","15.9057","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1997","19.5063","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5882","16.6808","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0271","12.7643","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3927","15.7756","18.2959","11.0000","11.0000","11.0000","11.0000","11.0000","79.0645","14.2852","11.0000","11.0000","14.7012","20.5405","15.6406","14.3418","11.0000","12.8239","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.3731","25.0373","25.9112","16.3546","14.1150","16.0770","11.7923","11.0000","16.3426","11.0000","13.2253","17.7758","21.5874","23.4265"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21A_36.OKA","5/17/2022 1:54:44 PM","21-A","PM03B","ybeF R1","E. coli","E. coli","",0.7500,"69.0947","26.8718","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.3117","14.7505","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.6149","14.1196","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6429","13.8627","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8719","13.3899","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3577","14.6231","11.0000","11.0000","11.0000","11.0000","11.0000","79.3007","13.1071","11.0000","11.0000","13.5824","17.5217","15.8869","11.0000","11.0000","13.3256","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0903","22.8092","22.7690","17.4404","11.0000","13.6881","14.0167","13.6134","11.4572","11.4244","12.6016","18.4983","16.6500","22.4909"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21A_36.OKA","5/17/2022 1:54:44 PM","21-A","PM03B","ybeF R1","E. coli","E. coli","",1.0000,"57.6499","16.0561","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3428","17.2362","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3786","24.1321","16.9241","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4345","15.3676","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.1439","16.1325","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0508","18.4195","11.0000","11.4066","11.0000","11.0000","11.0000","80.4764","17.1765","11.0631","13.1638","19.4375","19.7099","17.4991","13.6283","11.0000","11.7534","11.0000","11.0000","11.0000","11.0000","11.0000","17.7662","16.3772","17.9704","24.6048","20.1741","16.5510","18.8810","15.5125","12.4021","13.5418","11.6840","14.4413","18.0326","22.9558","27.3066"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21A_36.OKA","5/17/2022 1:54:44 PM","21-A","PM03B","ybeF R1","E. coli","E. coli","",1.2500,"43.6527","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3144","18.5486","15.8192","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3113","16.4657","15.9120","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8000","17.9892","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2324","13.6627","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0494","14.4068","19.1438","11.0000","11.0000","11.0000","11.0000","11.0000","79.5888","16.4598","11.0000","11.0000","14.4114","23.3706","18.3183","11.0000","11.0000","16.4178","11.1262","11.0000","11.0000","11.0000","11.0000","18.3113","15.5213","22.1834","26.9914","18.3942","13.9558","17.5247","18.3938","11.0000","11.0000","13.5720","17.3350","18.6255","21.6970","21.7414"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21A_36.OKA","5/17/2022 1:54:44 PM","21-A","PM03B","ybeF R1","E. coli","E. coli","",1.5000,"35.2105","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.3736","20.8517","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1276","17.7311","18.2989","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6154","15.6786","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4746","16.3766","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6474","14.3323","14.9935","11.7665","11.0000","11.0000","11.0000","11.0000","75.8694","17.0764","11.0000","11.0000","18.1381","21.2321","13.7215","11.0000","11.0000","12.4316","11.0000","11.0000","11.0000","11.0000","11.0000","27.1976","14.9504","25.9383","21.8160","18.9473","13.9135","16.4979","11.0000","11.0000","11.0000","11.0000","16.6433","11.0000","17.1499","18.3443"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21A_36.OKA","5/17/2022 1:54:44 PM","21-A","PM03B","ybeF R1","E. coli","E. coli","",1.7500,"24.9976","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.2365","12.7375","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0022","20.0439","18.2213","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2920","13.8914","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9083","15.2023","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1058","16.9678","20.0498","11.0000","11.0000","13.7062","11.0000","11.0000","78.7914","17.9958","11.0000","11.0000","17.5684","18.6412","15.3513","12.0894","11.0000","15.1044","11.0000","11.0000","11.0000","11.0000","11.0000","22.1047","16.9891","24.0440","25.4117","19.6244","17.4665","17.8667","14.5221","11.0000","14.1067","11.0000","11.0000","18.0866","20.4408","23.4877"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21A_36.OKA","5/17/2022 1:54:44 PM","21-A","PM03B","ybeF R1","E. coli","E. coli","",2.0000,"22.8180","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8407","13.9161","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9954","16.6331","18.9797","11.0000","11.0000","11.0000","11.0000","11.0000","11.0625","11.0000","11.0000","11.0000","14.7205","15.4339","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3240","13.3510","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1747","17.8873","16.8275","11.0000","11.0000","11.0000","11.0000","11.0000","75.7415","19.3766","11.0000","11.6698","13.2329","19.7770","18.1296","16.7153","11.0000","12.8254","11.0000","11.0000","11.0000","11.0000","11.0000","25.9694","15.1515","19.3556","26.6592","19.4559","14.8444","17.5010","12.9920","14.1465","11.0000","14.7726","13.3203","17.8199","17.3949","23.9404"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21A_36.OKA","5/17/2022 1:54:44 PM","21-A","PM03B","ybeF R1","E. coli","E. coli","",2.2500,"15.6798","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1212","15.1204","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5039","20.7499","14.3815","11.0000","11.0000","11.0000","11.0000","11.0000","13.0386","11.0000","11.0000","11.0000","14.2171","16.6929","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9051","14.4512","11.0319","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2556","18.0712","19.4863","13.8909","11.0000","12.7801","11.0000","11.0000","76.3401","20.7493","11.6657","11.0000","19.0307","22.2429","17.8594","13.1440","11.0000","15.7910","13.5599","11.0000","11.0000","11.0000","11.0000","22.6278","16.1058","24.7752","26.1103","21.7355","21.4487","19.3808","11.3817","14.4058","11.0000","14.4114","11.0000","17.7177","26.1209","23.9363"
