"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21B_37.OKA","5/17/2022 1:54:44 PM","21-B","PM03B","ybeF R2","E. coli","E. coli","",0.0000,"16.9751","15.0428","15.8956","14.4633","13.8743","11.0000","18.3067","13.2918","13.8668","11.9725","18.4249","18.8269","17.9561","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4347","17.6106","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1500","12.0776","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6760","13.2184","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6546","11.3050","11.0000","11.0000","11.0000","11.0000","11.0000","35.7218","11.0000","11.0000","11.0000","11.0000","11.5438","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5740","17.8637","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9489"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21B_37.OKA","5/17/2022 1:54:44 PM","21-B","PM03B","ybeF R2","E. coli","E. coli","",0.2500,"21.8296","20.1325","12.8120","21.3681","15.0313","18.0011","26.1191","15.5898","13.8152","16.9289","26.1888","24.4667","21.3997","11.0000","11.0000","11.0000","11.0000","12.0613","11.0000","11.6856","11.0000","15.8811","12.6737","15.9217","19.9657","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7104","17.9667","16.1307","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8137","14.2419","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5242","16.8341","11.0000","11.0000","11.0000","11.0000","11.0000","42.4530","11.0000","11.0000","11.0000","11.0000","18.3698","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0650","19.3071","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5969"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21B_37.OKA","5/17/2022 1:54:44 PM","21-B","PM03B","ybeF R2","E. coli","E. coli","",0.5000,"18.5064","16.2621","14.3319","13.5552","12.6503","13.6593","20.1854","11.2527","12.6352","11.4466","24.3335","21.9442","12.8438","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5998","11.2837","19.6510","15.6490","11.0000","11.0000","11.0000","11.2800","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.5848","12.4709","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1909","16.5569","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4313","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","37.8711","11.0000","11.0000","11.0000","11.0000","15.6683","13.2464","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9908","17.2491","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.0063"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21B_37.OKA","5/17/2022 1:54:44 PM","21-B","PM03B","ybeF R2","E. coli","E. coli","",0.7500,"21.0843","19.3403","12.4507","12.6518","11.0000","11.0000","17.6431","11.2206","13.0907","11.0000","20.8253","20.0987","11.4778","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2321","11.9850","11.0000","11.0000","12.3452","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0111","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1845","12.6487","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4857","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.0542","11.0000","11.0000","11.0000","11.0000","13.9397","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6129","22.3222","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.2269"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21B_37.OKA","5/17/2022 1:54:44 PM","21-B","PM03B","ybeF R2","E. coli","E. coli","",1.0000,"22.3387","15.6979","11.3878","12.5611","11.9651","14.0364","22.4993","16.2109","11.3761","12.9137","18.9258","23.8293","16.9540","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5291","11.3807","11.0000","17.1772","17.0967","11.0000","11.0000","20.2999","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2122","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8929","15.1079","11.0000","12.6223","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.9477","14.8789","11.9787","11.0000","11.0000","11.0000","11.0000","29.0599","11.0000","11.0000","11.0000","11.0000","17.2907","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7856","18.8297","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8454","13.6453"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21B_37.OKA","5/17/2022 1:54:44 PM","21-B","PM03B","ybeF R2","E. coli","E. coli","",1.2500,"23.9322","21.0977","15.2197","12.4893","13.2158","11.7717","22.4642","11.8244","12.6333","12.9356","25.5302","21.4179","18.8512","11.6569","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2524","13.4510","13.9700","18.3767","11.0000","11.0000","19.2584","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4584","12.0979","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6832","14.3424","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6513","15.7666","16.3604","11.0000","11.0000","11.0000","11.0000","11.0000","24.0066","11.0000","11.0000","11.0000","11.0000","18.8607","12.6548","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8729","21.1582","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6204"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21B_37.OKA","5/17/2022 1:54:44 PM","21-B","PM03B","ybeF R2","E. coli","E. coli","",1.5000,"18.7574","19.8388","13.8344","17.4300","13.3698","16.9059","25.7227","11.3143","13.9155","17.0896","24.7402","21.1535","16.7556","11.0000","11.0000","11.0000","11.0000","13.3334","11.0000","11.0000","11.0000","11.1588","13.7050","18.7210","16.4134","11.0000","11.0000","19.1775","11.0000","11.0000","11.0000","11.0000","13.1201","11.0000","11.0000","15.5611","15.5319","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0913","11.5789","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5132","14.4861","11.5882","11.0000","11.0000","11.0000","11.0000","11.0000","11.9036","11.0000","11.0000","11.7290","12.1935","15.5223","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3072","22.4152","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8149","18.3724"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21B_37.OKA","5/17/2022 1:54:44 PM","21-B","PM03B","ybeF R2","E. coli","E. coli","",1.7500,"18.9220","14.0837","17.3404","15.0794","15.5793","19.4796","28.0176","14.3715","12.9765","14.2842","19.6994","22.0198","18.9298","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1165","20.5334","16.1511","11.0000","11.0000","19.8406","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3106","17.7156","14.7821","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5067","13.8782","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1048","16.0159","13.3472","11.0000","11.0000","11.0000","11.0000","11.0000","11.2254","11.0000","11.0000","11.0000","11.0000","20.4004","14.9635","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2911","21.7756","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5340"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21B_37.OKA","5/17/2022 1:54:44 PM","21-B","PM03B","ybeF R2","E. coli","E. coli","",2.0000,"24.2832","18.9269","15.0624","15.6700","11.4676","16.7765","25.9433","14.3331","11.0000","16.2336","19.2907","24.0368","16.9779","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5520","11.0000","15.0802","17.6274","19.4271","11.0000","11.0000","19.1285","11.0000","11.0000","11.0000","12.9544","11.0000","11.0000","11.5919","17.6798","12.9115","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7969","15.3852","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6109","15.1435","17.1087","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0314","22.4387","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0619","25.0585","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.3998"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ybeF R2_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_21B_37.OKA","5/17/2022 1:54:44 PM","21-B","PM03B","ybeF R2","E. coli","E. coli","",2.2500,"23.1464","15.2704","12.9716","17.9404","13.4466","17.5906","24.6558","14.5651","11.0000","16.1159","21.7707","24.4614","17.3820","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5913","11.0000","13.5920","15.9037","11.0000","11.0000","21.3230","11.0000","11.0000","11.0000","13.6411","11.0000","11.0000","13.7281","15.1466","15.1526","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0000","17.8975","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0683","17.0479","16.4113","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4677","19.7084","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7748","23.3355","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2518","16.2681"
