"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20A_34.OKA","5/17/2022 1:54:44 PM","20-A","PM03B","ycaN R1","E. coli","E. coli","",0.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9442","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2127","12.2118","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9058","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4945","15.4760","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1206","11.0000","11.0000","11.9065","11.0000","11.0000","11.0000","39.2487","87.8957","11.0000","25.4498","18.2483","11.0000","11.5684","16.6908","11.0000","15.4815","11.0000","11.0000","11.0000","11.0000","12.7447","15.6916","11.0000","11.0000","28.1105","20.0990","11.9386","43.3516","13.7284","11.0000","12.8629","12.5769","20.7306","25.1613","17.3946","31.4100","33.4221"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20A_34.OKA","5/17/2022 1:54:44 PM","20-A","PM03B","ycaN R1","E. coli","E. coli","",0.2500,"13.3121","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5399","15.2331","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9304","18.7475","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6939","11.1894","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9218","11.4731","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9111","13.6106","11.0000","11.5356","11.0000","11.0000","66.2516","85.9678","11.0000","11.0000","11.0000","15.3562","16.2021","13.2177","11.7554","18.5887","13.3535","12.9638","11.0000","11.0000","11.0000","11.3839","11.0000","11.0330","26.0643","28.2258","21.3651","60.8140","16.2958","12.6931","11.5265","11.0650","11.5539","12.8036","17.4006","21.5027","23.2630"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20A_34.OKA","5/17/2022 1:54:44 PM","20-A","PM03B","ycaN R1","E. coli","E. coli","",0.5000,"11.1284","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.6171","13.5157","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7227","20.7350","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8154","11.0000","16.9467","15.8068","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1469","16.8599","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.3259","18.0464","11.0000","11.0000","11.0000","11.0000","71.9022","81.1613","11.0000","11.0000","11.0000","11.0000","20.1243","14.0832","12.3433","15.2212","14.0941","11.0000","11.0000","11.0000","11.0000","11.0000","11.5220","13.7202","26.8809","24.2153","17.6768","55.0741","17.1946","16.3557","12.8404","13.4759","11.0000","12.6035","17.6442","21.5547","22.4856"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20A_34.OKA","5/17/2022 1:54:44 PM","20-A","PM03B","ycaN R1","E. coli","E. coli","",0.7500,"13.0232","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8000","11.3782","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.5953","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5531","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8805","11.7233","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9531","13.6525","14.1546","11.0000","11.0000","11.0000","11.0000","60.6417","87.1729","11.0000","11.0000","11.0000","11.5354","14.5660","11.2236","11.0000","11.0000","13.3911","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.9680","22.3842","18.5303","32.5521","14.9361","13.4768","12.8620","11.0000","11.0000","12.3401","15.9331","17.8983","26.4075"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20A_34.OKA","5/17/2022 1:54:44 PM","20-A","PM03B","ycaN R1","E. coli","E. coli","",1.0000,"13.3502","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3897","15.4813","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5500","12.4184","26.0037","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4812","15.1804","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.2361","16.8837","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2998","20.7424","15.7697","11.0000","14.8161","12.1220","11.0000","70.4846","83.0508","11.0000","11.0000","11.0000","17.9375","17.5404","18.6349","15.1396","17.3428","12.4740","12.2686","11.0000","11.0000","11.0000","11.0000","11.0000","14.9257","21.8139","24.7641","20.5029","39.1538","20.7559","20.9718","16.5106","13.6721","11.0000","18.4994","21.6307","23.4444","24.9313"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20A_34.OKA","5/17/2022 1:54:44 PM","20-A","PM03B","ycaN R1","E. coli","E. coli","",1.2500,"13.8953","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0529","14.8112","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5040","14.8213","19.1196","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0516","18.1452","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1178","15.6049","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6134","15.4162","17.8694","11.0000","11.3797","11.0000","11.0000","70.7418","79.4603","11.0000","11.0000","11.0000","12.2319","21.2344","16.2590","11.0000","17.2173","13.7415","12.3563","11.0000","11.0000","11.0000","11.0000","11.0000","12.7161","21.6957","25.4593","16.9087","22.2585","17.1089","17.3870","11.0000","11.9810","11.5535","16.9777","19.0183","18.3603","19.7558"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20A_34.OKA","5/17/2022 1:54:44 PM","20-A","PM03B","ycaN R1","E. coli","E. coli","",1.5000,"11.9633","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0732","16.7859","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1936","24.3677","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8260","15.3043","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4360","16.0015","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7287","15.0554","15.2743","11.0000","11.0000","11.0000","11.0000","72.1992","78.1666","11.0000","11.0000","11.0000","14.8821","19.8615","13.6899","11.0000","18.0481","13.7982","11.4742","11.0000","11.0000","11.0000","11.0000","11.0000","11.2963","25.0690","23.9663","14.3636","12.1919","16.4979","14.4295","11.0000","11.0000","11.1954","16.3839","13.2204","18.3338","22.3562"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20A_34.OKA","5/17/2022 1:54:44 PM","20-A","PM03B","ycaN R1","E. coli","E. coli","",1.7500,"13.9536","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4055","11.3791","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8323","24.0634","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1262","11.0000","14.7011","11.1257","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0325","16.3000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9627","21.3560","11.0000","11.6942","11.0000","11.0000","62.4113","78.9845","11.0000","11.0000","11.0000","15.1485","17.6821","15.3831","11.0000","11.3279","12.4984","12.2042","11.0000","11.0000","11.0000","11.0000","11.0000","12.9637","23.3626","26.9135","21.5337","14.1835","13.8744","16.1404","11.0000","12.9621","11.0000","14.5408","18.2178","19.9835","25.0004"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20A_34.OKA","5/17/2022 1:54:44 PM","20-A","PM03B","ycaN R1","E. coli","E. coli","",2.0000,"15.3237","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0494","20.3319","15.9856","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9542","18.6704","24.2803","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9041","11.0000","17.8518","16.2458","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9707","19.3383","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3455","11.0000","11.0000","16.3018","18.0445","15.1356","11.0000","13.3655","11.0000","11.0000","65.1610","82.0202","11.0000","11.0000","11.0000","14.9626","19.5855","17.5302","13.0365","14.4179","13.3144","11.9789","11.0000","11.0000","11.0000","11.6399","11.0000","14.6573","22.4443","31.0285","21.8578","13.0216","19.9349","18.5571","15.3467","12.9290","14.6100","18.5490","22.1808","16.9994","22.8755"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ycaN R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_20A_34.OKA","5/17/2022 1:54:44 PM","20-A","PM03B","ycaN R1","E. coli","E. coli","",2.2500,"15.4234","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5962","18.3667","13.2332","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0180","22.3853","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0940","14.2844","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8348","14.6395","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5700","11.0000","11.0000","13.0385","12.1364","16.5954","11.0000","11.5047","11.0000","11.0000","60.4989","77.3360","11.0000","11.0951","11.0000","16.4897","20.3956","14.7155","11.0000","16.1228","13.2488","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0305","23.1622","31.0195","22.8810","15.7134","18.9666","14.2763","11.0000","11.0000","14.7363","16.6110","15.4012","27.9948","27.1865"
