"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18A_26.OKA","5/10/2022 1:15:07 PM","18-A","PM05","ycaN R1","E.Coli","E.Coli","",0.0000,"19.6903","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8326","19.9152","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5970","14.1852","14.5577","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2888","13.5112","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.3533","17.7874","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9074","14.9063","17.0311","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8549","17.9327","11.6084","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","26.1394","23.1911","20.5185","14.7583","11.0000","13.1311","16.4097","12.3488","13.8479","17.1775","16.7001","22.5637","17.8386"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18A_26.OKA","5/10/2022 1:15:07 PM","18-A","PM05","ycaN R1","E.Coli","E.Coli","",0.2500,"12.0094","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6280","16.8855","17.4277","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.4013","19.2248","12.6100","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3029","12.3874","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2772","11.0000","13.0354","16.3786","19.6433","11.0000","11.0000","11.0000","13.0914","11.0000","11.0000","11.0000","15.4319","11.0000","14.3108","19.2016","20.7085","12.6212","12.4812","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2034","18.7199","19.9287","11.0000","11.0000","11.0000","16.9545","11.0000","11.0000","11.0000","11.0000","11.0000","12.7162","18.5745","25.4897","19.6112","14.4938","17.9161","19.0048","23.7234","14.6368","11.0000","11.2559","16.7075","20.3417","19.7599"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18A_26.OKA","5/10/2022 1:15:07 PM","18-A","PM05","ycaN R1","E.Coli","E.Coli","",0.5000,"18.4416","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4772","11.0000","12.1998","20.5485","15.7855","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7588","17.5070","14.6164","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0938","11.0000","11.0000","15.3091","22.7858","17.7729","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.3117","22.3296","11.0000","11.0000","11.0000","15.9791","11.0000","11.0000","11.0000","19.0722","11.0000","18.5128","21.9079","23.0501","13.7749","17.2839","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4225","25.0485","22.0784","12.3151","18.3063","11.0000","13.9851","11.0000","11.8388","11.0000","11.0000","11.0000","15.0624","26.4492","26.6754","22.5948","18.5899","18.2666","20.0203","20.8807","20.9670","16.2654","15.2624","23.7007","25.6901","24.6150"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18A_26.OKA","5/10/2022 1:15:07 PM","18-A","PM05","ycaN R1","E.Coli","E.Coli","",0.7500,"14.4300","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3922","23.3430","17.4256","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0637","24.0221","22.6274","18.1278","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9813","22.2363","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","26.8752","19.8076","11.0000","11.0000","11.0000","17.1411","11.0000","11.0000","11.0000","22.0828","11.0000","22.8020","20.6541","17.9960","15.5918","17.1475","11.0000","11.0000","11.0000","11.0000","11.0637","11.8907","11.0000","18.4396","23.8817","21.6711","16.0513","14.1685","11.0000","20.1749","11.0000","11.0000","11.2917","11.0000","11.0000","13.0580","26.2726","28.1675","21.8645","18.0066","17.2411","19.5679","15.3730","14.1874","17.0552","17.4128","19.7503","18.3543","23.4010"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18A_26.OKA","5/10/2022 1:15:07 PM","18-A","PM05","ycaN R1","E.Coli","E.Coli","",1.0000,"17.4238","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2354","23.8629","17.9677","11.0000","11.0000","11.0000","11.0000","11.0000","11.5809","11.0000","11.0000","16.5858","29.3825","22.3556","15.0005","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0519","12.1622","17.8097","14.3955","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9093","11.0000","13.9740","23.8337","20.8311","11.0000","11.0000","11.0000","18.8592","11.0000","11.0000","11.0000","23.4778","11.0000","23.5822","22.6796","18.5675","13.7164","14.6319","11.0000","11.0000","11.0000","11.0000","11.0000","14.3337","11.0000","15.2532","23.7699","22.7252","16.9776","13.1570","11.5539","18.7336","13.3063","11.0000","15.2701","11.0000","11.0000","13.0464","24.0119","25.5318","21.1687","21.6925","16.3996","19.4165","21.0012","15.8303","16.6268","17.1306","20.7240","19.9394","28.0450"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18A_26.OKA","5/10/2022 1:15:07 PM","18-A","PM05","ycaN R1","E.Coli","E.Coli","",1.2500,"18.0189","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0008","22.5082","16.8967","11.0000","11.0000","11.0000","11.0000","11.0000","11.4827","11.0000","11.0000","11.7011","25.2963","20.1264","14.5137","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8824","21.2084","17.9974","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9401","11.0000","11.0322","23.5484","19.8870","11.0000","11.0000","11.0000","17.9672","12.0421","11.0000","11.0000","22.8653","11.2897","20.3830","22.9238","23.3130","11.0000","16.6511","11.5481","11.0000","11.0000","11.0000","11.0000","13.7148","11.0000","16.3366","26.4522","24.0686","13.9957","12.9209","13.5038","23.9328","11.0000","11.0000","15.0654","14.1377","14.9898","13.0685","27.0487","27.5340","25.3402","20.4378","19.5929","13.8436","17.0039","17.0970","12.1102","14.0244","19.3612","21.9109","26.7682"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18A_26.OKA","5/10/2022 1:15:07 PM","18-A","PM05","ycaN R1","E.Coli","E.Coli","",1.5000,"14.6596","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7484","21.7845","15.9287","11.0000","11.0000","11.0000","11.0000","11.0000","16.7617","11.0000","11.0000","11.0000","29.4906","21.9689","16.6099","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2822","11.0000","11.0000","13.4252","21.1709","14.4216","11.0000","11.0000","11.0000","11.0000","11.1885","11.0000","11.0000","11.0000","11.0000","14.9693","22.7437","20.0044","11.0000","11.0000","11.0000","23.7295","11.0000","11.0000","11.0000","28.2373","11.0000","22.4264","22.0566","21.8527","11.0000","14.8097","11.0000","11.0000","11.0000","11.0000","11.0000","11.2229","12.9237","14.8754","28.3437","22.5037","16.6189","14.2793","13.0598","29.5141","11.0000","11.0000","11.9027","11.2252","15.5151","14.4160","28.5681","24.7591","23.5262","16.7423","16.2773","16.6925","18.1024","14.4201","12.2105","16.5779","21.4234","28.2447","26.9105"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18A_26.OKA","5/10/2022 1:15:07 PM","18-A","PM05","ycaN R1","E.Coli","E.Coli","",1.7500,"17.0705","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9374","25.6053","18.5438","11.0000","11.0000","11.0000","11.0000","11.0000","13.1546","11.0000","11.0000","13.5307","31.1224","21.5833","14.7242","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0228","25.6189","15.8338","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1610","22.9514","24.1453","11.0000","11.0000","11.0000","16.5917","11.0000","11.0000","11.0000","23.0635","11.0000","20.6216","24.8659","22.9819","15.0899","15.0978","11.0000","11.0000","11.0000","11.0000","11.0000","11.6683","11.0000","14.8783","23.9474","27.2076","13.3847","11.4913","11.0000","29.2768","11.0000","11.0000","11.0000","11.0000","16.2845","15.3146","23.3827","21.8983","22.7763","17.4035","17.1520","22.4232","14.2599","15.3538","14.6283","19.3091","24.1181","21.1855","28.5561"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18A_26.OKA","5/10/2022 1:15:07 PM","18-A","PM05","ycaN R1","E.Coli","E.Coli","",2.0000,"14.7086","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7858","25.1697","19.7258","11.0000","11.0000","11.0000","11.0000","11.0000","13.3465","11.0000","11.0000","16.5934","34.3230","24.3595","14.8020","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7975","20.9444","18.1552","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3523","11.0000","15.3495","25.7150","21.7090","11.0000","11.0000","11.0000","21.6568","11.0000","11.0000","11.0000","25.3428","11.0322","25.3708","21.4360","22.9036","15.1393","17.5943","11.0000","11.0000","11.0000","11.0000","16.6235","11.5739","11.0000","14.5659","26.8596","27.6050","19.0479","11.3280","12.2706","14.7017","14.4656","11.0000","11.0000","11.0000","14.3779","15.9880","24.6721","25.3496","19.3586","20.0977","18.6972","20.8286","17.5904","15.9199","15.9316","18.6841","22.6726","26.0188","27.3845"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18A_26.OKA","5/10/2022 1:15:07 PM","18-A","PM05","ycaN R1","E.Coli","E.Coli","",2.2500,"12.4526","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2875","25.1215","16.2967","11.0000","11.0000","11.0000","11.0000","11.0000","16.3927","11.0000","11.0000","15.1465","32.2406","23.1367","18.3450","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8091","14.1038","20.4086","18.9422","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.0398","26.1423","19.8823","11.0958","11.0000","11.0000","23.8260","11.0000","11.0000","11.0000","26.3406","11.0000","19.1503","24.0938","21.4331","14.7048","14.4927","11.0000","11.7553","11.0000","11.0000","12.9107","12.2746","11.0000","16.1065","25.4068","25.2273","16.1296","15.4193","12.7343","14.7597","16.8166","12.2933","13.4038","12.7350","14.9616","13.3253","28.0734","26.9355","21.7998","19.3294","18.9058","19.4714","16.5102","18.9199","17.3365","21.0946","23.5029","26.9693","25.7475"
