"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18B_27.OKA","5/10/2022 1:15:07 PM","18-B","PM05","ycaN R2","E.Coli","E.Coli","",0.0000,"20.7343","15.0695","15.7064","15.7950","11.0000","11.0000","11.0000","18.3765","15.1159","12.4087","27.5108","31.9966","17.7940","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5148","17.5028","13.4463","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4899","13.6380","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2595","15.0034","14.3058","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.8072","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.0421","13.3550","16.0900","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1934","15.5414","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1617","15.4624"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18B_27.OKA","5/10/2022 1:15:07 PM","18-B","PM05","ycaN R2","E.Coli","E.Coli","",0.2500,"22.5742","19.8410","14.5298","17.1386","11.6744","11.5314","11.0000","13.8962","11.0000","11.3765","24.3609","22.0867","18.3153","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7736","15.0541","16.1478","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7924","14.5944","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9890","17.0074","13.7774","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3756","13.8361","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4067","18.3250","15.8680","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3675","14.2280","11.0000","11.0000","11.0000","11.0000","11.0000","15.2816","11.0000","11.0000","11.0000","11.0000","15.4035"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18B_27.OKA","5/10/2022 1:15:07 PM","18-B","PM05","ycaN R2","E.Coli","E.Coli","",0.5000,"25.7524","23.9644","17.5712","20.9857","17.2527","14.6726","18.6134","17.4427","15.8800","15.1213","23.4384","25.6446","17.5497","11.0000","19.0274","11.0000","11.0000","13.1471","11.0000","11.0000","11.2818","14.6742","17.3475","18.5188","18.6853","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7860","11.0000","14.3298","15.8977","17.1590","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5096","24.0959","19.6614","18.8338","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7895","11.0000","11.0000","20.6764","17.6970","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4841","16.7783","22.5800","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3584","11.0000","11.0000","22.2324","15.6994","11.0000","11.0000","11.0000","11.0000","11.0000","15.8046","11.0000","11.0000","11.0000","11.0000","19.5031"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18B_27.OKA","5/10/2022 1:15:07 PM","18-B","PM05","ycaN R2","E.Coli","E.Coli","",0.7500,"26.6796","22.7005","14.7238","25.2719","12.8860","12.1185","16.0400","15.3788","17.0486","16.9325","24.7599","27.3260","21.3213","11.7643","19.9932","11.0000","14.2009","14.1097","11.0000","11.0000","11.2819","11.0000","16.5498","19.0350","19.2211","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3739","11.0000","16.8709","17.8513","16.8301","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6531","26.8495","17.8724","15.3795","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0369","11.0000","11.0000","18.0689","16.1487","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8446","20.2637","19.4909","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4418","11.0000","12.1969","16.2046","18.6515","11.2876","11.0000","11.0000","11.0000","11.0000","25.5722","11.6367","11.0000","11.0000","11.0000","18.3398"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18B_27.OKA","5/10/2022 1:15:07 PM","18-B","PM05","ycaN R2","E.Coli","E.Coli","",1.0000,"24.3407","20.5531","16.8149","20.2041","14.7365","12.6917","14.8573","12.0804","14.7955","19.9587","28.7044","24.6560","20.0359","13.5197","16.5262","11.0000","12.2475","11.0000","11.0000","11.0000","11.0000","14.7703","13.3418","19.6091","17.3907","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9746","20.4969","17.2210","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","26.3813","22.0487","18.3747","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5367","11.0000","12.2583","22.1673","19.5110","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.4882","21.1555","25.3328","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9821","11.0000","11.3763","20.0107","17.3748","11.0000","11.0000","11.0000","11.0000","11.0000","25.7339","15.1726","11.0000","11.0000","11.0000","16.1856"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18B_27.OKA","5/10/2022 1:15:07 PM","18-B","PM05","ycaN R2","E.Coli","E.Coli","",1.2500,"23.8496","24.1264","21.7758","18.3997","16.8035","13.5258","12.0774","11.2854","13.0542","13.8534","29.3433","23.3708","18.8622","14.8678","17.6173","11.0000","12.1486","11.8343","11.0000","11.0000","11.9969","11.1269","17.3678","20.9277","19.2509","11.4925","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8586","22.6762","18.6038","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0852","28.3638","20.7951","16.8701","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6595","11.0000","12.2307","16.8538","19.2133","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8682","18.7795","26.1913","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.5955","11.0000","11.3758","19.2828","18.3094","11.0000","11.0000","11.0000","11.0000","11.0000","24.9715","14.3369","11.0000","11.0000","12.6323","17.2238"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18B_27.OKA","5/10/2022 1:15:07 PM","18-B","PM05","ycaN R2","E.Coli","E.Coli","",1.5000,"27.7396","20.3488","16.4289","22.7250","12.6605","11.7374","15.1440","14.0384","17.4768","16.4524","29.2319","26.4338","19.5611","17.0279","31.4150","11.0000","14.7472","11.0000","11.0000","11.0000","15.3843","14.5522","19.8024","19.3074","15.7795","11.0000","11.0000","16.1118","11.0000","11.0000","11.0000","12.9033","14.4678","11.0000","13.7407","17.6751","15.8693","11.0000","11.0317","11.5800","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","26.0163","22.1916","19.3351","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5162","11.0000","12.5449","32.4643","15.9587","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.0223","21.2654","25.0267","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.0047","11.0000","11.0000","17.1043","17.8203","11.0000","11.0000","13.7967","11.0000","11.0000","27.6300","22.9669","11.0000","11.0000","14.8294","23.8806"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18B_27.OKA","5/10/2022 1:15:07 PM","18-B","PM05","ycaN R2","E.Coli","E.Coli","",1.7500,"27.1813","21.3698","19.6133","21.5606","18.3856","16.4104","15.4887","13.5504","16.6646","19.8542","29.1966","25.1842","21.1934","14.1531","23.0682","11.0000","11.0000","12.4444","11.0000","12.3132","11.4700","16.8988","20.2036","17.5229","19.6061","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0945","20.2815","18.1171","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3425","30.9981","23.0042","17.4259","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7557","11.0000","11.3795","20.8409","17.2940","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.8833","21.3445","25.7733","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.0886","11.0000","11.0000","17.6631","18.5029","11.0000","11.0000","11.0000","11.0000","11.0000","34.2952","18.2206","11.0000","11.0000","14.9195","19.3303"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18B_27.OKA","5/10/2022 1:15:07 PM","18-B","PM05","ycaN R2","E.Coli","E.Coli","",2.0000,"26.2009","22.4220","17.6548","24.5133","16.6953","14.8064","11.5392","17.8635","17.0679","13.8133","27.8006","27.4125","18.3391","16.2721","23.9518","11.0000","11.0000","12.0294","11.0000","11.0000","13.4664","14.4677","17.7256","18.9039","18.5485","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2794","11.0000","11.0000","16.5692","22.7254","16.1633","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1421","28.0647","18.3437","19.3962","11.5075","13.8629","11.0000","11.0000","11.0000","11.0000","11.0000","23.6336","11.0000","11.1902","21.6641","15.1265","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5068","24.0198","32.5580","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.7949","11.0000","11.2827","16.0551","16.8279","11.0000","11.0000","11.0000","11.0000","11.0000","25.3900","18.0839","11.0000","11.0000","13.4826","20.7265"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ycaN R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_18B_27.OKA","5/10/2022 1:15:07 PM","18-B","PM05","ycaN R2","E.Coli","E.Coli","",2.2500,"26.4937","25.5401","14.7596","24.8078","14.5662","17.5336","15.2582","18.6936","18.5815","19.1603","32.3163","28.8345","22.1867","13.2091","38.1516","11.0000","16.7386","11.1926","11.0000","13.3668","11.0000","16.8997","18.6264","25.1677","16.9689","11.0000","14.0827","21.1594","11.0000","11.0000","11.0000","17.3705","13.1866","11.0000","14.4931","17.8422","16.1100","11.0000","11.0000","14.9850","11.0000","11.0000","11.0000","11.0000","11.0000","11.6333","30.3354","24.4073","20.1903","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1894","11.0000","14.2271","27.5084","22.2382","13.0571","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.5899","22.8516","33.0067","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","35.3147","11.0000","11.7826","18.1805","19.2572","11.0000","11.0000","13.0968","11.0000","11.0000","19.2082","25.9051","11.0000","11.0000","11.5358","21.9893"
