"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_19A_32.OKA","5/17/2022 1:54:44 PM","19-A","PM03B","yeeY R1","E. coli","E. coli","",0.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4061","11.7409","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0911","16.7794","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7540","14.6085","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","35.8137","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2190","11.0000","11.0000","11.0000","11.0000","70.3259","11.0000","11.0000","11.0000","11.0000","12.3577","12.2820","11.0000","11.0000","62.2826","11.0000","11.0000","12.4826","11.0000","11.0000","19.5186","19.1943","20.5552","12.8640","11.8092","11.0000","72.0279","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5281","18.0807"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_19A_32.OKA","5/17/2022 1:54:44 PM","19-A","PM03B","yeeY R1","E. coli","E. coli","",0.2500,"13.4726","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9733","15.4839","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5036","11.3493","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7766","14.8203","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7086","14.1855","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.3614","13.2332","12.3150","12.5439","11.0000","11.0000","14.1839","78.8571","11.0000","11.6684","11.0000","19.6185","20.4409","21.5814","14.6457","11.0000","52.5782","11.0000","13.1141","13.1675","11.0000","12.0878","21.9033","15.1208","26.9371","25.1954","26.0408","17.7883","69.7956","11.6070","11.0000","16.9841","12.4663","11.5903","23.6371","24.8296","24.8809"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_19A_32.OKA","5/17/2022 1:54:44 PM","19-A","PM03B","yeeY R1","E. coli","E. coli","",0.5000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4945","14.7107","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2612","14.9696","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4023","15.6508","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1353","14.8751","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1899","19.2003","15.1468","13.9756","11.0000","11.0000","11.0000","11.0000","76.1290","11.0000","13.1759","11.0000","11.4112","21.5970","18.4060","11.6553","11.0000","45.0352","11.0000","11.0000","11.0000","11.0000","11.0000","19.9391","14.5395","25.3284","23.2233","20.2219","16.0039","62.8238","16.1972","15.0094","15.6911","12.4101","12.4726","20.9005","20.7705","23.9781"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_19A_32.OKA","5/17/2022 1:54:44 PM","19-A","PM03B","yeeY R1","E. coli","E. coli","",0.7500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.4036","12.2607","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2172","12.3885","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5183","14.1144","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.1405","13.6730","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9892","17.6528","11.0000","11.0000","11.0000","11.0000","11.0000","74.6226","11.0000","11.0000","11.0000","13.2675","16.8470","13.6191","11.0000","11.0000","35.0096","11.0000","11.0000","11.0000","11.0000","11.0000","15.1644","11.0000","23.7798","18.5040","17.5725","11.7721","48.3127","14.2072","13.4500","15.1478","11.0000","11.0000","20.1426","19.6721","25.7601"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_19A_32.OKA","5/17/2022 1:54:44 PM","19-A","PM03B","yeeY R1","E. coli","E. coli","",1.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1742","16.3587","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2642","18.7358","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2871","18.0818","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8404","15.8822","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3170","17.5785","16.6426","11.0000","13.1270","11.0000","11.0000","11.0000","74.7162","11.0000","11.0000","11.0000","17.1563","22.6132","20.5279","11.0000","11.0000","31.3410","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.2179","25.0828","20.8317","16.2186","51.8984","14.3765","13.8042","15.0734","11.4886","14.5062","20.4205","22.6300","25.9585"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_19A_32.OKA","5/17/2022 1:54:44 PM","19-A","PM03B","yeeY R1","E. coli","E. coli","",1.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5767","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4176","13.8434","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2116","13.2777","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4986","16.2628","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2462","14.9431","16.7815","11.0000","11.0000","11.0000","11.0000","11.0000","72.0036","11.0000","11.0000","11.0000","13.2111","21.6170","21.0745","11.0000","11.0000","23.3695","12.7979","11.0000","11.0000","11.0000","11.0000","11.0000","12.7161","21.1756","23.7037","18.9223","15.7492","40.4570","15.5306","11.0000","12.5042","13.4418","16.6203","19.9674","18.9164","20.0813"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_19A_32.OKA","5/17/2022 1:54:44 PM","19-A","PM03B","yeeY R1","E. coli","E. coli","",1.5000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8644","17.7242","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7002","15.8124","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4212","15.4290","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.0963","16.2515","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1185","19.8967","15.6799","12.0859","11.0000","11.0000","11.0000","11.0000","69.2693","11.0000","11.0000","11.0000","18.5138","24.6428","19.1329","11.0000","11.0000","21.8674","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3950","26.3568","23.3244","18.2218","18.7471","49.4533","13.5721","14.1418","11.0000","12.9870","13.3676","17.2305","17.0183","23.0680"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_19A_32.OKA","5/17/2022 1:54:44 PM","19-A","PM03B","yeeY R1","E. coli","E. coli","",1.7500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8959","11.6634","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9087","12.3189","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7153","11.3143","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1124","14.3870","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8912","19.1978","16.0380","11.0000","11.0000","11.0000","11.0000","11.0000","67.5250","11.0000","11.0000","11.0000","12.5400","19.7922","16.2724","11.0000","11.0000","15.2021","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8946","21.4157","23.1109","20.0524","12.2601","38.8500","14.2048","11.0000","11.0000","11.0000","12.3770","18.8084","16.4554","27.9292"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_19A_32.OKA","5/17/2022 1:54:44 PM","19-A","PM03B","yeeY R1","E. coli","E. coli","",2.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.1654","15.6721","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4613","13.8952","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1862","11.0000","11.0000","11.0000","16.3327","15.5588","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8780","14.0093","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6193","14.8053","16.5769","11.0000","11.0000","11.0000","11.0000","11.0000","69.6229","11.0000","11.9482","11.0000","15.9060","20.0005","20.9373","11.0000","11.0000","14.0641","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4925","20.5586","25.7025","21.4301","16.6340","31.4638","13.2134","13.0436","11.0000","13.9270","15.0850","19.8528","14.3953","20.4875"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yeeY R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_19A_32.OKA","5/17/2022 1:54:44 PM","19-A","PM03B","yeeY R1","E. coli","E. coli","",2.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5025","12.2267","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8818","16.4411","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0036","11.0000","11.0000","11.0000","14.4955","15.0664","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7976","13.4472","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4844","17.1558","16.5954","11.0000","11.0000","11.0000","11.0000","11.0000","67.4418","11.0000","11.0000","11.0000","13.1645","22.2747","17.8594","11.0000","11.0000","11.9126","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9293","24.6462","30.1907","27.8233","19.1414","29.0682","11.5089","11.0000","11.0000","11.6173","11.4241","12.8862","23.8269","26.8325"
