"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15A_7.OKA","5/10/2022 1:15:07 PM","15-A","PM07","yeeY R1","E.Coli","E.Coli","",0.0000,"21.4416","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.2156","21.9750","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3008","16.9563","13.3827","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1327","11.0000","14.5617","17.7609","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3687","16.3398","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9102","23.3830","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8505","20.8715","21.3498","13.2310","41.3766","11.0000","11.0000","11.0000","11.0000","13.8062","11.0000","13.9772","11.0000","25.9730","23.8868","20.8584","14.2411","13.4459","11.9508","13.6710","14.4394","14.1494","14.8483","22.3664","26.8329","26.6886"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15A_7.OKA","5/10/2022 1:15:07 PM","15-A","PM07","yeeY R1","E.Coli","E.Coli","",0.2500,"18.7909","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9473","20.0111","13.5434","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2621","17.8339","13.1673","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7386","11.0000","16.3859","13.2815","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0301","11.0000","11.0000","11.0000","18.5665","17.7055","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8418","11.0000","11.0000","11.0000","15.9829","24.0774","12.1535","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2786","11.0000","12.6017","20.0638","20.2398","11.0000","24.2813","11.0000","12.1475","11.0000","11.0000","18.2130","11.0000","11.0000","12.9429","19.9112","27.5463","22.9207","13.5795","19.6296","15.7781","11.0000","17.1571","12.4995","13.8794","14.7083","19.0576","22.5631"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15A_7.OKA","5/10/2022 1:15:07 PM","15-A","PM07","yeeY R1","E.Coli","E.Coli","",0.5000,"28.6937","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1579","20.3945","17.5486","18.1626","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9907","19.8619","17.2264","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.5458","14.0195","21.3319","16.8636","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6246","11.0000","11.0000","11.0000","20.8679","16.9315","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4586","11.0000","11.0000","11.0000","22.6961","25.9221","12.7542","11.0000","11.0000","11.5643","11.0000","11.0000","11.0000","11.0000","11.0000","12.6742","23.4840","24.6106","17.0165","36.1662","11.0000","12.8101","11.1952","11.0000","22.4542","12.5319","12.1072","17.8367","28.0039","26.0023","25.8794","16.7923","21.0712","17.0452","21.0751","17.7424","15.5828","17.5400","25.1373","26.0165","28.2929"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15A_7.OKA","5/10/2022 1:15:07 PM","15-A","PM07","yeeY R1","E.Coli","E.Coli","",0.7500,"21.8402","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4675","18.4913","14.7197","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.2384","19.2656","15.2390","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.8038","12.9813","21.4006","17.5694","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0925","11.0000","11.0000","11.0000","22.0450","17.7316","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1866","11.0000","11.0000","11.0000","17.4360","22.0744","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6144","19.5026","20.4960","14.9361","30.2395","11.0000","11.3492","11.0000","11.0000","17.5783","11.0000","11.0000","13.9542","21.4958","26.5051","23.3460","15.9046","18.1052","17.5370","11.0000","21.7331","19.7105","17.7057","20.6418","20.9267","26.8331"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15A_7.OKA","5/10/2022 1:15:07 PM","15-A","PM07","yeeY R1","E.Coli","E.Coli","",1.0000,"27.1238","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4093","22.6599","18.8820","21.4583","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5822","11.0000","23.2445","18.9921","16.8275","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.5636","12.0366","18.2139","17.6652","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1238","11.0000","11.0000","11.0000","19.6488","17.5646","11.0000","12.4382","11.0000","11.0000","11.0000","11.0000","15.6258","11.0000","11.0000","11.1589","19.8148","27.2608","11.0000","11.2527","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3873","20.9464","20.6916","15.4996","27.4719","11.0000","11.0000","11.0000","11.0000","26.3981","11.0000","12.8938","15.2909","24.8902","27.3523","20.4400","17.1290","16.3676","19.0051","14.3880","22.4556","14.1874","14.5544","22.6951","22.4794","33.1585"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15A_7.OKA","5/10/2022 1:15:07 PM","15-A","PM07","yeeY R1","E.Coli","E.Coli","",1.2500,"25.1023","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3231","20.3485","17.7435","16.4487","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.0944","16.9601","14.6087","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.3981","14.0391","20.6189","18.9971","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0421","11.3134","11.0000","11.0000","18.4545","18.1537","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5425","11.0000","11.0000","11.0000","17.9083","30.2955","11.0000","11.0316","11.1934","11.0000","11.0000","11.0000","11.0000","15.0407","11.0000","15.7682","23.9301","22.2473","13.3044","33.1714","12.9510","11.0000","11.2276","12.6604","27.6167","13.1132","14.0816","12.2344","28.3377","31.5558","23.6704","21.1664","16.1876","14.7701","13.8543","18.6947","14.9183","15.5038","20.8484","26.3997","27.8323"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15A_7.OKA","5/10/2022 1:15:07 PM","15-A","PM07","yeeY R1","E.Coli","E.Coli","",1.5000,"30.0045","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0314","21.7536","19.4761","16.6875","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4732","11.0000","25.5148","16.2986","18.5640","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.3428","12.2283","15.9455","17.9688","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3899","11.0000","11.0000","11.0000","20.3023","17.9264","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3395","13.7792","11.0000","11.8887","23.6316","27.6220","11.0000","11.0000","11.7128","13.1284","11.0000","11.0000","11.0000","11.0000","11.2565","15.7891","23.0610","23.5523","14.8445","27.7901","11.0000","11.7926","11.0000","11.0000","27.5396","11.0000","15.7100","19.5401","26.9828","27.3130","24.1525","16.6422","16.5012","14.3710","14.7640","20.2179","12.4723","17.4587","22.6362","27.6265","26.9427"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15A_7.OKA","5/10/2022 1:15:07 PM","15-A","PM07","yeeY R1","E.Coli","E.Coli","",1.7500,"29.6933","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0948","20.9931","19.1410","19.9871","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.8776","19.3618","16.6810","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","32.8619","11.0000","18.5413","18.3135","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8102","11.0000","11.0000","11.0000","21.4382","19.7635","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.3680","11.0000","11.5771","13.4133","21.5016","29.7976","11.0320","11.0000","11.8724","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9413","22.4805","25.2804","11.9605","31.1102","11.0000","12.6817","11.0000","11.0000","31.9064","11.0000","16.8357","18.9045","25.8787","28.1350","26.4605","18.0038","15.2936","19.2589","12.2183","15.3210","13.8111","18.2012","22.6823","23.0255","27.8771"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15A_7.OKA","5/10/2022 1:15:07 PM","15-A","PM07","yeeY R1","E.Coli","E.Coli","",2.0000,"33.8640","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7340","18.5061","19.7311","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0544","13.0225","29.0423","18.8240","18.4773","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","36.8029","12.2887","18.5826","19.1238","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.8616","11.0000","11.0000","11.0000","20.5105","25.5404","11.0000","11.0000","11.0322","11.0000","11.0000","11.0000","16.7586","11.0000","11.0000","13.0938","20.1711","27.9650","11.0000","11.5048","11.0000","11.0000","11.0000","11.0000","11.0000","11.6058","11.0000","17.8162","22.5372","24.0808","16.4307","30.2511","11.8471","14.1006","11.6478","11.0000","27.3735","13.4546","13.1762","19.4993","26.6438","28.2709","25.8010","16.1797","18.3155","19.5961","13.2624","18.1355","11.0000","17.2189","23.1316","26.8351","31.0220"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15A_7.OKA","5/10/2022 1:15:07 PM","15-A","PM07","yeeY R1","E.Coli","E.Coli","",2.2500,"32.5954","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7528","18.8820","20.5974","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9947","11.0000","26.5534","21.1961","19.3222","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","38.8340","11.0000","19.4460","18.4419","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7654","11.0000","11.0000","12.0861","23.1569","27.6974","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4423","11.0000","11.0000","11.0000","20.9538","25.6627","11.0000","11.0000","11.3237","11.0000","11.8987","11.0000","11.0000","11.0000","11.7666","20.5551","23.0481","21.5907","17.0832","33.7789","13.2251","14.8860","11.4201","13.9422","32.4744","11.6426","16.9100","13.1924","26.5272","29.1665","26.6252","17.3715","18.8420","17.0918","17.3579","20.2235","15.8417","20.1301","21.5339","26.7081","29.5554"
