"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15B_21.OKA","5/10/2022 1:15:07 PM","15-B","PM07","yeeY R2","E.Coli","E.Coli","",0.0000,"28.0270","18.4386","14.6789","12.8221","14.4744","11.0000","11.0000","15.8640","15.8876","19.3211","21.8667","34.4035","18.3792","11.2382","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7137","11.9997","12.5685","24.1447","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0833","14.3307","22.9995","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2455","11.0000","11.0000","15.0995","12.7316","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5085","15.4607","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2894","14.7100","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3847","16.7083","14.4912","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9681","20.1462"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15B_21.OKA","5/10/2022 1:15:07 PM","15-B","PM07","yeeY R2","E.Coli","E.Coli","",0.2500,"22.1455","14.7075","14.9711","11.6719","11.0000","11.0000","11.0000","12.1708","11.0000","13.8865","20.3215","34.9351","15.3396","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3404","16.5705","26.4433","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5180","21.5682","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9285","14.6136","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.2706","13.5948","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.9752","14.8761","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9912","13.4058","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8070"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15B_21.OKA","5/10/2022 1:15:07 PM","15-B","PM07","yeeY R2","E.Coli","E.Coli","",0.5000,"27.7979","23.3547","18.2798","16.8172","15.5729","11.0000","13.2652","13.9857","17.8821","14.8018","19.4403","32.5361","18.4989","11.0000","11.0000","11.0000","12.4051","13.1151","11.0000","11.0000","11.0000","12.5837","16.0906","18.6767","31.1146","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1331","14.2053","18.9744","29.1017","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7826","11.0000","11.0000","21.1569","20.8075","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.8673","14.3948","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9206","19.4644","11.0000","12.8923","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.5609","17.0999","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.3638"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15B_21.OKA","5/10/2022 1:15:07 PM","15-B","PM07","yeeY R2","E.Coli","E.Coli","",0.7500,"26.7419","20.0824","12.3924","15.6438","13.5775","12.1185","13.7405","16.9540","16.7979","14.7955","18.3725","34.2877","21.6360","11.0000","11.0000","11.0000","11.3729","11.2565","11.0000","11.0000","11.0000","11.0000","15.4777","18.4339","30.4461","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6449","19.7749","13.6714","13.6521","23.7886","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4008","11.0000","11.0000","20.5156","17.6459","13.4117","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5872","15.2546","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0627","19.3855","14.2658","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.8990","17.1585","11.9586","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.1364"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15B_21.OKA","5/10/2022 1:15:07 PM","15-B","PM07","yeeY R2","E.Coli","E.Coli","",1.0000,"26.7096","17.2176","17.8750","15.7725","12.4946","14.9899","12.0434","11.0000","17.3990","17.6714","20.1367","42.6584","21.4841","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8614","29.5045","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5315","14.3679","16.1258","30.2883","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8366","11.0000","11.0000","19.9888","20.1349","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3775","20.7905","17.2149","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9172","18.9502","14.2810","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.2776","17.9346","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3334","19.3339"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15B_21.OKA","5/10/2022 1:15:07 PM","15-B","PM07","yeeY R2","E.Coli","E.Coli","",1.2500,"23.1651","21.1665","13.9682","12.9670","13.0905","11.4796","11.1584","11.0000","11.0000","13.4366","19.5539","42.7312","20.2888","11.0000","11.0000","11.0000","12.0554","11.0000","11.0000","11.0000","11.0000","11.0000","14.5306","19.5725","34.0772","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3404","12.4327","14.8396","27.7722","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.6189","11.0000","11.0000","24.3907","16.2280","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0947","21.8189","14.6298","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6918","15.9465","19.0295","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0940","19.2521","14.2970","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2870","22.2213"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15B_21.OKA","5/10/2022 1:15:07 PM","15-B","PM07","yeeY R2","E.Coli","E.Coli","",1.5000,"25.5077","25.1677","18.9667","16.2388","11.4700","12.7954","11.6327","14.3233","15.6308","18.4612","19.4829","44.6094","23.3695","15.4882","11.0000","11.0000","12.3428","11.2894","11.0000","11.9680","11.0000","11.2220","15.5270","21.7934","35.6574","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3196","13.1320","11.0000","14.3375","33.4423","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3044","11.0000","11.0000","25.2917","19.6988","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.8842","18.2070","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.6035","17.8956","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2393","18.7194","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4125","25.0405"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15B_21.OKA","5/10/2022 1:15:07 PM","15-B","PM07","yeeY R2","E.Coli","E.Coli","",1.7500,"22.2741","21.7575","19.9015","16.6841","16.8898","14.8191","12.8334","13.1725","17.4157","17.2744","20.9081","42.7367","20.3414","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6977","14.8322","17.0479","32.1817","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9234","11.6219","17.0409","26.5454","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7873","22.2268","17.3647","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.2278","14.7641","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8784","17.3894","15.3128","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.2219","16.8597","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1670","20.1910"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15B_21.OKA","5/10/2022 1:15:07 PM","15-B","PM07","yeeY R2","E.Coli","E.Coli","",2.0000,"21.8846","20.9377","17.2994","15.1938","11.9648","14.2946","11.6661","15.6911","15.4727","15.0921","22.1474","46.7810","19.5464","13.1748","11.0000","12.8905","11.0000","12.0938","11.0000","11.0000","11.0000","12.4952","14.6771","18.0786","34.9459","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3096","16.7866","11.0000","18.4616","28.6624","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8428","11.0000","11.0000","21.4243","22.7547","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.5834","14.8802","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6597","15.3302","19.2115","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1168","15.9553","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6914","25.9262"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yeeY R2_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_15B_21.OKA","5/10/2022 1:15:07 PM","15-B","PM07","yeeY R2","E.Coli","E.Coli","",2.2500,"25.4337","22.1378","16.4627","15.5302","15.2231","16.0356","11.5678","15.0509","16.7407","20.0775","26.0951","45.8345","21.4954","14.4620","11.0000","11.0000","13.1093","12.1232","11.0000","13.6471","11.0000","15.5431","16.4520","19.3063","37.9872","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8641","16.7620","11.0000","17.9050","35.5528","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6991","11.0000","11.8201","24.9660","28.4101","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7910","19.2542","19.1148","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7150","15.2528","11.9680","11.0316","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3201","17.5975","18.5743","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.2239"
