"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13A_16.OKA","5/10/2022 1:15:07 PM","13-A","PM07","yhjC R1","E.Coli","E.Coli","",0.0000,"12.4539","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.2529","21.7175","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1726","13.5132","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8399","13.1570","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5275","16.1790","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0977","19.5612","18.7634","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0744","21.0355","16.9142","17.9633","30.3336","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2342","11.0000","28.9010","24.1187","21.3683","13.6550","13.7765","12.1803","11.8791","14.4731","17.4998","11.6414","18.4984","21.1182","23.3699"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13A_16.OKA","5/10/2022 1:15:07 PM","13-A","PM07","yhjC R1","E.Coli","E.Coli","",0.2500,"11.4100","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7031","17.9473","13.8602","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9079","17.6827","14.7463","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.8506","11.8633","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.3262","15.2140","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4183","16.0840","14.4606","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8953","19.6263","20.7376","11.0000","33.3718","11.0000","11.4032","11.0000","11.0000","11.0000","11.0000","11.0000","15.2095","21.6934","27.1101","20.2538","14.0040","18.1654","16.6158","11.0320","12.9460","11.9890","12.2157","18.7712","20.8875","23.8373"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13A_16.OKA","5/10/2022 1:15:07 PM","13-A","PM07","yhjC R1","E.Coli","E.Coli","",0.5000,"16.1420","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.4253","13.7391","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2366","17.1950","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7132","17.8043","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.8572","18.1241","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0320","21.8449","18.9293","11.7974","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1698","23.3244","22.7748","14.7480","42.0112","12.1433","12.8101","11.0000","12.3228","11.0000","12.3085","11.0000","16.8129","27.2590","25.3291","22.4963","16.2597","18.0116","19.0708","18.6454","12.4657","13.7302","15.0021","24.7455","20.8587","29.8738"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13A_16.OKA","5/10/2022 1:15:07 PM","13-A","PM07","yhjC R1","E.Coli","E.Coli","",0.7500,"12.1326","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9742","19.3315","17.8018","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3784","19.1114","17.6254","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0317","11.5975","22.2673","13.7032","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.5525","18.8640","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.4620","19.9725","13.9018","11.0000","11.0000","11.0000","11.6105","11.0000","11.0000","11.0000","11.0000","17.1212","25.6397","20.6548","15.2641","41.4435","11.0000","14.8732","11.5172","11.0000","11.0000","11.0000","11.0000","16.9747","28.7097","24.0754","23.4448","20.6090","18.2012","14.9984","14.6496","18.0579","17.1200","15.1016","20.9720","22.3777","28.3872"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13A_16.OKA","5/10/2022 1:15:07 PM","13-A","PM07","yhjC R1","E.Coli","E.Coli","",1.0000,"12.9593","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1964","20.5623","12.6395","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1792","20.1030","15.1895","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6596","18.3694","16.9421","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.2217","21.7734","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9850","24.6000","21.5695","12.2463","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5612","20.9785","21.7720","18.8497","38.5838","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1687","27.1672","27.0649","19.5457","17.3622","18.2846","16.7903","15.4305","18.8003","14.4801","15.5979","23.5821","18.9828","32.9012"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13A_16.OKA","5/10/2022 1:15:07 PM","13-A","PM07","yhjC R1","E.Coli","E.Coli","",1.2500,"11.2576","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9612","21.5209","18.9982","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1153","11.4432","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4125","19.5329","17.4039","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0447","16.9877","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.6809","22.0037","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3574","11.0000","14.9156","21.3440","18.6686","13.7653","41.2130","14.2517","12.2423","11.0000","11.0000","11.0000","11.0000","13.7896","11.0000","28.0799","28.5873","27.5338","16.0335","16.8877","12.3739","13.7231","15.3364","14.5917","12.9396","16.5521","24.4993","31.3471"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13A_16.OKA","5/10/2022 1:15:07 PM","13-A","PM07","yhjC R1","E.Coli","E.Coli","",1.5000,"12.5088","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.6640","17.9379","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5605","14.5929","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1023","19.6779","16.7759","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.8166","17.0134","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.1751","20.9795","11.0000","11.0000","11.0000","11.7199","11.0000","11.0000","11.0000","11.0000","11.0000","15.4425","22.9656","23.8383","18.2947","34.8407","11.7193","15.4383","11.0000","11.0000","11.0000","11.0644","12.7865","17.6678","24.7180","24.0568","20.1969","16.8091","16.8530","13.5760","11.0000","15.8858","13.5192","12.8267","21.4562","25.1211","26.5877"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13A_16.OKA","5/10/2022 1:15:07 PM","13-A","PM07","yhjC R1","E.Coli","E.Coli","",1.7500,"15.3040","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8635","20.1322","16.8150","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7276","11.0000","21.1514","14.5664","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.5372","18.4705","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.3029","26.6805","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4168","14.9058","24.3942","23.9467","12.1503","11.0000","11.0000","11.0000","12.2630","11.0000","11.0000","11.0000","11.0000","16.1395","23.7561","23.8271","13.5834","38.2503","11.0000","15.1567","11.0000","11.3576","11.0000","11.0000","14.0475","18.0153","27.4671","21.8661","22.4803","16.0695","17.2481","19.1639","11.5598","11.8838","14.1053","17.1911","24.9339","20.3641","28.5561"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13A_16.OKA","5/10/2022 1:15:07 PM","13-A","PM07","yhjC R1","E.Coli","E.Coli","",2.0000,"12.0319","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.3336","19.1316","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6861","11.0000","17.5561","12.0455","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5088","14.2319","17.3428","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.1921","22.7454","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4089","11.0000","13.4110","21.3412","20.6229","11.0642","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4712","23.7449","22.7473","21.0435","37.8925","12.1077","14.6701","12.4251","13.6000","11.0000","11.0000","11.1624","18.9087","25.8357","24.8360","21.9686","18.5371","20.1921","21.2394","13.2952","15.8547","16.0296","14.0932","21.2299","25.2026","32.5027"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yhjC R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_13A_16.OKA","5/10/2022 1:15:07 PM","13-A","PM07","yhjC R1","E.Coli","E.Coli","",2.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1665","19.7683","14.1528","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4431","12.8853","20.6108","14.8143","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4961","17.9416","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.7881","22.5815","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.6542","20.2112","12.7566","11.0000","11.0000","11.0000","12.5407","12.0246","11.0000","11.0000","11.2555","15.5739","24.1956","23.6642","19.0232","39.9854","11.0000","16.6869","13.1974","14.6535","11.4167","11.0000","12.7535","12.4284","31.6814","27.5729","25.0168","17.1060","17.2481","16.9332","14.7169","15.5629","14.1520","21.8340","21.6652","22.0381","28.4582"
