"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 7A_8.OKA","5/17/2022 1:54:44 PM"," 7-A","PM01","yiaG R1","E. coli","E. coli","",0.0000,"15.2082","43.5745","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4652","18.4316","22.5766","11.0000","11.0000","12.0839","11.0000","11.0000","11.0000","40.4696","11.0000","11.0000","11.7467","20.9711","16.7483","11.0000","11.0000","53.9631","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.2118","14.5776","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2158","18.0381","11.0000","11.0000","12.1397","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6851","17.3530","20.2611","15.0009","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1607","17.5676","20.4118","11.9064","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7293","12.7814","24.4281","22.5001","22.4576","14.7733","21.0354","28.2382","78.4822","17.6296","14.9822","12.0621","22.1014","26.3953","25.7355"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 7A_8.OKA","5/17/2022 1:54:44 PM"," 7-A","PM01","yiaG R1","E. coli","E. coli","",0.2500,"16.2021","38.9307","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.9151","24.4857","21.4729","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","35.7145","11.0000","11.0000","16.7577","20.5932","18.2394","11.0000","11.4995","61.3969","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.5380","14.6624","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.6979","20.2412","11.0000","11.0000","12.0619","11.0000","11.0000","11.0000","11.0000","11.0000","16.7294","12.9383","23.0944","17.6367","12.4112","11.8192","11.0000","11.0000","11.0000","11.0000","12.9663","11.0000","11.0000","19.4304","22.1749","25.2247","15.2369","14.3221","11.0000","13.2488","17.8228","11.8411","11.0000","13.4635","15.2637","16.8680","30.2021","28.0345","23.8501","19.4521","14.2859","32.9784","80.3360","23.6837","20.0585","16.0502","25.6065","27.6347","29.1519"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 7A_8.OKA","5/17/2022 1:54:44 PM"," 7-A","PM01","yiaG R1","E. coli","E. coli","",0.5000,"16.5528","43.9425","18.7085","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.7424","27.3756","23.9560","16.4070","11.0000","11.8808","11.0000","11.0000","11.0000","43.8766","11.0000","11.0000","19.8384","23.3371","23.0979","11.0000","11.0000","58.5056","11.0000","11.0000","11.0000","11.0000","11.4113","11.5096","11.0000","22.3048","19.2091","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.7880","17.3640","11.0000","12.1894","14.5911","11.0000","11.0000","11.0000","11.0000","11.0000","19.0213","13.1840","21.8394","24.9993","12.2478","11.0000","11.0000","11.0000","12.9894","11.0000","11.1276","13.5544","11.0000","16.7890","24.2863","23.7141","15.7834","14.7304","13.3124","12.3974","12.5885","11.0000","12.8747","11.8039","17.8185","22.9949","25.3607","26.5191","23.1967","20.5107","18.2802","38.6657","77.7144","21.5875","22.4120","20.5230","27.5119","23.2866","26.2817"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 7A_8.OKA","5/17/2022 1:54:44 PM"," 7-A","PM01","yiaG R1","E. coli","E. coli","",0.7500,"14.7895","46.9186","21.1789","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","29.9555","28.2757","24.7727","20.6497","21.6446","15.3843","11.0000","11.0000","11.0000","43.3873","11.0000","11.0000","26.6271","19.1313","24.0643","11.0000","11.0000","59.6711","11.0000","11.0000","11.0000","11.0000","19.3004","11.0000","11.0000","22.3645","18.9904","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","29.6244","20.2138","11.0000","11.0000","14.1262","11.0000","11.0000","11.0000","11.0000","11.0000","34.4757","15.6382","20.2206","24.6492","16.1213","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7171","11.7371","19.2197","21.7302","20.4544","14.9760","18.5492","14.8979","18.6923","11.0000","11.0000","11.0000","13.0519","20.7279","14.1114","32.7418","27.3548","22.2294","16.6734","17.3361","45.7075","79.5357","18.6750","29.4442","16.4910","25.7334","24.0410","29.4501"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 7A_8.OKA","5/17/2022 1:54:44 PM"," 7-A","PM01","yiaG R1","E. coli","E. coli","",1.0000,"15.2497","43.6899","25.3592","11.0000","11.0000","12.0373","11.0000","11.0000","11.0000","16.3663","39.3081","25.8718","35.5686","30.3067","29.2605","23.0268","11.0000","13.1904","12.5033","51.1406","12.8262","11.0000","36.8556","20.4664","34.4881","11.0000","11.0000","62.3193","11.0000","11.0000","15.1103","11.0000","22.3992","12.7883","11.7225","26.8464","20.1408","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8184","35.1303","21.8284","11.0000","16.7751","19.8414","11.0000","11.0000","11.0000","11.0000","11.0000","42.1062","13.0606","20.5544","22.5969","11.2248","11.0000","11.0000","13.2241","11.0000","11.0000","11.0000","13.1766","11.0000","21.3438","26.7927","26.1752","14.1211","28.9550","11.0000","11.8563","11.8409","17.1146","11.0000","11.0321","26.1914","16.9051","25.3317","27.9822","24.2186","20.4400","21.1372","67.2648","80.2573","23.4808","35.8199","20.7395","29.3830","24.9755","32.3463"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 7A_8.OKA","5/17/2022 1:54:44 PM"," 7-A","PM01","yiaG R1","E. coli","E. coli","",1.2500,"16.0507","42.0913","39.9574","11.0000","11.0000","15.8586","11.0000","11.0000","11.0637","25.0709","50.8084","28.0074","47.3170","40.6739","39.6374","31.4770","14.8828","24.3557","25.3092","58.1592","21.8155","11.0000","42.5293","24.5904","33.1157","11.0000","13.4271","66.8903","11.0000","11.0000","26.3564","11.0000","30.8518","16.0309","16.0307","36.8270","21.1406","12.0349","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","44.9641","23.0292","11.0000","24.5070","27.2201","11.0000","11.0000","11.0000","11.0000","11.0000","55.3360","13.5309","23.7756","23.7441","12.4101","11.0000","11.0000","12.2619","11.0000","11.0000","11.0000","13.0923","11.0000","18.9599","31.9790","24.7179","15.3246","29.5537","11.4896","19.7372","16.1872","11.5526","12.3826","14.3740","31.7914","19.3165","28.5878","31.3323","22.7845","21.2622","20.3712","87.1715","78.7398","23.5240","46.9430","21.4609","36.9529","25.4916","28.0234"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 7A_8.OKA","5/17/2022 1:54:44 PM"," 7-A","PM01","yiaG R1","E. coli","E. coli","",1.5000,"15.5916","45.6049","49.5201","11.0000","11.0000","21.4029","11.0000","11.0000","13.3750","31.8675","57.4903","40.0777","57.5376","45.7204","43.6417","38.1786","25.4711","33.2296","35.9943","68.9688","29.5321","11.0000","50.6402","26.1400","41.5728","15.3217","11.0000","73.0116","11.0000","11.0000","33.4596","11.0000","35.8473","23.6728","15.6907","39.9872","23.9128","11.0000","12.6592","11.0000","11.0000","11.6915","11.0000","11.0000","11.0000","11.0968","11.0000","51.0600","25.4417","11.0000","33.4544","38.6324","15.0250","11.0000","11.0000","11.0000","11.0000","63.3476","15.2769","25.8698","21.5142","17.1321","11.0000","11.0000","12.1928","11.4203","11.0000","11.0000","13.4178","11.0000","22.5838","40.0707","24.6076","14.2453","40.7191","16.2059","16.7215","11.7476","12.0988","11.3866","11.0000","38.2340","17.5182","34.2766","27.9782","22.9704","21.2964","22.7310","90.4493","75.5387","20.6770","52.6954","24.5894","37.9105","20.9648","30.5417"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 7A_8.OKA","5/17/2022 1:54:44 PM"," 7-A","PM01","yiaG R1","E. coli","E. coli","",1.7500,"16.3294","49.0511","55.5708","11.0000","11.0000","32.2275","11.0000","11.0000","11.0000","41.3069","64.9388","42.1387","64.6739","53.8646","53.1815","48.4788","32.7179","31.0355","43.9291","73.9058","37.9926","11.0000","55.3273","23.3452","47.7408","19.0237","11.2192","80.3468","12.1378","11.0000","40.4320","11.0000","43.3668","36.4829","14.3078","46.2378","20.1141","11.0000","14.6059","11.0000","11.0000","11.0000","11.0000","14.2789","12.0018","11.0000","13.5550","59.7410","21.5999","13.1043","37.9801","44.5891","19.0417","11.0000","11.0000","11.0000","11.0000","72.2384","13.5462","29.9713","23.7195","14.6237","11.0000","11.0000","11.5670","11.0000","11.0000","11.1899","11.0000","11.0000","20.7741","42.3643","24.9115","15.5227","41.3009","16.6680","19.2712","11.0000","11.0000","11.0000","11.0000","48.5029","25.1056","31.8639","33.6880","25.3521","18.8262","21.7951","98.9890","75.0771","17.9329","63.0088","20.5734","45.6129","25.3409","29.3453"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 7A_8.OKA","5/17/2022 1:54:44 PM"," 7-A","PM01","yiaG R1","E. coli","E. coli","",2.0000,"20.3839","56.3244","59.4891","14.3887","18.3093","40.0976","11.0000","13.5559","11.0000","49.1032","71.4901","47.3452","58.7866","61.6156","64.2144","57.3659","33.1815","36.2846","52.6028","81.0022","45.6810","11.6014","61.1465","26.7396","51.1240","26.2891","14.0917","93.7506","16.9736","11.0000","50.1785","11.0000","45.9006","39.3079","21.0567","57.0096","23.0528","11.9691","11.0000","11.0000","12.8330","11.0000","11.0000","20.6713","11.0000","11.0000","11.0000","73.1035","22.8491","11.0000","48.6958","52.7938","24.2505","11.0000","11.0000","15.1345","12.6771","81.3799","14.1430","32.8884","23.5009","15.2382","13.0816","11.0000","16.1004","14.0197","11.0000","11.0000","14.5082","11.0000","27.2591","48.4380","26.9627","18.0948","51.1929","13.4774","25.8098","14.4311","14.7360","17.6210","15.3511","50.7990","23.3556","36.1970","32.0172","23.6016","22.1022","19.4545","107.0289","81.7144","30.8458","66.7430","29.8235","50.3458","24.7788","32.7179"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 7A_8.OKA","5/17/2022 1:54:44 PM"," 7-A","PM01","yiaG R1","E. coli","E. coli","",2.2500,"18.5326","61.9860","53.3913","11.0000","21.9032","47.4848","11.0000","11.0000","16.5012","59.3311","71.4050","53.2053","73.2151","71.8802","72.3020","63.6205","31.7270","32.1777","65.8202","84.1444","49.4842","11.6006","66.2169","26.5785","51.8551","28.3581","20.4028","96.6523","24.6501","11.0000","50.3103","11.9723","47.8460","41.5280","26.7174","67.9801","23.4807","11.2911","15.1022","11.0000","16.9153","16.0682","11.0000","29.5492","11.0000","11.0000","11.7995","83.8943","23.2675","14.7351","54.5922","60.4914","32.0509","13.3500","11.0000","19.6457","11.8150","92.7382","17.9119","40.2320","25.3304","19.8634","13.4288","11.0000","21.2232","13.1942","11.0000","13.5088","14.0751","11.0000","31.8296","54.5383","25.6716","18.4214","58.5086","12.2385","32.1109","23.8084","14.3145","18.4696","17.2920","55.7249","26.0868","39.4860","34.9086","28.9688","24.4481","19.1896","110.0214","76.8229","29.6975","71.2362","43.5894","49.1550","33.3905","33.4938"
