"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17A_28.OKA","5/17/2022 1:54:44 PM","17-A","PM03B","yiaG R1","E. coli","E. coli","",0.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5077","15.5380","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9397","15.9093","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9988","13.6524","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3234","15.9081","11.0000","11.0000","16.2551","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8928","16.1212","15.4385","11.0000","11.0000","27.7335","11.0000","63.5829","11.0000","11.0000","11.0000","11.9580","13.7470","15.5026","11.0000","11.0000","14.6607","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.0445","20.2695","17.5083","11.6150","11.0000","15.5787","11.4701","11.0000","32.1760","11.0000","11.0000","12.5256","23.5845","20.4409"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17A_28.OKA","5/17/2022 1:54:44 PM","17-A","PM03B","yiaG R1","E. coli","E. coli","",0.2500,"13.8580","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7915","18.9870","14.4805","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9971","17.5727","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8388","11.5999","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6936","12.9239","11.0000","11.0000","11.1931","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9425","13.2961","11.7056","11.0000","11.0000","22.7695","13.1226","65.5367","11.0000","11.0000","11.0000","16.7039","20.3445","18.9202","12.5765","14.4849","13.7457","11.6652","11.0000","11.0000","11.0000","11.0000","13.9943","18.2855","25.5794","22.1968","20.9073","15.1262","17.7632","15.6960","13.0403","28.6595","14.6821","16.6732","16.3502","24.6339","22.7777"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17A_28.OKA","5/17/2022 1:54:44 PM","17-A","PM03B","yiaG R1","E. coli","E. coli","",0.5000,"11.3210","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6972","17.1006","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1887","15.3380","18.7817","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4864","17.8981","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9731","16.3243","11.0000","11.0000","11.5451","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3798","18.2263","17.3605","14.5195","11.0000","11.0000","14.3607","15.7490","63.4194","11.0000","11.9776","13.5407","13.0878","22.7175","19.9316","14.5712","12.5380","16.7648","11.3493","11.0000","11.0000","11.0000","11.0000","11.5546","20.5369","22.2881","22.2634","14.5367","19.8148","15.5023","20.5705","11.2629","23.6073","13.8202","13.0290","15.9996","23.4173","24.9514"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17A_28.OKA","5/17/2022 1:54:44 PM","17-A","PM03B","yiaG R1","E. coli","E. coli","",0.7500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7802","15.6960","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6682","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2967","13.7054","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5019","13.7987","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9050","18.5586","11.7362","11.0000","11.0000","11.0000","14.5643","64.9114","11.0000","11.0000","13.8844","12.1338","19.2244","16.2063","11.0000","14.5143","11.0000","11.5044","11.0000","11.0000","11.0000","11.0000","11.1627","15.9981","21.0944","19.4339","14.9303","11.4700","13.8161","17.9860","14.2667","15.7683","13.7421","14.3992","15.9331","20.5919","23.7856"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17A_28.OKA","5/17/2022 1:54:44 PM","17-A","PM03B","yiaG R1","E. coli","E. coli","",1.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4191","17.0168","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8482","14.8236","24.7248","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5976","14.5565","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2871","17.9790","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6947","18.0797","17.6401","13.6015","11.0000","11.0000","11.0000","19.1583","63.6463","11.0000","11.9779","14.1503","17.3438","20.3480","21.7898","11.1314","15.1635","11.0000","11.0000","11.0000","11.0644","11.0000","11.0000","11.0000","14.6288","19.0779","20.7496","16.9845","16.8501","17.7370","18.2579","14.1629","11.0000","14.5829","17.0385","20.0606","21.6201","25.6375"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17A_28.OKA","5/17/2022 1:54:44 PM","17-A","PM03B","yiaG R1","E. coli","E. coli","",1.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2578","16.7308","14.7797","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1260","16.6087","18.0138","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2464","14.9626","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9135","16.0122","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3974","15.9840","18.7086","14.5254","11.0000","11.0000","11.0000","16.5106","65.9932","11.0000","11.0000","13.2466","11.6317","22.8923","20.3142","12.9147","11.8508","11.5548","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9304","22.8986","22.6185","18.6252","17.6754","13.7186","21.3827","11.0329","11.0000","14.3534","18.0173","18.7237","22.6456","20.1464"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17A_28.OKA","5/17/2022 1:54:44 PM","17-A","PM03B","yiaG R1","E. coli","E. coli","",1.5000,"12.3807","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.5636","17.2238","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3919","23.4241","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8608","16.3647","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3626","15.8764","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6019","15.0554","18.6127","14.8006","11.0000","11.0000","11.0000","16.9486","61.8602","11.0000","11.0000","14.0437","17.3241","20.8815","18.5000","11.0000","13.6958","12.3015","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5058","22.5578","18.9274","17.2985","18.8796","17.0413","15.6996","13.1273","11.0000","13.5734","18.3298","14.1153","19.0573","23.5209"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17A_28.OKA","5/17/2022 1:54:44 PM","17-A","PM03B","yiaG R1","E. coli","E. coli","",1.7500,"11.1605","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.2059","12.7375","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2952","20.3265","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6747","14.8971","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3609","15.7668","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3368","16.7793","18.6815","13.0844","11.0000","11.0000","11.0000","18.1135","64.9820","11.0000","11.0000","18.2207","16.5627","21.4228","17.8287","11.0000","11.0000","13.7037","11.0000","11.0000","11.0000","11.0000","11.0000","11.4221","21.0146","16.5810","27.2650","20.9411","18.4945","17.5154","16.8067","12.3808","11.0000","16.8551","15.5572","18.0210","21.4535","24.0026"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17A_28.OKA","5/17/2022 1:54:44 PM","17-A","PM03B","yiaG R1","E. coli","E. coli","",2.0000,"13.7864","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.8584","18.4941","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6943","18.7101","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2787","11.0000","11.0000","11.0000","18.0999","17.1513","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0934","14.8557","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4922","14.5537","16.5142","15.0470","11.0000","11.0000","11.0000","23.3677","67.1563","11.0000","11.0000","19.2933","14.6166","21.8516","22.0099","14.7445","11.0000","13.2492","13.2736","11.0000","11.0000","11.0000","11.0000","11.0000","16.4035","20.4611","34.4410","23.2068","18.0922","14.8750","19.1579","17.3902","11.0000","15.1303","17.7647","19.8200","18.2850","24.8762"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R1_E. coli_E. coli__3_37_SBR_709_5#17#2022_A_17A_28.OKA","5/17/2022 1:54:44 PM","17-A","PM03B","yiaG R1","E. coli","E. coli","",2.2500,"11.1282","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4434","16.5558","15.3720","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9455","16.3059","20.8442","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7599","11.0000","11.0000","11.0000","18.3004","17.4749","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.0808","15.6121","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5993","16.1772","19.4863","20.0540","11.3785","14.1719","11.0000","24.7784","62.4305","11.0000","11.3804","13.8857","17.9014","22.0836","21.4162","11.0000","11.0000","14.7481","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9834","22.1299","40.5830","27.7251","24.5470","17.6919","17.8071","15.5192","11.0000","26.0753","17.3613","15.2027","28.1887","28.3771"
