"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6B_7.OKA","5/17/2022 1:54:44 PM"," 6-B","PM02A","yiaG R2","E. coli","E. coli","",0.0000,"21.0714","13.4830","16.2746","13.3906","15.2809","11.0000","12.9277","17.7205","14.3292","18.0274","26.2243","44.9878","22.9116","11.0000","11.0000","11.0000","40.1546","11.0000","11.0000","11.0000","25.7324","11.0000","14.3135","23.4672","15.4070","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2324","13.6478","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5232","11.3298","11.9405","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.4369","12.5860","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.5573","11.0000","15.5636","14.7461","13.9116","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.1399","13.7455","13.1860","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","54.3073","11.0000","18.9827","19.4795"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6B_7.OKA","5/17/2022 1:54:44 PM"," 6-B","PM02A","yiaG R2","E. coli","E. coli","",0.2500,"26.3419","19.5516","11.8736","16.3852","16.4375","17.8102","14.3319","15.9985","18.1631","21.1684","17.7967","41.8074","21.8094","11.0660","11.0000","11.0000","45.8788","11.0000","11.0000","14.1165","29.0531","15.9441","12.8316","17.4676","16.3224","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.5598","19.8182","17.9764","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1491","15.9852","16.4195","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.9289","15.9436","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","34.1988","11.0000","11.0000","17.9722","15.5824","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3980","18.2182","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","54.7174","11.0000","15.7696","17.9537"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6B_7.OKA","5/17/2022 1:54:44 PM"," 6-B","PM02A","yiaG R2","E. coli","E. coli","",0.5000,"26.4800","19.3612","11.5176","12.4022","14.0204","14.7165","11.0000","13.7485","15.4025","20.0921","30.2279","58.2394","16.2136","11.0000","11.0000","11.0000","43.9540","11.0000","11.0000","11.0000","27.8748","13.6519","15.9496","22.6395","13.3563","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8267","20.4382","14.4426","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2214","16.5266","14.7292","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","39.1877","16.7161","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","33.6071","11.0000","15.3967","27.1408","16.5223","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","26.9574","14.7930","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","53.7329","11.0000","16.6067","24.4620"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6B_7.OKA","5/17/2022 1:54:44 PM"," 6-B","PM02A","yiaG R2","E. coli","E. coli","",0.7500,"28.5622","20.9826","16.2226","14.4905","15.3686","23.2249","11.0000","16.8931","18.5826","15.2797","18.5677","50.8418","15.8419","11.0000","11.0000","11.0000","43.8862","11.0000","11.0000","11.0000","29.1116","14.9867","12.3621","15.0029","15.0991","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.6463","15.1707","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2079","13.7173","15.8202","11.0000","11.0000","11.2246","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","35.9459","17.2627","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.5589","11.0000","11.1250","16.9406","15.8746","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3208","18.2276","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","47.6452","11.0000","15.0278","16.7645"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6B_7.OKA","5/17/2022 1:54:44 PM"," 6-B","PM02A","yiaG R2","E. coli","E. coli","",1.0000,"27.8372","16.8563","11.0000","11.5620","18.1290","33.8529","11.6318","16.1795","18.1763","16.9325","23.3184","72.2474","20.3877","17.3531","11.0000","11.0000","48.5319","11.0000","11.0000","11.0000","29.4580","11.0000","12.4856","17.5239","16.6229","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0011","14.4897","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.0297","16.4772","11.4753","11.0000","11.0000","18.5841","11.0000","11.0000","11.0000","11.0000","11.0000","11.3138","39.3394","18.8494","11.0000","11.5919","11.0000","11.0000","11.0000","11.0000","11.0000","30.9470","11.0000","12.2840","24.5842","13.1200","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.1320","15.8897","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","54.6342","11.0000","23.0856","20.7199"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6B_7.OKA","5/17/2022 1:54:44 PM"," 6-B","PM02A","yiaG R2","E. coli","E. coli","",1.2500,"27.7686","20.9374","14.1245","13.9165","14.4954","42.7994","11.0000","13.1561","13.4185","18.1394","25.7823","79.6282","22.5569","20.0978","11.0000","11.0000","44.1992","11.0000","11.0000","11.0000","29.2554","12.0727","14.8336","17.4772","15.8123","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.6530","17.1794","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4358","14.3120","11.0000","11.0000","11.0000","26.5749","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","37.5087","21.2613","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.9919","11.0000","11.7850","24.0910","15.1526","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5081","23.4083","17.2751","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","55.7368","11.0000","19.3660","24.7413"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6B_7.OKA","5/17/2022 1:54:44 PM"," 6-B","PM02A","yiaG R2","E. coli","E. coli","",1.5000,"24.7944","21.9922","15.0261","16.7190","14.8353","58.4057","14.1594","17.2551","16.3920","21.6884","27.8989","89.1202","17.5146","23.5512","11.0000","11.0000","42.0701","11.0000","11.0000","11.0000","27.5791","11.0000","16.0011","24.3705","17.6480","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1983","11.0000","12.3976","16.0329","17.7510","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8739","18.7389","11.0000","11.0000","11.0000","32.7053","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","40.9561","24.2493","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.7802","11.0000","13.1985","24.3223","12.9728","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.3100","17.5141","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","54.0580","11.0000","23.4540","28.4368"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6B_7.OKA","5/17/2022 1:54:44 PM"," 6-B","PM02A","yiaG R2","E. coli","E. coli","",1.7500,"24.7774","15.0900","16.4714","14.9859","15.7039","64.1409","14.7817","16.8293","17.6195","19.9598","27.7955","90.4778","19.9682","29.0520","12.2221","11.0000","46.2713","11.0000","11.0000","11.0000","31.6195","11.0633","16.4333","25.1281","15.8968","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4597","19.2220","21.3460","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0428","17.3689","16.8341","11.0000","11.0000","46.9191","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","41.2802","31.5072","11.0000","14.2107","11.0000","11.0000","11.0000","11.0000","11.0000","28.0101","11.0000","11.0000","25.0090","14.2457","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.3138","19.0118","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","56.1123","11.0000","19.6285","24.8431"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6B_7.OKA","5/17/2022 1:54:44 PM"," 6-B","PM02A","yiaG R2","E. coli","E. coli","",2.0000,"32.0421","17.5949","19.8663","22.1956","19.4476","78.2111","16.7692","21.2508","18.1684","22.5139","24.5236","86.6135","26.1651","41.4491","13.3829","11.7624","44.1787","12.3774","11.0000","11.9088","37.0115","11.6334","21.2947","21.4593","18.7935","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4964","14.3596","11.0000","14.8005","18.5893","19.3038","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.6718","22.9984","13.0434","11.0000","11.0000","53.4425","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","37.3342","43.8765","11.0000","12.1238","11.0000","11.0000","11.0000","11.0000","11.0000","27.4483","17.2453","11.0000","20.9135","17.3858","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9817","22.7277","20.9491","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","52.7146","11.0000","17.4475","23.9815"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yiaG R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 6B_7.OKA","5/17/2022 1:54:44 PM"," 6-B","PM02A","yiaG R2","E. coli","E. coli","",2.2500,"27.0606","19.2496","13.1332","21.7037","20.5387","86.6643","17.6229","24.8852","17.8488","28.0000","29.3736","96.5519","21.8051","42.9771","11.0000","11.0000","45.4805","11.0000","11.0000","11.0627","31.6625","12.7641","17.3644","17.4801","17.6232","11.0000","14.0569","11.0000","11.0000","11.0000","11.0000","11.0000","16.6818","13.2103","13.7591","17.5027","18.4309","11.0000","11.3796","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.8750","25.2811","13.8579","11.0000","11.0000","59.1265","11.0000","11.0000","11.0000","11.0000","11.0000","12.3834","48.9061","47.4953","11.0000","12.1205","11.0000","11.0000","11.0000","11.0000","11.0000","31.2994","13.8977","15.5279","27.3168","15.2129","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.2301","18.7679","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","57.0936","11.0000","20.2213","26.7430"
