"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5A_4.OKA","5/17/2022 1:54:44 PM"," 5-A","PM01","yidZ R1","E. coli","E. coli","",0.0000,"11.0000","35.4152","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.3858","14.1180","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","34.6128","11.0000","11.0000","11.0000","14.3338","11.3107","11.0000","11.0000","51.3972","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.5483","48.4728","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3890","15.0129","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7025","24.3090","11.1563","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9889","19.9673","19.0047","11.7122","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1781","23.1900","26.6389","18.5737","13.5593","16.8644","19.5251","75.0776","16.9537","11.0000","12.9955","18.4009","19.6878","37.8555"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5A_4.OKA","5/17/2022 1:54:44 PM"," 5-A","PM01","yidZ R1","E. coli","E. coli","",0.2500,"11.0000","36.7256","16.6893","11.0000","11.0000","11.0000","11.0000","12.2594","11.0000","11.0000","15.0461","20.5844","18.1805","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","32.6053","11.0000","11.2846","11.7866","17.3235","14.5245","11.0000","11.6868","57.3423","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.2998","44.9722","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4386","16.7815","16.3933","11.1594","11.0000","11.1931","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1907","21.2724","23.1096","12.4754","11.0000","11.0000","11.0000","11.5467","11.0000","11.0000","11.0000","11.0000","19.5244","20.4409","19.0153","13.8903","11.9119","11.0000","11.9819","14.7477","12.5529","11.0000","13.7834","13.1481","17.1647","26.6785","30.0441","23.0653","15.9248","16.8700","19.0822","70.7271","18.9679","18.1686","14.1481","21.0112","22.3181","48.5333"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5A_4.OKA","5/17/2022 1:54:44 PM"," 5-A","PM01","yidZ R1","E. coli","E. coli","",0.5000,"11.0000","37.4369","17.7411","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8699","18.0838","13.7673","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","36.5322","11.0000","11.0000","12.1323","17.7070","14.8751","11.0000","11.0000","52.6073","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1368","48.1438","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7300","11.0945","11.0000","11.0000","11.3848","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0317","20.8340","31.1728","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9776","11.0000","13.4991","16.0904","19.1052","12.0156","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4894","14.5067","22.5145","27.9910","15.5614","18.0253","16.2367","20.9508","73.6392","20.1216","13.9842","11.0000","21.7229","18.8425","50.6481"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5A_4.OKA","5/17/2022 1:54:44 PM"," 5-A","PM01","yidZ R1","E. coli","E. coli","",0.7500,"12.4130","39.5564","20.1736","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3488","21.7820","14.3723","11.0000","11.0000","12.1274","11.0000","11.0000","11.0000","33.4269","11.0000","11.0000","12.1072","14.6932","18.0686","11.0000","11.0000","57.5136","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8736","42.9615","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.5323","14.4591","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.2305","11.0000","16.7471","28.7096","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6769","17.5859","17.0368","11.0000","11.0000","11.0000","11.1576","11.0000","11.0000","11.0000","11.0000","11.8134","11.0000","24.2974","26.5531","18.8276","12.1414","14.6801","18.1447","72.7736","15.8663","20.1078","12.8957","21.0963","17.1756","53.6942"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5A_4.OKA","5/17/2022 1:54:44 PM"," 5-A","PM01","yidZ R1","E. coli","E. coli","",1.0000,"11.0000","39.0153","25.6432","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","31.9947","21.6227","21.9368","17.9403","18.1860","13.7802","11.0000","11.0000","11.0000","42.2694","11.0000","11.0000","23.4094","18.7088","28.0936","11.0000","11.0000","58.3278","11.0000","11.0000","11.0000","11.0000","15.7813","11.0000","11.0000","23.2802","47.9063","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","28.7365","15.8509","11.0000","11.0000","12.0931","11.0000","11.0000","11.0000","11.0000","11.0000","32.6810","11.0000","22.9039","28.9253","11.0000","11.0000","11.0000","11.6892","11.0000","11.0000","11.0000","11.9148","11.0000","21.2500","24.4637","23.9983","14.5811","16.0417","11.0000","11.0000","14.7516","12.0620","11.0000","11.0000","14.9686","18.3566","22.9214","34.0677","17.9710","15.1217","15.3218","29.8391","77.9096","18.9186","23.3122","17.7852","23.8877","21.1315","57.9619"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5A_4.OKA","5/17/2022 1:54:44 PM"," 5-A","PM01","yidZ R1","E. coli","E. coli","",1.2500,"11.0000","36.3774","35.4181","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","39.2369","20.5821","27.9458","25.7423","27.2889","18.8082","11.0000","11.7402","16.3057","47.7879","11.0000","11.0000","28.0718","18.6735","23.2268","11.0000","11.0000","63.9554","11.0000","11.0000","13.5701","11.0000","22.3935","11.0000","12.2891","27.5367","46.5077","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","30.2267","18.9255","11.0000","12.3193","14.0192","11.0000","11.0000","11.0000","11.0000","11.0000","41.5577","11.9491","17.8767","21.0399","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3698","25.6024","17.9698","11.0000","18.1990","11.0000","12.8925","11.6122","11.0000","11.0000","11.0000","19.3231","17.5014","25.3693","30.5344","15.4893","16.0481","11.0000","52.1849","69.3114","16.0358","27.7018","20.1939","26.8401","17.8042","53.4447"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5A_4.OKA","5/17/2022 1:54:44 PM"," 5-A","PM01","yidZ R1","E. coli","E. coli","",1.5000,"11.0000","43.8539","46.5882","11.0000","11.0000","12.4861","11.0000","11.0000","11.0000","15.7688","47.3412","25.0174","41.1494","33.9148","34.5258","29.3920","14.8268","22.0344","30.6682","59.8769","19.8218","11.0000","35.3504","20.2814","36.0685","11.0000","11.0000","68.8838","11.0000","11.0000","23.6736","11.0000","27.3011","16.1074","13.5500","31.9542","49.5201","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","43.1221","20.1589","11.0000","18.2859","23.7263","11.0000","11.0000","11.0000","11.0000","11.0000","54.1796","11.1267","20.0539","20.5159","11.1278","11.0000","11.0000","12.9461","11.0000","11.0000","11.0000","11.0000","12.4097","26.9982","33.5043","22.6456","11.0000","32.6641","13.6030","15.1409","13.3402","11.0000","11.3221","11.0000","31.5148","16.8269","32.3128","33.5306","19.9696","20.0052","17.7765","66.7606","75.1460","18.8072","40.5777","20.5677","25.5158","21.4910","60.1131"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5A_4.OKA","5/17/2022 1:54:44 PM"," 5-A","PM01","yidZ R1","E. coli","E. coli","",1.7500,"13.9536","41.4664","50.3860","11.0000","11.0000","20.0837","11.0000","11.0000","11.0000","24.5230","50.0624","27.2742","45.2136","40.4219","37.9450","35.9022","20.4552","24.9632","38.0294","65.3378","31.3313","11.0000","42.0953","18.1731","39.0423","11.0000","11.0000","74.4856","11.0000","11.0000","26.4534","11.0000","34.3357","24.5783","12.5751","38.2137","44.9422","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","46.7869","20.1573","11.0000","24.6783","32.7701","11.0000","11.0000","11.0000","11.0000","11.0000","62.2626","11.8594","22.8099","22.3201","11.0000","11.0000","11.0000","11.4095","11.0000","11.0000","12.1396","11.0000","11.0000","33.1881","33.2523","18.9721","11.5612","29.6593","11.0000","13.4402","11.0000","11.0000","11.0000","11.0000","32.9822","20.3601","28.2622","33.6241","19.6903","19.0251","17.5473","75.4132","75.7018","20.0586","43.6445","14.5736","33.2441","24.3282","61.8841"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5A_4.OKA","5/17/2022 1:54:44 PM"," 5-A","PM01","yidZ R1","E. coli","E. coli","",2.0000,"13.4981","48.6908","53.3810","11.0000","11.0000","23.2074","11.0000","11.0000","11.0000","30.8047","58.5571","34.9744","64.3367","44.7332","49.4102","46.9553","24.3670","31.7695","48.9310","69.3979","37.0108","11.0000","46.1750","22.5976","41.2425","18.4371","11.0000","80.6664","11.0325","11.0000","33.3785","11.0000","37.0087","27.7880","13.3960","47.6465","46.9397","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","59.9935","20.4040","11.0000","32.7548","41.7515","16.8645","11.0000","11.0000","11.0000","11.0000","72.8985","12.6191","27.1333","17.8301","12.6570","12.1039","11.0000","13.7076","11.2570","11.0000","11.0000","13.1808","11.0000","35.5301","41.1930","26.5842","16.4854","38.9674","11.0000","16.6839","12.5861","12.2020","15.8533","13.2395","36.3829","16.9307","26.6059","34.5367","22.8449","18.4236","16.6364","90.7132","76.1351","21.0700","56.7262","19.4967","45.8538","19.1091","59.7927"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\yidZ R1_E. coli_E. coli__1_37_SBR_709_5#17#2022_A_ 5A_4.OKA","5/17/2022 1:54:44 PM"," 5-A","PM01","yidZ R1","E. coli","E. coli","",2.2500,"15.3593","54.4478","61.9317","11.0000","11.0000","29.9205","11.0000","11.0000","11.0000","39.7556","68.3926","40.2828","56.0729","54.5173","60.2099","48.3537","30.7965","35.5198","56.6835","75.6356","42.6019","11.0000","50.6162","21.0875","51.4148","18.4392","11.0000","90.1294","15.0529","11.0000","33.5593","11.0000","44.8602","32.0219","17.0161","54.3074","48.8800","11.0000","12.9728","11.0000","11.9051","11.0000","11.0000","16.7751","11.0000","11.0000","11.0000","65.7637","18.6868","11.0000","40.8147","44.9406","25.6661","11.0000","11.0000","11.0000","11.0000","76.9096","11.7007","28.8675","22.7814","14.2086","11.9463","11.0000","13.4536","11.0000","11.0000","12.2068","12.5217","11.0000","40.3936","43.7732","20.9081","12.7811","48.1977","12.8903","21.9979","15.0329","11.0000","15.0714","13.3114","44.5193","19.4657","35.9696","31.7846","22.1610","23.0967","18.4886","96.6298","71.3868","26.0300","57.6879","20.4604","35.7528","27.1871","61.7477"
