"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",0.0000,"14.7008","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.3786","22.0716","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8425","16.0326","14.2313","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8184","14.8955","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4957","19.8140","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1523","20.5599","11.6921","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9127","25.2006","18.7870","15.0225","11.0000","11.6083","11.0000","11.0000","11.0000","11.0000","11.0000","12.2712","11.0000","29.6996","21.4685","18.7168","13.4481","16.6521","12.9999","12.6567","17.2381","16.6287","11.2363","14.9358","19.2358","22.7664"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",0.2500,"11.3470","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9488","17.8563","14.4445","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6929","18.6503","12.7028","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5505","12.6340","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3510","18.1669","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.8591","16.4208","13.8994","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.9734","20.0326","16.7865","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1695","31.0183","25.2093","21.2177","14.0693","15.6419","15.2816","15.2305","15.5939","13.0738","11.0000","16.9010","19.8923","21.7986"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",0.5000,"16.0782","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4803","13.7153","22.7354","17.2338","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6358","20.0168","15.4340","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1895","11.0000","13.7365","25.8173","14.6059","11.0000","14.7234","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7442","21.5136","11.0000","11.0000","11.0000","11.0000","11.0000","12.1604","11.0000","11.0000","11.0000","11.0000","23.0429","19.2727","16.1989","11.0000","11.0000","12.0659","11.0000","11.0000","11.0000","11.0000","11.0000","15.3909","25.1443","22.3000","14.1562","15.5137","11.0000","11.5081","11.0000","14.2586","11.0000","12.9148","13.3446","14.5340","38.1738","25.5214","23.4160","19.9214","20.6250","21.6028","23.0188","17.8401","16.7854","19.2319","22.9824","26.6694","27.4218"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",0.7500,"12.5856","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9176","20.5658","18.9302","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2836","23.7377","17.8766","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4582","14.6481","24.3412","15.4006","11.0000","15.9704","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","26.2291","20.3738","11.0000","11.0000","11.0000","11.0000","11.0000","22.2347","11.0000","11.0000","11.0000","12.3078","21.2220","18.2156","16.7717","11.5359","11.0000","11.0000","11.8033","11.0000","11.0000","12.5586","11.0000","17.9688","25.0963","24.8152","17.1666","11.0000","12.9659","11.0000","12.4546","11.0000","11.0000","11.2580","11.0000","16.4768","40.3103","27.3683","23.6423","21.2430","21.2097","18.9332","16.2607","15.0331","18.7067","14.6784","18.4295","20.1022","27.9987"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",1.0000,"14.6295","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2188","20.3464","15.0041","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1622","23.0036","12.6380","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0366","21.1368","14.8042","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1339","20.6408","18.0985","13.3373","11.0000","11.0000","11.0000","11.0000","18.5893","11.0000","11.0000","11.0000","11.0635","23.1833","17.6607","14.2596","11.2211","11.0000","11.5022","11.0000","11.0000","11.0000","12.0160","11.0000","15.9148","23.4490","20.5645","14.7442","11.0000","12.9222","12.9414","11.0000","11.0000","11.0000","11.0000","11.0000","18.8227","37.5117","27.2245","17.9558","15.6301","19.7224","19.7962","18.9814","14.4922","17.6025","15.5001","20.4612","20.7311","27.1445"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",1.2500,"13.5758","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2601","20.5644","20.2214","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.6469","18.1708","15.0518","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4489","20.8982","16.5605","11.0000","11.1577","11.0000","11.0000","11.0000","11.0000","11.0000","11.2820","11.0000","12.4811","22.7098","19.5719","11.0000","11.0000","11.0000","11.0000","11.0000","21.7937","11.0000","11.0000","11.0000","12.3995","21.8513","19.2606","11.0000","11.0000","13.1279","11.0000","11.4194","11.0000","11.0000","16.5875","11.0000","16.3050","26.7396","19.4035","12.6789","11.4884","13.8290","11.2548","11.0000","11.0000","11.0000","14.2017","13.7896","11.4671","45.1598","26.4168","26.0605","20.0404","20.5477","14.3867","15.9869","16.5428","15.1795","13.8272","19.5595","22.8938","27.6711"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",1.5000,"15.9116","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7170","21.7536","18.1262","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0147","20.2337","17.0827","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3680","16.1338","22.3839","17.4037","11.0000","12.0380","11.0000","11.0000","11.0000","11.0000","12.2264","11.0000","11.0000","12.5045","24.9071","19.9729","11.0000","11.0000","11.0000","11.3790","11.0000","24.6353","11.0000","12.7799","12.0283","12.4918","24.0726","19.5449","14.5344","11.0000","12.2960","12.2833","11.2583","11.0000","11.0000","12.4966","11.0000","16.1042","29.1075","24.9506","14.0888","11.0000","13.3213","14.4872","11.0000","11.0000","11.0000","11.0000","13.5661","18.4890","43.7097","27.7280","21.1528","16.8425","17.6846","16.6925","17.0551","12.2377","11.6871","17.7196","24.3734","28.8629","26.9427"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",1.7500,"12.5417","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.4957","24.9289","17.7266","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5940","19.5473","22.2005","17.8487","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8605","13.9077","23.9809","16.4616","11.0000","15.0658","11.0000","11.0000","11.0000","11.0000","11.1895","11.0000","11.0000","11.1288","26.1014","20.2956","11.0000","11.0000","11.0000","11.0000","11.0000","29.5536","11.0000","11.0000","13.0200","15.6361","24.6458","20.1809","14.5787","13.8369","11.0000","11.0000","11.0000","11.0000","11.0000","12.5913","11.0000","17.3061","28.1250","31.1253","11.0000","14.3735","14.2458","13.8875","11.0000","12.5603","13.8903","11.5806","13.3667","18.5752","44.5177","21.8983","21.7237","18.7376","19.7153","17.1704","13.0086","17.0887","13.8765","18.9506","22.9760","20.2656","26.7455"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",2.0000,"13.5154","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2421","22.8287","19.5382","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9073","21.6242","24.0812","13.4079","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1454","14.3319","24.1142","19.7487","11.0000","16.4701","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.6139","24.5378","20.1388","11.0000","11.0000","11.0000","11.0000","11.0000","29.4922","11.6645","11.0000","11.0000","20.6757","23.5865","21.2165","13.9521","13.8712","11.0000","11.0000","11.0000","11.0000","14.2089","13.4869","11.0000","16.2699","31.1185","33.8280","19.5386","11.0000","16.4408","16.5367","16.7651","11.5200","11.0000","11.2584","14.5078","20.9761","48.1701","23.6482","23.9839","18.0391","23.1819","21.6503","17.2297","19.3084","14.6579","17.7724","21.5250","27.3901","31.8267"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",2.2500,"12.1298","12.2387","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4048","25.5830","15.0671","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0832","21.5260","25.3238","17.0210","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1582","19.3296","24.2589","19.5675","11.0000","13.7493","11.0000","11.0000","11.0000","11.0000","16.7776","11.5338","11.0000","18.3469","28.7583","20.0078","14.5451","12.1262","11.0000","11.0000","11.0000","35.1561","11.0000","11.0000","11.0000","24.0086","30.1226","17.9554","16.0462","11.0000","12.6507","11.4091","11.2247","11.0000","13.0062","12.1791","11.0000","18.7381","33.0883","32.2133","16.6886","15.5168","15.1885","13.3063","24.0550","14.2332","13.4359","12.7671","18.1439","15.2852","51.2998","24.9914","25.0168","17.4047","21.1373","18.9638","17.5861","15.5303","17.8239","23.7307","21.5668","27.2959","31.2658"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",2.5000,"15.4933","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9517","11.0000","14.2066","23.1376","18.7273","11.4433","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","26.1516","24.9801","19.1876","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.6732","27.4893","20.2071","11.0000","15.9078","11.0000","11.0000","11.0000","11.0000","15.5267","11.5658","12.1316","21.6282","28.1083","23.5670","11.8299","13.3067","11.0000","11.0000","11.0000","30.3634","11.0000","11.0000","11.0000","30.1925","31.1316","18.2358","11.0000","11.6012","15.9962","11.0000","11.2256","11.0000","12.9428","15.4627","11.0000","16.6133","30.7178","38.3906","16.6464","14.8654","17.8973","15.9900","29.0830","13.7413","11.0000","13.5256","13.6259","20.6524","52.6470","22.4178","20.5093","17.6005","21.8600","21.9007","17.1991","15.3727","15.0601","17.8227","24.4083","27.5014","27.4596"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",2.7500,"15.6714","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.6536","23.7337","17.7206","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5858","26.2819","25.2532","17.2152","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2544","25.8575","25.9227","20.3568","11.0000","14.6537","11.0000","11.0000","12.0046","11.0000","14.9361","11.0000","11.0000","25.0557","25.5006","19.6473","11.2556","11.0000","11.0000","11.4447","11.0000","34.5154","11.0000","11.0000","11.0000","32.9981","26.1124","17.6230","17.3010","11.8204","15.5439","16.7182","11.0000","11.0000","12.0894","12.9009","11.0000","15.8764","35.0806","37.3537","17.0738","11.0000","13.4844","12.7113","28.9618","11.0000","11.9030","11.7083","14.9487","17.1719","50.8044","25.1870","21.8469","19.9488","22.0410","21.5839","13.1992","14.3678","16.1134","15.7554","21.8068","27.6776","28.0635"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",3.0000,"18.3576","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.6441","23.5389","20.2254","12.1676","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3165","31.3551","22.8167","18.0812","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8260","34.8509","26.8630","19.4366","11.0000","16.5280","11.0000","11.0000","11.0000","11.0000","21.3376","11.0000","11.0000","24.2722","29.4648","20.2193","11.0000","11.6571","11.1280","12.2380","11.0000","31.6451","11.0000","11.0000","11.0000","39.9347","29.5205","20.9475","16.8903","11.3472","14.0371","11.5027","11.1611","12.0918","12.4755","13.0312","11.0000","21.0706","33.1384","35.1780","16.5873","11.0000","11.3278","16.5256","38.6224","11.0000","14.2462","16.6850","16.6995","18.2421","54.6244","22.9882","19.8824","17.4995","22.8232","18.9741","17.8632","14.8973","11.6230","18.6412","24.6504","23.3987","33.3853"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_10A_10.OKA","5/10/2022 1:15:07 PM","10-A","PM05","yidZ R1","E.Coli","E.Coli","",3.2500,"16.9221","12.2115","12.0328","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1665","27.2649","22.9630","13.9838","11.0000","11.0000","11.0000","11.0000","11.2868","11.0000","11.0000","11.0000","36.8846","26.3722","18.1922","14.0060","11.5018","11.0000","11.0000","11.9179","11.0000","11.0000","11.0000","12.9732","38.3918","25.8118","16.8857","11.0000","17.1003","11.0000","11.0000","12.6999","11.0000","21.0672","11.0000","11.0000","36.1036","30.8436","19.5120","16.0347","11.8782","11.0000","11.9226","12.4558","35.6636","12.9978","11.3465","11.0000","49.6855","31.3612","26.0570","20.1880","13.9426","18.5210","18.4255","13.7002","11.0000","16.9125","15.9437","12.9216","19.7050","33.4037","31.2274","18.9556","16.9463","17.3101","20.9565","41.2925","13.1139","11.0000","16.2893","13.4213","19.3088","52.1018","29.7038","25.0824","20.8853","23.7119","22.2425","15.2431","19.7380","18.7279","22.3912","24.9377","26.7954","31.7647"
