"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 9A_8.OKA","5/10/2022 1:15:07 PM"," 9-A","PM07","yidZ R1","E.Coli","E.Coli","",0.0000,"11.1983","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.5869","15.7633","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4213","13.4844","11.6854","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1393","14.9921","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3051","19.9748","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7943","18.5710","11.8240","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6241","20.4780","20.4627","17.6929","20.2081","11.0000","13.7676","11.0000","11.0000","11.0000","11.0000","12.8733","12.2357","26.4055","22.8598","21.4703","13.5860","13.5782","15.3277","12.9272","16.8672","17.3658","13.9031","19.8217","21.9922","26.1858"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 9A_8.OKA","5/10/2022 1:15:07 PM"," 9-A","PM07","yidZ R1","E.Coli","E.Coli","",0.2500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8703","15.7630","15.9208","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1541","15.9289","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6902","11.3083","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9780","17.5825","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8804","16.8496","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.8194","19.3762","20.4265","11.0000","13.2888","11.0000","16.0861","11.0000","11.0000","11.0000","11.0000","12.5053","11.0648","21.2479","22.4983","19.0971","12.1755","17.2619","16.3676","11.0000","16.4872","11.7976","13.4635","19.9643","20.6948","21.9579"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 9A_8.OKA","5/10/2022 1:15:07 PM"," 9-A","PM07","yidZ R1","E.Coli","E.Coli","",0.5000,"13.3315","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4104","17.4375","13.9910","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8479","11.0000","11.0000","11.0000","17.4450","16.1887","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2831","22.4455","16.3932","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8493","11.0000","11.0000","20.1873","18.6263","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4401","21.7702","12.8180","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0109","20.1635","25.2120","15.1425","22.3329","11.0000","15.1919","11.0000","11.5485","11.0000","14.8297","12.9539","15.7230","27.1942","24.7200","24.1714","17.0919","17.4061","19.1974","19.7793","14.1595","15.2903","15.1973","22.0356","24.0578","28.6478"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 9A_8.OKA","5/10/2022 1:15:07 PM"," 9-A","PM07","yidZ R1","E.Coli","E.Coli","",0.7500,"12.3591","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7761","14.1344","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5708","11.0000","11.0000","11.0000","19.1731","17.0916","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9184","20.3481","14.4576","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.7526","17.6686","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.7391","16.7725","11.3827","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7849","20.8770","19.8925","16.3793","20.1788","11.0000","18.7781","11.0000","11.0000","11.0000","11.0000","11.0000","11.8298","25.5252","26.2174","20.9427","14.1029","16.5049","15.6648","11.0000","16.3015","17.0229","17.3802","16.3162","22.8724","24.3076"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 9A_8.OKA","5/10/2022 1:15:07 PM"," 9-A","PM07","yidZ R1","E.Coli","E.Coli","",1.0000,"14.9507","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6297","20.1922","15.9499","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.7357","11.0000","11.0000","13.7700","22.2013","15.4730","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4398","18.2139","14.0811","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9229","11.0000","11.0000","17.7578","17.8472","11.0000","11.8442","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4616","20.3815","17.8483","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.4107","19.7592","22.5664","12.2809","16.5887","11.0000","18.4790","11.0000","11.0000","11.0000","11.0000","11.0000","16.5122","22.9709","26.0428","21.1687","17.5287","18.2207","19.0051","14.5509","14.0026","17.0496","18.2067","19.6071","20.1043","30.3927"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 9A_8.OKA","5/10/2022 1:15:07 PM"," 9-A","PM07","yidZ R1","E.Coli","E.Coli","",1.2500,"13.8333","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.8984","17.9945","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.2512","11.0000","11.0000","11.1581","19.7539","12.1396","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8485","20.1845","17.6226","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7630","11.0000","11.0000","19.2310","20.2021","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8767","21.7855","11.0000","11.0000","12.0962","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8102","22.0464","19.8189","12.9752","23.7949","16.2678","19.5051","11.0000","11.0000","11.0000","11.0000","15.6062","11.0000","28.1444","23.6080","23.2121","18.5171","19.1474","14.4187","11.0000","13.9670","12.2734","11.0000","17.1470","21.0590","27.7356"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 9A_8.OKA","5/10/2022 1:15:07 PM"," 9-A","PM07","yidZ R1","E.Coli","E.Coli","",1.5000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7987","17.9637","18.8483","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.4728","11.0000","11.0000","11.0000","20.5436","17.4609","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.2425","14.9239","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8386","11.0000","11.0000","20.6731","18.0839","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1242","11.0000","12.2061","18.3710","22.6011","11.0000","11.0000","11.0000","12.5650","11.0000","11.0000","11.0000","11.0000","11.0000","15.0329","23.6975","19.2941","15.2060","18.2145","11.0000","19.7181","11.0000","11.0000","11.0000","11.0000","15.3202","18.5547","25.4298","23.9929","21.2847","15.0397","16.3093","18.1872","13.7166","14.4201","12.4723","16.6758","21.1940","26.6178","29.0405"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 9A_8.OKA","5/10/2022 1:15:07 PM"," 9-A","PM07","yidZ R1","E.Coli","E.Coli","",1.7500,"14.5973","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.1616","16.1864","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.5696","11.0000","14.2583","12.9870","22.1079","15.9866","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.3538","15.8966","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2399","11.0000","11.0000","20.7279","26.4927","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1543","12.5560","18.3888","23.1064","14.7384","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.1169","23.7879","22.2158","14.4445","18.5659","11.0000","22.7721","11.0000","12.1378","11.0000","11.3871","12.5886","19.5962","27.0133","22.9592","23.8289","16.3696","19.1065","21.7587","11.0000","15.7466","12.9939","16.9956","24.7055","22.0727","28.1035"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 9A_8.OKA","5/10/2022 1:15:07 PM"," 9-A","PM07","yidZ R1","E.Coli","E.Coli","",2.0000,"16.9659","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.4733","19.9447","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.4334","11.0000","12.9277","13.3889","22.4731","15.8159","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9430","18.2719","19.9049","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9562","11.0000","11.0000","21.3160","27.2362","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2841","19.1275","21.3727","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2068","24.3806","22.4299","20.2256","17.2968","12.1077","27.1989","11.2267","13.3400","11.0000","11.0000","13.0462","20.2541","28.0983","22.9420","23.5875","17.0430","22.5776","19.4697","11.4590","19.7320","15.4417","19.6934","22.5742","24.3210","27.2236"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yidZ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 9A_8.OKA","5/10/2022 1:15:07 PM"," 9-A","PM07","yidZ R1","E.Coli","E.Coli","",2.2500,"14.1635","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9004","18.9991","14.7519","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.6598","11.0000","11.5697","13.6394","23.4139","15.0035","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7191","17.7852","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.2177","11.0000","11.0000","25.6191","29.3295","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6672","11.0000","21.8330","17.7048","12.9802","11.0000","12.1975","11.0000","14.7875","11.0000","11.0000","11.9879","12.0861","20.1792","24.5143","20.2190","16.5242","21.2684","11.0000","25.5647","12.0017","13.1986","12.0256","11.0000","14.3122","17.5773","30.9405","27.7004","24.3274","18.8648","18.1407","19.5032","15.4016","16.1169","13.3721","24.4380","19.5650","25.3038","31.1044"
