"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5A_0.OKA","5/10/2022 1:15:07 PM"," 5-A","PM07","yneJ R1","E.Coli","E.Coli","",0.0000,"15.9234","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.0840","22.8762","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9941","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4655","15.6360","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1155","15.8252","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.1432","16.6141","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8549","18.4584","13.9070","17.8296","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.0800","20.4084","17.3910","11.0000","12.8510","11.0000","11.0000","11.9779","13.5128","15.8272","13.3072","19.3030","23.3363"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5A_0.OKA","5/10/2022 1:15:07 PM"," 5-A","PM07","yneJ R1","E.Coli","E.Coli","",0.2500,"11.7886","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6394","16.1668","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2462","16.2010","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7469","13.2506","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0719","16.3213","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8399","18.1359","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6489","18.8449","18.9643","13.1001","27.0213","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.6552","19.4020","22.4983","18.3581","14.7223","17.0750","15.1886","11.0000","11.5742","11.0000","11.0000","15.9336","16.9710","21.4801"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5A_0.OKA","5/10/2022 1:15:07 PM"," 5-A","PM07","yneJ R1","E.Coli","E.Coli","",0.5000,"18.4096","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9156","18.2692","21.5156","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7859","13.7044","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7751","15.9856","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.7543","20.0385","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3770","19.5225","13.0413","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8638","23.9949","21.7302","12.5452","36.3285","12.3393","11.2541","11.0000","11.4194","11.0000","11.0000","12.7259","15.3266","24.2792","22.6043","24.2043","14.3289","19.2546","14.2916","14.5311","13.8989","13.6002","13.6030","23.5375","23.2744","28.0994"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5A_0.OKA","5/10/2022 1:15:07 PM"," 5-A","PM07","yneJ R1","E.Coli","E.Coli","",0.7500,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5669","21.1556","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0142","12.5072","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3146","13.5775","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.9066","17.6372","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.1301","14.6078","12.2436","11.0000","11.0000","11.0000","13.2492","11.0000","11.0000","11.0000","11.0000","14.3902","18.1281","19.2256","15.3953","30.4355","11.0000","11.1587","11.0000","11.0000","11.0000","11.0000","11.0000","12.7924","21.0734","25.7698","18.7369","15.4041","14.5846","15.6648","11.0000","14.8054","14.4648","12.5625","18.8257","20.8937","27.2216"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5A_0.OKA","5/10/2022 1:15:07 PM"," 5-A","PM07","yneJ R1","E.Coli","E.Coli","",1.0000,"13.8586","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.6926","16.8916","17.9993","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.5726","15.2210","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.6231","13.1379","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4788","18.1613","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8241","16.0033","11.0000","11.0000","11.0000","11.0000","14.4579","11.0000","11.0000","11.0000","11.0000","15.5367","19.7913","21.7402","14.3829","31.2630","11.3258","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.6210","23.1986","25.4041","16.4984","16.3629","16.7510","18.2774","13.4759","11.1958","12.3986","12.9240","17.0447","17.2345","28.3666"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5A_0.OKA","5/10/2022 1:15:07 PM"," 5-A","PM07","yneJ R1","E.Coli","E.Coli","",1.2500,"11.4830","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.1422","16.3376","19.5627","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.5322","12.4878","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9433","16.0919","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7462","16.5465","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0062","19.7905","11.0000","11.0000","11.0000","11.0000","17.8065","11.0000","11.0000","11.0000","11.0000","12.8315","21.1525","16.7834","13.5678","33.0411","12.9185","11.0000","11.0000","11.0000","11.0000","12.7930","11.0000","12.7015","27.3709","22.7462","27.6975","19.7755","14.1507","11.0000","11.5577","12.9237","11.0980","11.0000","17.0478","20.5347","26.3813"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5A_0.OKA","5/10/2022 1:15:07 PM"," 5-A","PM07","yneJ R1","E.Coli","E.Coli","",1.5000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7480","20.6377","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8507","14.9711","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2876","13.4485","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.8498","15.3133","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6545","20.2310","11.0000","11.0000","11.0000","11.0000","17.5871","11.0000","11.0000","11.0000","11.0000","13.8356","23.2201","18.0547","15.6331","27.3310","11.0000","11.3487","11.0000","11.0000","11.0000","11.0000","11.0000","18.5218","23.4239","22.9395","21.7132","12.7694","15.0939","12.9399","11.0000","12.7263","11.0000","11.0000","19.3584","24.1450","27.3300"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5A_0.OKA","5/10/2022 1:15:07 PM"," 5-A","PM07","yneJ R1","E.Coli","E.Coli","",1.7500,"12.7023","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7820","20.6498","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.9733","14.3455","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2013","16.9010","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0529","19.3880","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9548","19.9631","11.0000","11.0000","11.0000","11.0000","14.3681","11.0000","11.0000","11.0000","11.0000","14.2792","20.3757","19.3092","11.9936","29.7018","11.0000","11.7615","11.0000","11.0000","11.0000","11.0000","13.1722","16.0721","25.2952","20.5480","19.6513","15.2023","12.2817","17.6451","11.0000","11.0000","11.0000","13.7371","22.2907","17.2428","26.3576"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5A_0.OKA","5/10/2022 1:15:07 PM"," 5-A","PM07","yneJ R1","E.Coli","E.Coli","",2.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5139","23.1661","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3143","16.2263","11.8238","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8590","17.2178","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.4126","18.4743","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.2855","17.8625","21.3415","11.0000","11.0000","11.0000","11.0000","15.4301","11.0000","11.0000","11.0000","11.0000","13.0512","22.6007","18.7786","12.8648","28.8081","11.0652","15.0814","11.0000","11.0000","11.0000","11.0000","12.4291","18.5477","24.7368","21.6579","17.9380","16.7773","19.3969","16.1197","11.0000","13.5740","11.0000","14.9723","16.7051","22.1662","28.5434"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\yneJ R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 5A_0.OKA","5/10/2022 1:15:07 PM"," 5-A","PM07","yneJ R1","E.Coli","E.Coli","",2.2500,"11.7102","11.0000","11.0000","11.0000","11.0000","16.2088","11.0000","11.0000","11.0000","11.0000","11.0000","20.7220","19.8279","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.0112","11.4098","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2787","17.4726","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.4178","18.4699","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.3402","17.0155","12.6927","11.0000","11.0000","11.0000","12.1555","11.0000","11.0000","11.0000","11.0000","17.6729","22.4744","16.1359","13.9265","30.9843","11.0000","14.3805","11.0000","11.0000","11.0000","11.0000","12.2989","12.5945","26.0762","28.6247","23.9663","15.8782","15.5586","17.8850","12.6302","13.1837","12.0073","19.1657","20.3526","21.6789","27.8128"
