"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3A_0.OKA","5/17/2022 1:54:44 PM"," 3-A","PM02A","ynfL R1","E. coli","E. coli","",0.0000,"12.9934","11.2188","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0937","11.0000","11.5582","42.2796","17.6990","11.0000","42.3384","11.0000","201.3520","11.0000","11.0000","11.0000","164.1601","11.0000","53.2791","42.7015","20.6944","14.8370","11.0000","11.0000","11.0000","11.0000","11.0000","15.7467","11.0000","11.0000","11.0000","35.2656","16.1814","11.0000","11.0000","16.5240","11.0000","72.2649","11.0000","11.0000","11.0000","11.0000","11.0000","20.3775","22.2053","11.0000","11.0000","11.0000","59.3725","11.0000","11.0000","11.0000","11.0000","11.0000","13.1844","143.3240","22.8677","15.1572","16.0714","11.0000","15.7721","11.0000","11.0000","11.0000","49.4283","12.7018","15.8517","17.6308","18.9109","11.6798","11.0000","11.0000","13.1550","11.0000","11.0000","11.0000","14.7089","16.1240","16.8947","24.4916","23.2900","24.7880","16.8403","16.8958","26.2636","11.6424","15.8917","29.1767","162.4616","22.1338","33.0389","28.0000"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3A_0.OKA","5/17/2022 1:54:44 PM"," 3-A","PM02A","ynfL R1","E. coli","E. coli","",0.2500,"13.7616","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.0461","49.1840","18.5568","11.0000","43.3587","11.0000","203.6555","11.0000","11.0000","11.0000","162.9146","13.5298","56.1177","45.9797","15.9533","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.0599","11.0000","11.0000","11.0000","36.9252","12.5786","11.0000","11.0000","14.4574","11.0000","72.9402","11.0000","11.0000","11.0000","11.0324","11.7992","22.2521","22.7959","11.8288","11.0000","11.0000","59.2824","11.0000","11.0000","11.0000","11.0000","11.0000","13.1290","148.4677","20.4675","11.2245","16.7973","11.0000","11.0000","11.0000","11.0000","11.0000","51.9021","11.0000","17.5814","19.8308","23.1021","13.0692","12.6936","13.4515","11.2851","17.3423","12.6499","11.6775","18.3265","11.0000","19.3734","23.6721","26.5990","25.4195","20.6500","17.2209","20.9989","13.8300","20.3989","34.2328","161.7176","22.1600","36.8327","28.6342"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3A_0.OKA","5/17/2022 1:54:44 PM"," 3-A","PM02A","ynfL R1","E. coli","E. coli","",0.5000,"12.2197","11.0000","11.0000","11.0000","11.0000","11.8390","11.0000","11.0000","11.0000","11.0000","14.4609","45.7446","15.9371","11.0000","43.9351","11.0000","204.1877","11.0000","11.0000","11.0000","165.5598","11.0000","54.2171","45.3040","21.2706","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9425","11.0000","11.2229","12.7350","37.8838","18.8345","11.0000","11.0000","14.3636","11.0000","70.8721","11.0000","11.0000","11.0000","11.1292","11.0000","22.3362","20.0734","11.0000","11.0000","11.0000","63.1241","11.0000","11.0000","11.0000","11.0000","11.0000","13.1207","146.2887","22.0062","11.2560","14.4274","11.0000","11.0000","12.5081","11.0000","11.0000","56.1584","11.0000","12.4552","23.2938","21.7116","14.4729","11.1309","12.2376","11.6987","11.0000","11.5530","11.0000","16.0806","12.9248","19.9798","24.3581","26.6471","21.6101","22.2339","14.6082","27.6375","13.8592","19.4375","31.8893","163.2368","25.7028","37.6319","30.3049"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3A_0.OKA","5/17/2022 1:54:44 PM"," 3-A","PM02A","ynfL R1","E. coli","E. coli","",0.7500,"12.2525","11.0000","11.0000","11.0000","11.0000","20.5957","11.0000","11.0000","11.0000","11.0000","12.6085","54.8018","17.9651","11.0000","42.4954","11.0000","201.1692","11.0000","11.0000","11.0000","167.4505","11.0000","52.3454","41.1044","23.8434","14.5698","11.0000","11.0000","11.0000","11.0000","11.0000","13.8268","11.0000","11.3834","11.0000","37.2161","13.7369","11.0000","11.0000","16.0011","11.0000","72.3555","11.0000","11.0000","11.0000","11.0000","11.0000","23.9199","23.2642","11.0000","11.0000","11.0000","68.6783","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","147.1301","22.6815","12.3123","16.6612","11.0000","11.3476","11.0000","11.0000","11.0000","57.2533","11.4166","15.1886","24.9429","19.4642","11.0000","12.0413","11.0000","14.3417","11.0000","11.0000","11.0000","22.0931","17.3117","15.0051","27.0475","25.7834","20.3468","14.4577","14.6481","28.4331","13.1234","18.8383","38.8458","161.5787","25.2730","32.9760","28.0906"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3A_0.OKA","5/17/2022 1:54:44 PM"," 3-A","PM02A","ynfL R1","E. coli","E. coli","",1.0000,"14.3482","11.0000","11.0000","11.0000","11.0000","32.9453","11.0000","11.0000","12.1818","11.0000","12.3870","59.2486","24.0364","17.0886","47.5521","11.0000","204.2314","11.0000","11.0000","11.0000","168.8715","13.1489","58.0616","42.1126","24.9119","14.5225","11.0000","11.0000","11.0000","11.0000","11.0000","16.4455","11.0000","11.0000","11.9424","45.2047","22.0750","11.0000","11.0000","17.5636","11.0000","73.8927","11.0000","11.0000","11.0000","11.0000","12.1166","25.9392","24.5199","11.0000","11.0000","11.0000","78.2037","11.0000","11.0000","11.0000","11.0000","11.0000","14.3604","148.5212","23.7815","13.7942","22.7300","11.0000","17.2026","11.0000","11.0000","11.0000","55.3517","12.2410","19.8750","25.9632","29.0462","15.2053","12.9842","11.8516","11.7611","11.3558","14.1539","11.0000","17.5192","15.7168","16.7731","23.6705","31.7737","22.0484","20.4068","15.6396","35.5508","18.2388","19.8311","43.5069","164.2350","27.9764","37.7132","30.4524"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3A_0.OKA","5/17/2022 1:54:44 PM"," 3-A","PM02A","ynfL R1","E. coli","E. coli","",1.2500,"15.8577","11.0000","11.0000","11.0000","11.0000","43.6823","11.0000","12.1643","13.1979","13.1378","17.8548","65.2573","18.5595","25.9317","47.5181","11.0000","202.6140","11.0000","11.0000","11.0000","166.7817","11.0000","55.3489","44.7140","21.0784","15.1415","11.7468","11.0000","11.0000","11.0000","11.0000","18.2130","11.0000","11.0000","14.8988","52.3728","20.4542","11.0000","11.0000","15.1446","11.0000","77.9993","11.0000","11.0000","11.0000","11.0000","11.0000","20.5979","25.1280","11.0000","11.0000","11.0000","85.6338","11.0000","11.0000","11.0000","11.0000","11.0000","13.9105","145.7269","27.2876","11.8333","17.4543","11.0000","15.4166","11.0000","11.0000","11.0000","54.0516","11.0000","15.1063","24.9966","24.6862","12.2545","12.5707","14.3616","13.6811","14.9629","13.8604","12.2540","24.2391","11.8486","17.3364","23.6138","29.8002","25.8544","19.8673","15.6376","41.9594","13.9238","17.3438","46.6174","165.1202","28.7383","37.7588","28.6093"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3A_0.OKA","5/17/2022 1:54:44 PM"," 3-A","PM02A","ynfL R1","E. coli","E. coli","",1.5000,"17.6466","11.0000","12.8714","11.0000","11.0000","55.9392","11.7940","11.0000","16.7000","11.1920","16.2952","71.9772","21.2583","29.7370","47.9647","11.0000","207.0673","11.0000","11.0000","11.0000","165.7618","11.0000","57.6559","45.7820","26.6009","17.2745","12.5908","11.0000","11.0000","11.0000","11.0000","18.7347","11.2532","13.4899","16.0056","59.6026","21.0433","11.0000","14.8505","14.7315","11.0000","77.6007","18.5150","11.0000","11.0000","16.8431","11.0000","24.0342","27.5986","11.0000","11.0000","11.0000","92.3553","11.0000","11.0000","11.0000","11.0000","11.4488","11.7920","150.4870","27.8789","14.2257","24.5881","11.0000","17.0580","11.0000","11.0000","11.0000","51.3080","12.8903","19.3278","25.9179","28.9430","11.5298","14.5728","18.3534","14.1610","11.0000","12.3573","13.1906","19.7446","19.6019","17.5182","29.8982","27.4647","25.5096","23.3822","18.0322","39.8964","19.0183","12.2793","48.8516","166.6128","21.1080","35.8626","35.2654"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3A_0.OKA","5/17/2022 1:54:44 PM"," 3-A","PM02A","ynfL R1","E. coli","E. coli","",1.7500,"17.2925","11.0000","11.0000","11.0000","11.0000","64.8900","11.0000","11.0000","13.9086","13.0460","17.0072","76.2196","18.1397","33.6371","45.4384","11.0000","203.6860","11.0000","11.0000","11.0000","168.0625","11.0000","58.7298","47.7584","29.6216","16.6166","12.3462","11.0000","11.0000","11.0000","11.0000","22.4337","12.1684","17.2839","14.0242","63.3125","22.4712","11.0000","11.0000","13.1889","11.0000","77.9232","26.4812","11.0000","11.0000","16.4136","11.8623","24.5754","26.2727","12.5304","11.0000","11.0000","99.9032","11.0000","11.0000","11.0000","11.0000","11.0000","11.2865","151.0543","36.9366","15.1047","34.6023","11.0000","15.0950","11.0000","11.0000","11.0000","51.9222","13.0768","20.5227","23.9166","25.3244","14.4663","14.0498","13.2802","14.4226","11.0000","11.0000","11.0000","21.5106","16.9745","22.8474","29.5925","27.2011","26.5371","23.8999","18.9206","42.4768","11.4603","14.9570","44.9529","161.7483","26.1575","38.8324","36.2329"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3A_0.OKA","5/17/2022 1:54:44 PM"," 3-A","PM02A","ynfL R1","E. coli","E. coli","",2.0000,"16.6368","11.0000","11.0000","11.0000","11.0000","71.9726","11.0000","14.2816","16.3477","13.4996","14.2333","79.4236","20.6577","40.1806","45.9268","11.0000","202.1095","11.0000","11.0000","11.0000","166.4655","13.5637","59.5390","47.6030","26.9867","13.7769","15.7781","14.5166","11.0000","11.0000","11.0000","18.6517","11.0000","19.6003","17.3052","72.1705","20.7733","11.0000","11.0000","17.4766","11.0000","74.7943","33.5030","11.0000","11.0000","11.0000","14.5119","25.8642","27.2063","11.0000","11.3751","11.0000","106.1630","11.0000","11.0000","14.6926","11.0000","12.1842","13.6668","145.9785","38.6649","20.9423","48.1855","11.0000","15.5337","11.0000","11.0000","11.0000","58.3767","15.0829","18.0131","27.9157","25.1015","13.5620","11.0000","11.0000","14.8524","11.0000","11.0000","13.1213","11.8638","15.9139","19.2371","27.8088","29.7209","26.9577","21.5057","13.9463","31.2050","20.6989","19.5333","40.3025","164.2680","26.2793","38.5576","32.3952"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R1_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3A_0.OKA","5/17/2022 1:54:44 PM"," 3-A","PM02A","ynfL R1","E. coli","E. coli","",2.2500,"16.1286","11.0000","11.7453","11.0000","11.0000","79.0297","11.2228","14.9903","12.4393","15.6700","17.5896","83.1634","21.5998","48.1749","45.8115","11.0000","208.7729","11.0000","12.8783","11.0000","168.9780","14.2242","57.9911","44.7483","32.4183","14.5425","18.4660","18.1245","11.0000","11.0000","11.0000","18.5585","16.7175","20.3785","15.2522","77.8480","24.7944","11.0000","14.0375","16.4668","11.0000","76.2214","41.0424","11.0000","12.1005","11.0000","13.4304","24.5127","29.0718","11.0000","11.0000","11.0000","112.4930","11.0000","11.0000","11.0000","17.3007","11.2884","12.7837","145.9532","52.0017","25.3912","52.6988","11.0000","15.1207","11.0000","11.0000","14.9696","58.3948","21.0358","20.2855","29.5046","27.4817","13.2429","13.7409","13.1185","16.4042","13.4520","11.0000","19.1749","19.8923","17.9182","20.5528","31.2596","32.4221","30.1144","24.6788","16.3535","32.8528","17.3203","18.9898","46.6414","166.0200","23.9720","43.8588","31.6595"
