"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7A_4.OKA","5/10/2022 1:15:07 PM"," 7-A","PM07","ynfL R1","E.Coli","E.Coli","",0.0000,"14.7008","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.0504","22.0394","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.2496","16.3855","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8433","21.5568","19.4994","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5451","22.6565","19.7175","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9245","21.9073","11.7251","11.0000","11.0000","11.1934","11.0000","11.0000","11.0000","11.0000","11.0000","15.9152","27.1027","24.7998","16.9493","27.6833","11.0000","15.6886","11.0000","11.0000","11.0000","11.0000","17.2889","13.0251","29.4001","25.8745","21.4703","13.9653","14.6028","17.5243","18.1679","16.8335","20.1801","18.3590","23.2825","27.9422","28.0965"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7A_4.OKA","5/10/2022 1:15:07 PM"," 7-A","PM07","ynfL R1","E.Coli","E.Coli","",0.2500,"11.8832","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.9966","17.3406","17.4585","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9224","14.7772","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.8852","15.4088","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7764","17.3056","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.3660","18.3809","13.5565","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.3838","11.8121","15.1890","19.8763","20.8620","11.4200","29.8258","11.0000","14.1323","11.4768","11.0000","11.0000","11.0000","11.3203","15.9543","22.9983","27.2035","26.6479","14.7876","19.2869","16.0263","11.1923","17.6356","16.5514","18.1985","19.8031","22.7815","26.3538"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7A_4.OKA","5/10/2022 1:15:07 PM"," 7-A","PM07","ynfL R1","E.Coli","E.Coli","",0.5000,"16.6850","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.0084","17.9579","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5324","15.8742","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.3628","13.3831","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.1356","16.8688","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.0214","21.4268","13.6792","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0636","11.0000","13.6219","20.4828","21.9202","14.1891","36.4909","11.0000","11.0000","11.0000","14.2908","11.0000","13.8723","11.2605","15.7560","25.9958","26.7716","23.4488","17.7244","17.6292","18.9759","16.7017","15.1041","14.5753","20.0128","24.4843","25.3963","29.7448"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7A_4.OKA","5/10/2022 1:15:07 PM"," 7-A","PM07","ynfL R1","E.Coli","E.Coli","",0.7500,"11.5501","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3797","22.9418","19.4630","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.0675","18.5674","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8618","20.0696","16.1235","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.3989","17.6372","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.9065","19.0940","11.0000","11.0000","11.0000","11.0000","11.4820","11.0000","11.0000","11.0000","11.0000","16.0853","22.7949","21.2582","12.6728","31.2848","11.0000","11.3810","12.3576","11.0000","11.0000","11.0000","11.2296","11.0664","26.6625","24.0754","19.9879","15.7712","14.1365","15.2522","12.3809","18.7409","19.2248","17.8685","18.3304","23.5980","29.0672"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7A_4.OKA","5/10/2022 1:15:07 PM"," 7-A","PM07","ynfL R1","E.Coli","E.Coli","",1.0000,"13.2162","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.6499","17.6524","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.2905","16.5543","16.5755","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.2973","13.8924","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.7212","11.0000","11.0000","18.0368","21.0196","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.1685","20.7252","14.1957","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2450","23.8020","21.4860","13.8246","32.3415","12.4987","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.7102","26.0612","28.8214","19.9101","16.3962","19.7224","19.3848","17.3525","18.7024","17.7977","19.2502","23.0237","19.2137","29.4922"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7A_4.OKA","5/10/2022 1:15:07 PM"," 7-A","PM07","ynfL R1","E.Coli","E.Coli","",1.2500,"15.6686","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0315","16.1525","18.2768","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.1898","17.7983","15.1151","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7258","19.0675","17.9662","13.3525","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4700","11.0000","11.0000","19.4174","16.7986","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.2553","21.5985","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3778","11.0000","13.6209","23.4831","21.5443","13.6665","34.0504","11.4227","11.0000","12.2030","12.4000","11.0000","11.0000","14.8925","13.8024","29.2078","31.8430","27.0427","17.5237","18.7018","14.8660","12.6732","16.7710","15.0162","13.5971","19.7908","25.5806","30.1540"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7A_4.OKA","5/10/2022 1:15:07 PM"," 7-A","PM07","ynfL R1","E.Coli","E.Coli","",1.5000,"15.3980","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.7673","20.2746","22.8980","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.7380","15.3808","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4649","17.2782","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.1985","11.0000","11.0000","20.3950","19.2488","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.3796","23.2872","11.0000","11.0000","11.0000","12.8467","12.4208","11.0000","11.0000","11.0000","11.0000","13.8672","25.1295","23.1710","16.2575","31.9221","12.7655","13.3460","11.0000","11.0000","11.0000","11.0965","12.1044","19.1788","28.1799","27.6003","22.4713","14.3720","20.4352","16.9469","13.5529","17.4818","12.9303","16.8063","24.5701","25.3163","28.7500"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7A_4.OKA","5/10/2022 1:15:07 PM"," 7-A","PM07","ynfL R1","E.Coli","E.Coli","",1.7500,"15.6894","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.7779","20.2412","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4824","21.2131","17.4069","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.7466","15.7397","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5415","11.0000","11.0000","20.9132","21.4536","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9940","13.0005","19.2692","22.8574","14.3870","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.5595","11.0000","14.3422","24.7447","26.9865","11.5962","30.6189","11.0000","12.4279","12.1346","11.0000","12.8305","11.0000","15.3119","17.8506","24.7442","28.0707","25.8026","16.3029","17.2802","21.9486","11.7244","14.0444","15.2820","15.7573","25.6518","23.6498","29.0411"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7A_4.OKA","5/10/2022 1:15:07 PM"," 7-A","PM07","ynfL R1","E.Coli","E.Coli","",2.0000,"11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0950","19.2246","24.3858","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7107","12.5525","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9545","14.1747","19.1731","19.4050","11.5181","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2392","11.0000","11.0000","21.9665","25.1949","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3807","16.7556","23.7472","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.1872","29.4976","24.9698","19.0806","35.4984","15.4308","16.6000","13.5587","14.1525","11.0000","12.4857","13.6309","18.4820","28.6801","27.6610","23.7526","19.6660","22.6412","19.4065","11.8197","14.5840","15.5397","17.1538","22.5086","27.0636","28.5434"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R1_E.Coli_E.Coli__7_37_SBR_709_5#10#2022_A_ 7A_4.OKA","5/10/2022 1:15:07 PM"," 7-A","PM07","ynfL R1","E.Coli","E.Coli","",2.2500,"11.8393","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.3373","17.7470","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.9740","19.8407","15.8546","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.5328","19.4737","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4131","11.0000","11.0000","23.8956","25.2807","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.7606","19.8666","11.0000","11.0000","11.0000","11.0000","12.5086","11.0000","11.0000","11.0000","11.0000","16.0439","22.5700","21.2717","11.9536","33.7464","11.0000","14.3174","14.6192","13.3602","11.0000","11.4498","14.5720","13.4914","27.1070","29.3896","21.9311","19.2962","21.6792","16.2669","14.3909","14.2918","18.0189","24.0522","23.4701","24.7813","29.2973"
