"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3B_1.OKA","5/17/2022 1:54:44 PM"," 3-B","PM02A","ynfL R2","E. coli","E. coli","",0.0000,"26.3073","17.4302","18.1381","18.4169","19.5006","15.5910","14.9487","17.3488","17.8126","16.9294","17.3954","51.7488","26.4204","11.0000","69.7228","11.0000","209.7982","11.0000","11.0000","11.0000","174.2231","20.6012","63.4902","46.7002","22.7314","17.7005","11.0000","11.0000","11.2459","11.0000","11.0000","16.9705","13.4545","11.0000","15.6916","34.5593","18.0813","11.0000","11.0000","16.9975","11.0000","79.7260","11.0000","11.0000","11.0000","11.0000","11.0000","18.6711","19.3939","11.0000","11.0000","11.0000","62.8732","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","152.7271","12.7691","11.0000","14.1094","11.0000","11.0000","11.0000","11.0000","11.0000","46.0608","11.0000","11.0000","17.4348","16.7312","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4514","15.0257","17.4366","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.2653","161.3408","11.0000","24.4592","19.7812"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3B_1.OKA","5/17/2022 1:54:44 PM"," 3-B","PM02A","ynfL R2","E. coli","E. coli","",0.2500,"28.9871","17.6800","12.0354","20.1920","18.9688","28.6301","17.9152","19.9910","21.8854","20.7221","14.9248","52.3839","21.2106","12.4190","68.7572","11.0000","213.4770","11.0000","11.0000","11.3428","174.3868","22.5256","63.0434","49.0484","20.7261","21.9294","11.0000","11.0000","11.0000","11.0000","11.0000","20.6542","11.0000","11.0316","17.5619","41.0635","19.1027","11.0000","11.0000","19.6307","11.0000","82.0758","11.0000","11.0000","11.0000","11.0000","13.9051","21.2795","16.0158","11.5071","11.0000","11.0000","64.5240","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","154.0824","20.0582","11.0000","13.4137","11.0000","11.0000","11.0000","11.0000","11.0000","53.1258","11.0000","11.0000","19.8376","13.1343","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.5078","15.7914","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.8891","161.2003","11.0000","22.7819","22.7936"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3B_1.OKA","5/17/2022 1:54:44 PM"," 3-B","PM02A","ynfL R2","E. coli","E. coli","",0.5000,"30.8717","21.9438","13.9114","17.3568","18.6910","24.3283","16.8597","14.6962","19.6478","19.5817","20.5824","55.3642","17.3262","15.8060","69.0518","11.0000","210.5649","11.0000","11.0000","11.6906","175.8969","25.2382","62.0088","48.6554","19.8522","20.0412","11.0000","11.0000","12.9911","11.0000","11.0000","14.2188","11.0000","11.0000","17.7495","43.3908","18.5736","11.0000","11.0000","18.8094","11.0000","81.1382","11.0000","11.0000","11.0000","11.0000","11.0000","19.2880","17.8019","11.2528","11.0000","11.0000","70.4840","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","153.8771","17.1178","11.0000","12.4093","11.0000","11.0000","11.0000","11.0000","11.0000","48.6259","11.0000","11.3140","21.7707","15.0247","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0384","19.0553","14.6686","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9345","161.6165","11.0000","22.5301","23.1158"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3B_1.OKA","5/17/2022 1:54:44 PM"," 3-B","PM02A","ynfL R2","E. coli","E. coli","",0.7500,"32.0685","23.0757","15.3522","19.0406","19.7996","34.8115","14.4964","17.9016","21.9838","22.2422","24.1004","65.3749","18.8043","15.1133","69.4024","11.0000","213.1706","11.8043","11.3511","11.0000","177.6764","25.4915","61.4602","51.7854","24.8224","19.4535","11.0000","11.0000","11.0000","11.0000","11.0000","18.8698","12.0508","11.0000","14.5948","44.3861","18.9023","11.0000","11.0000","17.7517","11.0000","82.2867","11.0000","11.0000","11.0000","11.0000","11.0000","16.7664","16.0988","11.7561","11.0000","11.0000","77.9127","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","155.0366","19.6382","11.0000","13.6413","11.0000","11.0000","11.0000","11.0000","11.0000","47.2462","11.0000","15.0934","19.8191","14.4997","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7324","17.5884","18.3517","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.5891","159.8710","11.0000","30.4784","22.8681"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3B_1.OKA","5/17/2022 1:54:44 PM"," 3-B","PM02A","ynfL R2","E. coli","E. coli","",1.0000,"31.0680","21.7473","13.8437","17.7128","17.3196","46.4779","17.7606","24.2783","22.2188","20.2495","19.2441","65.4318","22.2149","21.1716","71.4469","11.0000","215.6124","13.8534","11.0000","13.1870","181.6661","28.7956","61.5094","50.4587","26.1628","21.0800","11.7659","11.0000","11.7783","11.0000","11.0000","18.6148","12.5826","11.0000","17.7032","55.0437","22.5598","12.0944","11.0000","20.7112","11.0000","80.1292","11.0000","11.0000","12.2057","11.0000","11.1270","22.6748","20.4025","11.0000","16.6626","11.0000","84.9214","11.0000","11.0000","11.0000","11.0000","11.0000","14.3262","157.5833","25.2328","12.8311","18.4458","11.0000","11.0000","11.0000","11.0000","11.0000","46.6084","11.0000","12.8790","29.0211","17.0794","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.3844","21.7444","23.1004","13.0811","11.0000","11.0000","11.0000","11.0000","11.0000","22.2602","160.8601","11.0000","23.5239","23.3652"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3B_1.OKA","5/17/2022 1:54:44 PM"," 3-B","PM02A","ynfL R2","E. coli","E. coli","",1.2500,"31.7906","20.6489","15.2197","19.0979","17.5850","54.2460","12.1750","18.2292","18.0985","25.8817","36.4987","96.0742","23.4677","23.9076","70.3128","11.0000","212.9620","11.0000","11.0000","11.0000","183.0819","16.8051","73.9408","68.7894","24.8986","18.8529","11.0000","11.0000","11.0000","11.0000","11.0000","17.3176","11.0000","11.0000","13.0919","66.8369","15.1719","11.0000","11.0000","16.5308","11.0000","88.4857","14.5907","11.0000","11.0000","11.0000","12.6710","19.8334","21.1487","11.0000","11.0000","11.0000","93.9276","11.0000","11.0000","11.0000","11.0000","11.0000","14.6142","172.5430","21.2000","12.2689","19.1743","11.0000","11.0000","11.0000","11.0000","11.0000","54.8297","11.0000","18.5674","32.5941","17.3069","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.3513","15.1787","27.8704","18.6109","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.8496","168.0610","16.3005","45.7536","30.3724"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3B_1.OKA","5/17/2022 1:54:44 PM"," 3-B","PM02A","ynfL R2","E. coli","E. coli","",1.5000,"27.2343","21.6387","19.7287","20.8614","20.2608","68.3123","18.7721","25.8362","22.3484","23.7500","29.0360","88.5049","24.3139","31.0425","69.6107","11.0000","212.0638","14.1645","12.3316","11.0000","180.3194","18.2750","67.9938","58.9267","29.3929","22.5233","11.0000","11.0000","11.0000","11.0000","11.0000","18.6372","15.5167","13.6739","17.3359","70.7347","20.6889","11.0000","11.0000","15.9717","11.0000","82.8296","23.5223","11.0000","11.0000","11.0000","13.7735","15.9346","18.6170","11.0000","11.0000","11.0000","100.9951","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","162.4155","24.9613","11.0000","21.2575","11.0000","11.0000","11.0000","11.0000","11.0000","54.1685","11.0000","15.3028","23.8945","16.5740","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.4576","23.8305","19.7786","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.5359","165.4282","12.2527","35.9080","23.9400"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3B_1.OKA","5/17/2022 1:54:44 PM"," 3-B","PM02A","ynfL R2","E. coli","E. coli","",1.7500,"26.6561","17.4271","19.8508","19.6569","23.8033","72.9393","16.5150","30.3783","22.6705","24.7107","27.3193","92.4170","25.9471","31.9999","71.9762","11.0000","212.4388","11.0000","11.0000","11.0000","182.5895","23.6360","62.8062","56.3225","26.9939","20.3928","13.7217","11.0000","11.0000","11.0000","11.0000","18.0075","15.5196","12.5211","18.6093","78.3761","20.0332","11.0000","11.0000","16.8077","11.0000","85.6497","29.6963","11.0000","11.0000","11.0000","11.0000","17.7316","18.1650","13.3146","11.0000","11.0000","103.4276","11.0000","11.0000","11.0000","11.2499","11.0000","11.0000","161.2932","28.6968","11.4131","32.3840","11.0000","11.0000","11.0000","11.0000","11.0000","51.3950","11.0000","11.2837","26.6571","17.5850","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.9892","22.3100","22.2725","11.6421","11.0000","11.0000","11.0000","11.0000","11.0000","22.1635","163.2057","11.0000","29.9890","25.9456"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3B_1.OKA","5/17/2022 1:54:44 PM"," 3-B","PM02A","ynfL R2","E. coli","E. coli","",2.0000,"28.0074","17.6274","17.1580","23.9275","22.9077","83.4131","19.7642","32.1305","21.1108","29.5238","29.0945","101.0000","23.2390","42.6711","72.0869","12.3978","211.7623","14.2993","12.9070","11.0000","181.0372","21.9259","66.9615","58.3653","31.1174","22.4017","17.5281","14.7215","13.8592","11.0000","11.0000","20.8029","18.9520","14.8006","15.7039","79.9621","23.0954","11.0000","11.0000","18.4216","11.0000","79.5842","43.4233","11.0000","11.0000","11.0000","11.9454","23.2447","20.4099","16.0447","11.0000","11.0000","114.7412","11.0000","11.0000","11.0000","12.1845","11.0000","11.0000","165.0460","33.2553","14.8075","41.6537","11.0000","11.0000","11.0000","11.0000","11.0000","52.1209","13.7898","11.9434","26.5871","15.4137","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.4916","25.0123","21.9687","12.0213","11.0000","11.0000","11.0000","11.0000","11.0000","24.2193","161.2821","11.8652","34.6513","28.0134"
"F:\projects\Omnilog_database\Irina YTF\raw data 2\ynfL R2_E. coli_E. coli__2_37_SBR_709_5#17#2022_A_ 3B_1.OKA","5/17/2022 1:54:44 PM"," 3-B","PM02A","ynfL R2","E. coli","E. coli","",2.2500,"30.3535","19.3467","18.6280","23.8937","25.6488","91.4953","21.5335","36.9253","19.1682","33.0523","31.3693","104.6165","24.6169","44.8366","66.1166","11.0000","211.8457","13.0224","14.3462","11.0000","184.5279","26.9403","66.5156","56.7084","35.3276","22.6706","17.4355","19.0760","14.1038","11.0000","11.0000","18.3019","21.1966","21.8618","19.4634","86.7392","22.9894","11.5161","12.4869","15.6877","11.0000","87.7588","48.7006","11.0000","11.0000","11.0000","12.3219","20.1250","21.7868","21.8917","11.0000","11.0000","116.5718","11.0000","11.0000","11.0000","18.1828","11.0000","14.2700","166.0758","36.9495","22.0745","51.4614","11.0000","11.0000","11.0000","11.0000","11.0000","54.9612","15.2987","17.1205","25.6362","15.5902","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.9216","27.6517","18.8922","14.5065","11.0000","11.0000","11.0000","11.0000","11.0000","19.8871","163.8740","11.4517","35.0447","29.6527"
