"Plate File","Setup Time","Position","Plate Type","Field 1","Field 2","Field 3","Field 4","Hour","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","F01","F02","F03","F04","F05","F06","F07","F08","F09","F10","F11","F12","G01","G02","G03","G04","G05","G06","G07","G08","G09","G10","G11","G12","H01","H02","H03","H04","H05","H06","H07","H08","H09","H10","H11","H12"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 8B_20.OKA","5/10/2022 1:15:07 PM"," 8-B","PM05","ynfL R2","E.Coli","E.Coli","",0.0000,"21.5696","17.0710","13.6183","15.1237","12.9945","11.0000","11.0000","15.2197","12.7042","16.5365","22.3208","27.8480","20.8497","14.3004","11.0000","11.0000","11.0000","11.0000","11.6914","14.2881","11.0000","13.7250","15.0955","19.5288","13.3158","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.5748","11.0000","11.6090","22.5118","14.0883","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.2027","13.5187","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.3188","15.0494","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.4223","13.9680","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2881","16.2037","12.0570","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9374","18.5006"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 8B_20.OKA","5/10/2022 1:15:07 PM"," 8-B","PM05","ynfL R2","E.Coli","E.Coli","",0.2500,"19.5429","16.8306","13.8995","14.6648","14.4334","11.8439","11.0000","12.6638","12.0180","14.7022","17.7737","27.0074","17.1994","11.0645","12.0450","11.0000","11.0000","11.0000","11.0000","13.7433","11.0000","11.0000","11.0000","22.4196","15.4965","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.6125","11.0000","11.0000","26.7669","13.6728","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.4332","15.6290","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.5078","13.6853","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4303","17.7061","16.2496","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.0020","11.0000","18.1259","12.9794","11.0627","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.7862"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 8B_20.OKA","5/10/2022 1:15:07 PM"," 8-B","PM05","ynfL R2","E.Coli","E.Coli","",0.5000,"25.8454","19.0867","14.9620","16.5995","17.2527","13.3952","15.9708","19.0456","18.8518","14.8337","20.5192","29.6749","19.6380","16.0214","14.0627","11.0000","11.0000","11.0000","11.0000","17.2963","11.1252","12.9638","17.5989","25.1530","15.3961","11.4898","11.0000","11.0000","12.9359","11.0000","11.0000","11.0000","24.2100","11.0000","12.8361","31.6268","16.3461","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.7987","15.9538","19.5322","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.7623","11.0000","11.0000","22.7760","15.6910","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.9632","17.3093","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.8046","11.0000","23.3617","13.7076","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.6115","21.8582"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 8B_20.OKA","5/10/2022 1:15:07 PM"," 8-B","PM05","ynfL R2","E.Coli","E.Coli","",0.7500,"20.5387","20.5996","13.2667","18.6468","11.0000","12.4061","14.5280","15.2528","14.8861","14.3490","20.5652","26.1555","21.0381","11.0000","15.3193","11.0000","11.0000","11.7694","14.5270","19.4454","11.0000","11.0000","14.3740","27.1965","17.9879","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","24.3887","11.0000","14.1995","32.7220","17.0808","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0631","17.0328","13.2970","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.2563","11.0000","11.9470","21.1249","18.5535","11.2229","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.7122","17.4061","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.9481","11.0000","17.6741","13.1462","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.2572"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 8B_20.OKA","5/10/2022 1:15:07 PM"," 8-B","PM05","ynfL R2","E.Coli","E.Coli","",1.0000,"21.8471","20.9093","15.8511","17.9418","14.7054","12.2768","12.0434","11.0636","15.0778","19.2598","24.6893","26.6905","19.1858","11.0000","14.9427","11.0000","11.0000","11.0000","13.5322","22.4142","11.0000","11.6020","13.6582","27.9975","13.9887","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.5565","11.0000","15.3257","32.0063","15.7205","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.2122","19.0423","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.4384","11.0000","11.0000","24.1560","17.0312","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.2435","17.3745","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.1852","12.3797","20.1023","14.9493","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.5947","20.2291"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 8B_20.OKA","5/10/2022 1:15:07 PM"," 8-B","PM05","ynfL R2","E.Coli","E.Coli","",1.2500,"28.0187","24.0299","15.3878","16.9010","14.8066","13.4299","15.6898","15.6299","14.8872","18.7588","21.8982","27.0512","19.3694","13.8100","19.3365","11.0000","11.0000","12.6686","13.5055","27.1575","14.8942","13.0933","19.1331","34.1016","18.2709","16.9101","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","20.4748","11.0000","16.4192","33.2193","18.5099","11.0000","11.0000","11.0000","11.0000","11.0632","11.0000","11.0000","12.3918","11.0000","11.0634","21.1980","17.6650","12.2374","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.0330","11.0000","11.5680","26.5387","20.2900","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","18.4966","21.9038","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","27.5201","12.8478","18.2705","17.6562","11.0000","11.0000","13.4867","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.1750","19.7073"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 8B_20.OKA","5/10/2022 1:15:07 PM"," 8-B","PM05","ynfL R2","E.Coli","E.Coli","",1.5000,"27.3056","20.7022","16.2041","17.7356","13.4125","11.0000","15.6818","11.8862","16.1001","16.9626","24.2625","27.8509","22.1420","14.6036","16.2007","11.0000","11.5933","11.6752","12.5050","29.2665","13.0833","12.3004","15.9671","32.4294","17.1090","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","29.1674","11.0000","16.2323","37.8577","18.3351","11.0000","11.0000","11.0000","11.0000","11.8546","11.0000","11.0000","11.0000","11.0000","11.6309","21.0135","18.8502","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","16.3031","11.0000","11.2207","29.6977","16.4823","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","21.3487","22.7007","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","25.7924","11.0000","19.6810","14.5342","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","12.3183","22.4461"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 8B_20.OKA","5/10/2022 1:15:07 PM"," 8-B","PM05","ynfL R2","E.Coli","E.Coli","",1.7500,"24.6967","20.1745","17.2759","15.7522","16.7340","13.9280","11.0000","14.0856","16.1325","18.8668","23.0675","33.5587","18.8897","11.1660","17.5826","11.0000","11.0000","12.1234","11.0000","27.5710","11.0000","11.0317","17.8792","29.9670","14.9696","13.1014","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","29.3885","11.0000","15.6020","36.4534","16.9622","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","15.9129","17.2509","12.2852","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.6299","11.0000","11.0000","24.2745","15.5354","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","22.9839","19.1568","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","23.8028","11.0000","22.3394","15.6816","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","14.7314","21.5128"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 8B_20.OKA","5/10/2022 1:15:07 PM"," 8-B","PM05","ynfL R2","E.Coli","E.Coli","",2.0000,"23.0732","20.7764","15.4257","16.1257","15.9795","13.4629","14.1402","15.5966","17.3806","14.4847","22.1792","33.0475","17.7037","14.9212","21.2201","11.7690","11.0000","11.0000","12.7676","27.9522","11.0000","11.0000","17.7884","29.6963","17.2164","11.2960","12.0210","11.0000","11.0000","11.0000","11.0000","11.0000","30.8445","11.1887","14.1424","41.9439","15.2188","11.0000","11.0000","11.0000","11.0000","12.5220","11.0000","11.0000","11.0000","11.0000","11.5392","20.0551","17.9001","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5261","11.0000","11.6656","20.8060","16.8818","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.8768","21.0423","20.2418","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","26.2357","12.8532","17.8121","14.3035","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","17.3165","24.7945"
"F:\projects\Omnilog_database\Irina YTF\raw data 1\ynfL R2_E.Coli_E.Coli__5_37_SBR_709_5#10#2022_A_ 8B_20.OKA","5/10/2022 1:15:07 PM"," 8-B","PM05","ynfL R2","E.Coli","E.Coli","",2.2500,"28.1771","21.2390","15.7879","18.9123","16.2554","11.7649","15.1951","20.3579","21.0462","24.2842","24.7688","23.1164","24.7320","14.4950","24.8332","11.2560","12.3959","14.1451","18.4561","37.7824","11.0000","15.4800","19.1937","40.4952","16.3974","17.2924","11.0000","11.0000","11.0000","11.0000","11.0000","11.2783","31.1105","11.0000","16.3955","35.0418","20.3475","11.0000","11.0000","11.0000","11.0000","14.7496","11.0000","11.0000","11.0000","11.0000","16.8038","20.8383","21.6159","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","19.5621","11.0000","11.0000","22.4574","19.4822","12.3925","11.0000","11.0000","11.0000","11.0000","11.0000","12.2409","11.0000","12.1090","14.3002","23.1481","19.6307","11.4517","11.0000","11.0000","11.0000","12.3436","11.0000","11.0000","11.1900","33.0230","13.5357","21.3718","17.7983","11.0000","11.0000","18.1668","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","13.8365","17.3058"
